Appts_Pending_1412,%_Appts_Over_30_Pending_1412,PC_Wait_Pending_1412,SC_Wait_Pending_1412,MH_Wait_Pending_1412,for_dups,ORGANIZATION,MAY-FY11,MAY-FY12,MAY-FY13,MAY-FY14,MAY-FY15,MAY-FY16,ID,Appts_Pending_1610,%_Appts_Over_30_Pending_1610,PC_Wait_Pending_1610,SC_Wait_Pending_1610,MH_Wait_Pending_1610,Appts_Complete_1608,%_Appts_Over_30_Complete_1608,PC_Wait_Complete_1608,SC_Wait_Complete_1608,MH_Wait_Complete_1608,Station,Location,Choice_Hires,Interim,Vacancy,%_Appts_Over_30_Complete_1409,Appts_Complete_1409,MH_Wait_Complete_1409,PC_Wait_Complete_1409,SC_Wait_Complete_1409,Physician_Turnover_FY11,Physician_Turnover_FY12,Physician_Turnover_FY13,Physician_Turnover_FY14,Physician_Turnover_FY15,NbrPsychiatrists,Name,State,Geo,Confidence,County,"County, St",Projected_Increase_5_years,Projected_Increase_10_years,Projected_Increase_20_years,Projected_Increase_30_years,9/30/43,9/30/33,9/30/23,9/30/18,Pending_Increase,Pending_Increase_%,Complete_Increase,Complete_Increase_%,Complete_Pending_Appts_Diff_14,Complete_Pending_Appts_Diff_16,Complete_Pending_Appts_Diff_14_%,Complete_Pending_Appts_Diff_16_%,Complete_Pending_Gap_Increase_%,Missing_Leadership,Staff_11_To_12_Increase,Staff_11_To_12_Increase_%,Staff_12_To_13_Increase,Staff_12_To_13_Increase_%,Staff_13_To_14_Increase,Staff_13_To_14_Increase_%,Staff_14_To_15_Increase,Staff_14_To_15_Increase_%,Staff_15_To_16_Increase,Staff_15_To_16_Increase_%,Staff_14_To_16_Increase,Staff_14_To_16_Increase_%,Choice_Increase_%,Choice_Staff_Dif,Choice_Increase_%_PC_Wait_Complete_1409_Ratio,Choice_Increase_%_PC_Wait_Pending_1412_Ratio,PC_Wait_Pending_Increase,PC_Wait_Pending_Increase_%,PC_Wait_Complete_Increase,PC_Wait_Complete_Increase_%,SC_Wait_Pending_Increase,SC_Wait_Pending_Increase_%,SC_Wait_Complete_Increase,SC_Wait_Complete_Increase_%,MH_Wait_Pending_Increase,MH_Wait_Pending_Increase_%,MH_Wait_Complete_Increase,MH_Wait_Complete_Increase_%,Staff_To_Appts_Pending_14,Staff_To_Appts_Pending_16,Staff_To_Appts_Complete_14,Staff_To_Appts_Complete_16,Percentage_Point_Wait_Over_30_Increase_Pending,Percentage_Point_Wait_Over_30_Increase_Complete,qualitative_size,State_Full,Vet_Pop_State_9_30_14,Vet_Pop_State_9_30_34,Vet_Pop_State_Increase_20
24461,13.33,10.03,14.74,7.81,540,(V04) (540) MC CLARKSBURG WV,820.0,814.0,860.0,881.0,890.0,927.0,540cl,25791,7.62,5.59,12.34,3.0,17909,3.06,4.7,5.72,2.57,540,"(V04) (540) Clarksburg, WV",59.0,1.0,1.0,6.44,17926,3.41,7.64,7.51,7.04,8.82,6.76,9.69,11.51,2.0,"CLARKSBURG, WV",WV,"<[OK] Google - Geocode [Clarksburg, WV, USA]>",3,HARRISON,"HARRISON, WV",-321.0,-694.0,-1489.0,-2205.0,4758.0,5474.0,6269.0,6642.0,1330,5.43722660562,-17,-0.0948343188665,6535,7882,36.4554278701,44.0113909208,20.6120887529,2.0,-6.0,-0.737100737101,46.0,5.3488372093,21.0,2.38365493757,9.0,1.01123595506,37.0,3.99137001079,46.0,4.9622437972,6.69693530079,-13.0,1.14082033898,1.4977,-4.44,-44.2671984048,-2.94,-38.4816753927,-2.4,-23.9282153539,-1.79,-23.8348868176,-4.81,-47.9561316052,-0.84,-24.633431085,27.7650397276,27.8220064725,20.3473325766,19.3193096009,-5.71,-3.38,small,West Virginia                                                                                                                  ,167355.0,131662.0,-35693.0
8857,1.06,1.42,4.28,1.07,542,(V04) (542) MC COATESVILLE PA,1373.0,1284.0,1261.0,1295.0,1275.0,1222.0,542co,14753,2.91,1.65,4.71,6.57,16982,0.81,1.23,3.77,3.45,542,"(V04) (542) Coatesville, PA",37.0,1.0,0.0,0.27,15159,0.91,1.87,1.69,10.21,16.22,13.33,7.24,0.0,1.0,"COATESVILLE, PA",PA,"<[OK] Google - Geocode [Coatesville, PA 19320, USA]>",6,CHESTER,"CHESTER, PA",-3628.0,-6703.0,-11829.0,-16072.0,14438.0,18681.0,23807.0,26882.0,5896,66.5688156261,1823,12.0258592255,-6302,-2229,-41.5726631044,-13.1256624661,-64.6302761028,1.0,-89.0,-6.93146417445,-23.0,-1.82394924663,34.0,2.62548262548,-20.0,-1.56862745098,-53.0,-4.33715220949,-73.0,-5.97381342062,2.85714285714,-110.0,0.6545,0.497,0.23,16.1971830986,-0.64,-34.2245989305,0.43,30.2816901408,2.08,123.076923077,5.5,387.323943662,2.54,279.120879121,6.83938223938,12.0728314239,11.7057915058,13.8968903437,1.85,0.54,average,Pennsylvania                                                                                                                   ,939069.0,581357.0,-357713.0
12514,6.11,10.22,7.94,0.33,562,(V04) (562) MC ERIE PA,678.0,669.0,660.0,689.0,713.0,693.0,562er,23486,5.28,7.01,9.56,1.06,16117,1.86,5.74,4.65,1.01,562,"(V04) (562) Erie, PA",30.0,0.0,0.0,1.73,14712,0.51,3.65,2.76,13.64,5.65,5.41,13.36,7.68,1.0,"ERIE, PA",PA,"<[OK] Google - Geocode [Erie, PA, USA]>",4,ERIE,"ERIE, PA",-2383.0,-4510.0,-8148.0,-10996.0,10981.0,13829.0,17467.0,19594.0,10972,87.677800863,1405,9.55002718869,-2198,7369,-14.9401848831,45.7219085438,-435.259326661,0.0,-9.0,-1.34529147982,-9.0,-1.36363636364,29.0,4.20899854862,24.0,3.36605890603,-20.0,-2.886002886,4.0,0.577200577201,4.35413642961,-26.0,0.838283333333,2.34719333333,-3.21,-31.4090019569,2.09,57.2602739726,1.62,15.8512720157,1.89,68.4782608696,0.73,7.14285714286,0.5,98.0392156863,18.1625544267,33.8903318903,21.3526850508,23.2568542569,-0.83,0.13,small,Pennsylvania                                                                                                                   ,939069.0,581357.0,-357713.0
43581,2.0,1.78,4.09,2.65,595,(V04) (595) MC LEBANON PA,1354.0,1383.0,1333.0,1385.0,1419.0,1468.0,595le,69663,2.71,3.03,6.61,2.66,29042,3.0,3.29,6.09,2.5,595,"(V04) (595) Lebanon, PA",80.0,0.0,0.0,1.33,26534,2.25,2.32,3.14,11.79,6.42,9.13,8.64,2.96,2.0,"LEBANON, PA",PA,"<[OK] Google - Geocode [Lebanon, PA, USA]>",6,LEBANON,"LEBANON, PA",-800.0,-1589.0,-3135.0,-4567.0,7613.0,9045.0,10591.0,11380.0,26082,59.847181111,2508,9.4520238185,17047,40621,64.2458732193,139.869843675,138.288261864,0.0,29.0,2.09689081706,-50.0,-3.75093773443,52.0,3.75451263538,34.0,2.39605355884,49.0,3.3378746594,83.0,5.65395095368,5.7761732852,3.0,0.40165,0.3081625,1.25,70.2247191011,0.97,41.8103448276,2.52,141.573033708,2.95,93.949044586,0.01,0.561797752809,0.25,11.1111111111,31.4664259928,47.454359673,19.1581227437,19.7833787466,0.71,1.67,average,Pennsylvania                                                                                                                   ,939069.0,581357.0,-357713.0
61615,9.3,5.44,14.91,5.41,642,(V04) (642) MC PHILADELPHIA PA,2192.0,2125.0,2202.0,2312.0,2374.0,2373.0,642ph,69426,5.41,5.28,8.59,3.38,38817,2.2,3.74,4.08,2.54,642,"(V04) (642) Philadelphia, PA",163.0,0.0,1.0,2.83,39256,3.34,3.61,4.9,11.51,13.1,11.86,16.5,11.52,1.0,"PHILADELPHIA, PA",PA,"<[OK] Google - Geocode [Philadelphia, PA, USA]>",1,PHILADELPHIA,"PHILADELPHIA, PA",-12453.0,-22693.0,-37616.0,-47186.0,27785.0,37355.0,52278.0,62518.0,7811,12.6771078471,-439,-1.1183003872,22359,30609,56.9568983085,78.8546255507,36.8978934657,1.0,-67.0,-3.15294117647,77.0,3.49682107175,110.0,4.75778546713,62.0,2.61162594777,-1.0,-0.0421407501054,61.0,2.57058575643,7.05017301038,-102.0,0.512044171779,0.771612269939,-0.16,-2.94117647059,0.13,3.60110803324,-6.32,-116.176470588,-0.82,-16.7346938776,-2.03,-37.3161764706,-0.8,-23.9520958084,26.6500865052,29.2566371681,16.9792387543,16.3577749684,-3.89,-0.63,average,Pennsylvania                                                                                                                   ,939069.0,581357.0,-357713.0
67390,2.6,3.82,4.11,2.1,646,(V04) (646) HCS PITTSBURGH PA,3343.0,3119.0,3192.0,3406.0,3672.0,3647.0,646pi,79920,4.69,4.92,9.38,3.21,39356,3.08,5.06,6.81,1.06,646,"(V04) (646) Pittsburgh, PA",179.0,1.0,0.0,2.04,35530,0.99,4.02,3.37,5.65,8.46,8.81,7.9,9.14,3.0,"PITTSBURGH, PA",PA,"<[OK] Google - Geocode [Pittsburgh, PA, USA]>",2,ALLEGHENY,"ALLEGHENY, PA",-15204.0,-27689.0,-46577.0,-58993.0,35372.0,47788.0,66676.0,79161.0,12530,18.5932630954,3826,10.7683647622,31860,40564,89.6707008162,103.069417624,27.3195229127,1.0,-224.0,-7.18178903495,73.0,2.28696741855,214.0,6.28302994715,266.0,7.2440087146,-25.0,-0.685494927338,241.0,6.60817109953,5.25543159131,62.0,0.764922905028,0.726867039106,1.1,28.7958115183,1.04,25.8706467662,5.27,137.958115183,3.44,102.077151335,1.11,29.057591623,0.07,7.07070707071,19.7856723429,21.9139018371,10.4315913095,10.7913353441,2.09,1.04,large,Pennsylvania                                                                                                                   ,939069.0,581357.0,-357713.0
23986,3.03,4.59,2.0,3.0,693,(V04) (693) MC WILKES BARRE PA,1138.0,1123.0,1136.0,1198.0,1253.0,1256.0,693wi,49051,3.55,2.02,4.32,12.12,26602,2.03,1.86,3.97,6.13,693,"(V04) (693) Wilkes‰ÛêBarre, PA",71.0,1.0,0.0,0.74,25811,0.77,1.76,1.11,6.77,3.01,7.2,7.93,13.47,,"WILKES‰ÛêBARRE, PA",PA,<[INVALID_REQUEST] Google - Geocode>,0,,,,,,,,,,,25065,104.498457434,791,3.06458486692,-1825,22449,-7.07062880167,84.3883918502,-1330.08219178,1.0,-15.0,-1.3357079252,13.0,1.14436619718,62.0,5.17529215359,55.0,4.38946528332,3.0,0.238853503185,58.0,4.6178343949,5.9265442404,-13.0,0.296969014085,0.774481690141,-2.57,-55.9912854031,0.1,5.68181818182,2.32,50.5446623094,2.86,257.657657658,9.12,198.692810458,5.36,696.103896104,20.0217028381,39.053343949,21.5450751252,21.1799363057,0.52,1.29,average,Pennsylvania                                                                                                                   ,939069.0,581357.0,-357713.0
51989,8.19,12.39,7.7,3.93,512,(V05) (512) HCS BALTIMORE MD,3062.0,3120.0,3194.0,3215.0,3269.0,3411.0,512ba,53145,7.67,4.81,9.19,3.55,47872,2.73,3.72,6.35,1.8,512,"(V05) (512) Baltimore HCS, MD",230.0,0.0,0.0,2.24,45027,1.67,5.18,3.82,7.63,8.15,4.73,10.47,8.39,4.0,"BALTIMORE HCS, MD",MD,<[ZERO_RESULTS] Google - Geocode>,0,,,,,,,,,,,1156,2.22354728885,2845,6.31843116352,6962,5273,15.4618340107,11.0147894385,-24.2602700373,0.0,58.0,1.85897435897,74.0,2.31684408265,21.0,0.653188180404,54.0,1.65188130927,142.0,4.16300205218,196.0,5.74611550865,7.15396578538,-34.0,0.724073913043,1.73190652174,-7.58,-61.1783696529,-1.46,-28.1853281853,1.49,12.0258272801,2.53,66.2303664921,-0.38,-3.06698950767,0.13,7.78443113772,16.1707620529,15.580474934,14.0052877138,14.0345939607,-0.52,0.49,large,Maryland                                                                                                      ,437762.0,322303.0,-115459.0
34329,3.44,5.02,6.09,2.68,613,(V05) (613) MC MARTINSBURG WV,1612.0,1548.0,1616.0,1672.0,1759.0,1805.0,613ma,39979,6.43,3.39,9.88,6.76,35044,4.04,4.73,7.51,4.97,613,"(V05) (613) Martinsburg, WV",51.0,1.0,0.0,0.97,38474,2.02,3.32,2.93,12.0,9.76,15.76,16.04,10.21,2.0,"MARTINSBURG, WV",WV,"<[OK] Google - Geocode [Martinsburg, WV, USA]>",5,BERKELEY,"BERKELEY, WV",951.0,1870.0,3485.0,4714.0,16498.0,15269.0,13654.0,12735.0,5650,16.4583879519,-3430,-8.91511150387,-4145,4935,-10.773509383,14.0822965415,-219.059107358,1.0,-64.0,-4.13436692506,68.0,4.20792079208,56.0,3.34928229665,87.0,4.94599204093,46.0,2.54847645429,133.0,7.36842105263,3.05023923445,82.0,1.08843921569,1.64577254902,-1.63,-32.4701195219,1.41,42.4698795181,3.79,75.4980079681,4.58,156.313993174,4.08,81.2749003984,2.95,146.03960396,20.5316985646,22.1490304709,23.0107655502,19.4149584488,2.99,3.07,average,West Virginia                                                                                                                  ,167355.0,131662.0,-35693.0
41268,5.89,7.91,6.31,8.83,688,(V05) (688) MC WASHINGTON DC,2240.0,2228.0,2249.0,2398.0,2515.0,2465.0,688wa,50602,4.52,4.81,6.67,4.55,48333,0.81,3.08,2.54,2.31,688,"(V05) (688) Washington, DC",104.0,0.0,0.0,2.12,47696,3.51,4.82,3.77,4.43,4.76,6.01,4.94,6.19,9.0,"WASHINGTON, DC",DC,"<[OK] Google - Geocode [Washington, DC, USA]>",1,DISTRICT OF,"DISTRICT OF, DC",,,,,,,,,9334,22.6180091112,637,1.33554176451,-6428,2269,-13.4770211338,4.69451513459,-135.298693217,0.0,-12.0,-0.538599640934,21.0,0.933748332592,149.0,6.21351125938,117.0,4.65208747515,-50.0,-2.02839756592,67.0,2.71805273834,4.33694745621,-37.0,1.11138076923,1.82386346154,-3.1,-39.190897598,-1.74,-36.0995850622,0.36,4.55120101138,-1.23,-32.625994695,-4.28,-54.1087231353,-1.2,-34.188034188,17.2093411176,20.5281947262,19.8899082569,19.6077079108,-1.37,-1.31,average,District of Columbia                                                                                                            ,29825.0,23017.0,-6808.0
15041,5.45,4.94,6.03,5.94,517,(V06) (517) MC BECKLEY WV,724.0,743.0,762.0,797.0,785.0,767.0,517be,14034,7.3,5.07,11.99,2.47,12890,2.37,4.24,6.7,2.87,517,"(V06) (517) Beckley, WV",20.0,1.0,0.0,2.6,11155,2.78,2.48,5.97,11.71,18.41,10.93,12.77,13.54,,"BECKLEY, WV",WV,"<[OK] Google - Geocode [Beckley, WV 25801, USA]>",5,RALEIGH,"RALEIGH, WV",-294.0,-675.0,-1442.0,-2077.0,5127.0,5762.0,6529.0,6910.0,-1007,-6.6950335749,1735,15.5535634245,3886,1144,34.8363962349,8.8750969744,-70.5609881626,1.0,19.0,2.55720053836,19.0,2.49343832021,35.0,4.39146800502,-12.0,-1.52866242038,-18.0,-2.34680573664,-30.0,-3.91134289439,2.50941028858,-50.0,0.98828,1.96859,0.13,2.63157894737,1.76,70.9677419355,5.96,120.647773279,0.73,12.2278056951,-3.47,-70.2429149798,0.09,3.23741007194,18.8720200753,18.29726206,13.9962358846,16.8057366362,1.85,-0.23,small,West Virginia                                                                                                                  ,167355.0,131662.0,-35693.0
68311,8.78,13.75,8.21,2.47,558,(V06) (558) MC DURHAM NC,2497.0,2574.0,2911.0,3240.0,3457.0,3458.0,558du,75922,11.46,6.41,14.11,6.2,51307,6.8,5.9,10.89,3.84,558,"(V06) (558) Durham, NC",83.0,0.0,0.0,5.38,43961,1.66,8.31,6.58,5.87,8.5,8.0,7.07,7.11,5.0,"DURHAM, NC",NC,"<[OK] Google - Geocode [Durham, NC, USA]>",1,DURHAM,"DURHAM, NC",-696.0,-1574.0,-3398.0,-5195.0,10630.0,12427.0,14251.0,15129.0,7611,11.1416902109,7346,16.7102659175,24350,24615,55.390004777,47.9759097199,1.08829568789,0.0,77.0,2.99145299145,337.0,11.5767777396,329.0,10.1543209877,217.0,6.27711888921,1.0,0.0289184499711,218.0,6.3042220937,2.56172839506,135.0,3.24390361446,5.36746987952,-7.34,-53.3818181818,-2.41,-29.0012033694,5.9,42.9090909091,4.31,65.5015197568,3.73,27.1272727273,2.18,131.325301205,21.0836419753,21.955465587,13.5682098765,14.8371891267,2.68,1.42,large,North Carolina                                                                                                                ,775020.0,696825.0,-78195.0
42218,20.32,28.45,18.57,7.02,565,(V06) (565) MC FAYETTEVILLE NC,1142.0,1194.0,1283.0,1458.0,1596.0,1881.0,565fa,73949,14.4,5.5,27.01,5.82,43304,9.23,6.9,17.76,4.69,565,"(V06) (565) Fayetteville, NC",196.0,0.0,0.0,8.37,36397,3.38,14.84,8.45,13.82,12.6,6.18,9.93,10.67,3.0,"FAYETTEVILLE, NC",NC,"<[OK] Google - Geocode [Fayetteville, NC, USA]>",1,CUMBERLAND,"CUMBERLAND, NC",4057.0,6899.0,11914.0,15514.0,63675.0,60075.0,55060.0,52218.0,31731,75.1598844095,6907,18.9768387504,5821,30645,15.9930763524,70.7671346758,426.455935406,0.0,52.0,4.35510887772,89.0,6.93686671863,175.0,12.0027434842,138.0,8.64661654135,285.0,15.1515151515,423.0,22.4880382775,13.4430727023,227.0,1.10391428571,2.11633163265,-22.95,-80.6678383128,-7.94,-53.5040431267,8.44,29.6660808436,9.31,110.177514793,-1.2,-4.21792618629,1.31,38.7573964497,28.9561042524,39.3136629452,24.963648834,23.0217969165,-5.92,0.86,average,North Carolina                                                                                                                ,775020.0,696825.0,-78195.0
33032,19.44,30.53,12.74,14.72,590,(V06) (590) MC HAMPTON VA,1593.0,1586.0,1651.0,1703.0,1771.0,1805.0,590ha,62269,9.79,7.86,13.44,8.99,33451,5.29,9.27,7.11,5.76,590,"(V06) (590) Hampton, VA",93.0,2.0,0.0,8.87,30057,7.76,16.58,7.63,7.67,13.15,11.97,14.24,9.91,,"HAMPTON, VA",VA,"<[OK] Google - Geocode [590 Hampton Hwy, Yorktown, VA 23693, USA]>",9,YORK,"YORK, VA",633.0,1081.0,1838.0,2365.0,11228.0,10701.0,9944.0,9496.0,29237,88.511140712,3394,11.2918787637,2975,28818,9.89786073128,86.1498908852,868.672268908,2.0,-7.0,-0.441361916772,65.0,3.93700787402,52.0,3.0534351145,68.0,3.83963862225,34.0,1.8836565097,102.0,5.65096952909,5.46095126248,9.0,3.03610107527,5.59060107527,-22.67,-74.2548313135,-7.31,-44.0892641737,0.7,2.29282672781,-0.52,-6.81520314548,-5.73,-18.7684245005,-2.0,-25.7731958763,19.3963593658,34.4980609418,17.6494421609,18.5324099723,-9.65,-3.58,average,Virginia                                                                                                                       ,781388.0,776988.0,-4400.0
34621,4.61,8.65,6.05,4.15,637,(V06) (637) MC ASHEVILLE NC,1500.0,1541.0,1588.0,1712.0,1737.0,1798.0,637as,48628,11.95,6.54,17.55,4.05,33643,6.01,6.29,9.38,3.07,637,"(V06) (637) Asheville, NC",96.0,0.0,1.0,2.3,27417,2.48,3.79,3.92,3.46,4.11,9.69,10.03,9.2,1.0,"ASHEVILLE, NC",NC,"<[OK] Google - Geocode [Asheville, NC, USA]>",1,BUNCOMBE,"BUNCOMBE, NC",-1319.0,-2793.0,-6131.0,-9351.0,10818.0,14038.0,17376.0,18850.0,14007,40.4581034632,6226,22.708538498,7204,14985,26.2756683809,44.5412121392,108.0094392,1.0,41.0,2.66060999351,47.0,2.959697733,124.0,7.24299065421,25.0,1.43926309729,61.0,3.39265850945,86.0,4.78309232481,5.60747663551,-10.0,0.675883333333,1.54258333333,-2.11,-24.3930635838,2.5,65.963060686,11.5,132.947976879,5.46,139.285714286,-0.1,-1.15606936416,0.59,23.7903225806,20.222546729,27.0456062291,16.0146028037,18.7113459399,7.34,3.71,average,North Carolina                                                                                                                ,775020.0,696825.0,-78195.0
63003,4.96,9.24,5.27,6.68,652,(V06) (652) MC RICHMOND VA,2296.0,2460.0,2631.0,2729.0,3001.0,3333.0,652ri,77942,9.88,5.21,16.18,3.64,49828,2.98,3.59,6.55,2.83,652,"(V06) (652) Richmond, VA",86.0,1.0,1.0,2.34,42291,3.69,5.83,2.58,5.29,7.06,7.06,8.5,6.45,,"RICHMOND, VA",VA,"<[OK] Google - Geocode [State Rte 652, Virginia, USA]>",1,LOUISA,"LOUISA, VA",70.0,131.0,61.0,-277.0,3347.0,3685.0,3755.0,3694.0,14939,23.7115692904,7537,17.8217587666,20712,28114,48.9749592112,56.4220919965,35.7377365778,2.0,164.0,6.66666666667,171.0,6.49942987457,98.0,3.59105899597,272.0,9.06364545152,332.0,9.96099609961,604.0,18.1218121812,3.15133748626,518.0,1.85000813953,2.93208837209,-4.03,-43.6147186147,-2.24,-38.4219554031,10.91,118.073593074,3.97,153.875968992,-3.04,-32.9004329004,-0.86,-23.3062330623,23.0864785636,23.3849384938,15.496885306,14.9498949895,4.92,0.64,large,Virginia                                                                                                                       ,781388.0,776988.0,-4400.0
40073,4.79,3.27,8.08,0.7,658,(V06) (658) MC SALEM VA,1808.0,1804.0,1922.0,1982.0,1870.0,1907.0,658sa,58989,10.68,5.64,15.7,3.17,33301,5.42,4.14,11.11,2.11,658,"(V06) (658) Salem, VA",69.0,2.0,0.0,2.01,30958,0.62,2.78,4.64,5.43,6.95,3.97,10.66,7.98,,"SALEM, VA",VA,"<[OK] Google - Geocode [658 Virginia Ave, Salem, VA 24153, USA]>",9,,,,,,,,,,,18916,47.2038529683,2343,7.56831836682,9115,25688,29.4431164804,77.1388246599,181.821173889,2.0,-4.0,-0.221729490022,118.0,6.13943808533,60.0,3.02724520686,-112.0,-5.98930481283,37.0,1.94022024122,-75.0,-3.93287886733,3.48133198789,-144.0,0.798544927536,0.939295652174,2.37,72.4770642202,1.36,48.9208633094,7.62,233.027522936,6.47,139.439655172,2.47,75.5351681957,1.49,240.322580645,20.2184661958,30.9328788673,15.6195761857,17.4625065548,5.89,3.41,average,Virginia                                                                                                                       ,781388.0,776988.0,-4400.0
74731,10.62,6.14,12.47,14.64,659,(V06) (659) MC SALISBURY NC,2159.0,2131.0,2258.0,2450.0,2582.0,2721.0,659sa,90192,10.61,4.25,14.38,8.54,56948,4.98,4.96,8.66,4.53,659,"(V06) (659) Salisbury, NC",101.0,1.0,0.0,3.09,56618,5.75,3.24,4.91,9.19,10.34,6.33,5.99,5.7,,"SALISBURY, NC",NC,"<[OK] Google - Geocode [Salisbury, NC, USA]>",4,ROWAN,"ROWAN, NC",-415.0,-1045.0,-2677.0,-4478.0,7482.0,9283.0,10915.0,11545.0,15461,20.6888707498,330,0.582853509485,18113,33244,31.9915927797,58.3760623727,83.5366863579,1.0,-28.0,-1.31393711872,127.0,5.62444641275,192.0,7.83673469388,132.0,5.11231603408,139.0,5.10841602352,271.0,9.95957368614,4.12244897959,170.0,0.785940594059,1.48940594059,-1.89,-30.7817589577,1.72,53.0864197531,1.91,31.1074918567,3.75,76.3747454175,-6.1,-99.348534202,-1.22,-21.2173913043,30.5024489796,33.1466372657,23.1093877551,20.9290701948,-0.01,1.89,average,North Carolina                                                                                                                ,775020.0,696825.0,-78195.0
112008,7.83,19.17,6.35,3.05,508,(V07) (508) MC ATLANTA GA,2983.0,3121.0,3382.0,3712.0,4028.0,4487.0,508at,121853,7.48,7.07,11.81,1.98,82629,4.92,5.75,10.12,1.62,508,"(V07) (508) Atlanta, GA",136.0,1.0,0.0,4.97,73227,1.45,10.03,5.11,9.06,6.1,4.83,8.44,7.08,3.0,"ATLANTA, GA",GA,"<[OK] Google - Geocode [Atlanta, GA, USA]>",1,FULTON,"FULTON, GA",-4064.0,-8250.0,-16115.0,-21926.0,26231.0,32042.0,39907.0,44093.0,9845,8.78955074638,9402,12.8395264042,38781,39224,52.9599737802,47.4700165801,1.14231195689,1.0,138.0,4.42165972445,261.0,7.71732702543,330.0,8.8900862069,316.0,7.84508440914,459.0,10.2295520392,775.0,17.2721194562,3.66379310345,639.0,2.7376,5.23228235294,-12.1,-63.1194574857,-4.28,-42.6719840479,5.46,28.4820031299,5.01,98.0430528376,-1.07,-5.581637976,0.17,11.724137931,30.1745689655,27.1568977045,19.7271012931,18.4151994651,-0.35,-0.05,large,Georgia                                                                                                                     ,752882.0,689620.0,-63262.0
35052,4.81,6.74,6.14,1.72,509,(V07) (509) MC AUGUSTA GA,2402.0,2406.0,2381.0,2361.0,2445.0,2512.0,509au,47675,7.15,9.58,7.9,2.34,32329,5.76,8.64,8.33,2.28,509,"(V07) (509) Augusta, GA",68.0,0.0,0.0,1.48,25860,0.79,3.61,3.83,5.7,11.07,9.15,8.32,10.15,,"AUGUSTA, GA",GA,"<[OK] Google - Geocode [Augusta, GA, USA]>",1,RICHMOND,"RICHMOND, GA",-144.0,-445.0,-813.0,-1116.0,20270.0,20573.0,20941.0,21242.0,12623,36.0122104302,6469,25.0154679041,9192,15346,35.5452436195,47.46821739,66.9495213229,0.0,4.0,0.166251039069,-25.0,-1.04997900042,-20.0,-0.847098686997,84.0,3.43558282209,67.0,2.66719745223,151.0,6.01114649682,2.88013553579,83.0,1.25341323529,2.34016764706,2.84,42.1364985163,5.03,139.335180055,1.76,26.1127596439,4.5,117.493472585,0.62,9.19881305638,1.49,188.607594937,14.8462515883,18.9789012739,10.9529860229,12.8698248408,2.34,4.28,average,Georgia                                                                                                                     ,752882.0,689620.0,-63262.0
50212,5.37,2.51,9.51,2.0,521,(V07) (521) MC BIRMINGHAM AL,2095.0,2072.0,2154.0,2237.0,2396.0,2537.0,521bi,71558,7.13,6.83,10.58,2.63,55964,5.51,3.02,11.79,2.53,521,"(V07) (521) Birmingham, AL",55.0,2.0,0.0,1.44,48878,1.37,1.59,3.99,6.01,12.24,10.47,9.1,9.99,2.0,"BIRMINGHAM, AL",AL,"<[OK] Google - Geocode [Birmingham, AL, USA]>",1,JEFFERSON,"JEFFERSON, AL",-5163.0,-9853.0,-18152.0,-25053.0,24436.0,31337.0,39636.0,44326.0,21346,42.5117501792,7086,14.4973198576,1334,15594,2.72924424076,27.8643413623,1068.96551724,2.0,-23.0,-1.11003861004,82.0,3.80687093779,83.0,3.71032632991,159.0,6.63606010017,141.0,5.55774536855,300.0,11.8249901458,2.45864997765,245.0,0.646696363636,1.02088545455,4.32,172.111553785,1.43,89.9371069182,1.07,42.6294820717,7.8,195.488721805,0.63,25.0996015936,1.16,84.6715328467,22.4461332141,28.2057548285,21.8497988377,22.0591249507,1.76,4.07,average,Alabama,413618.0,359097.0,-54521.0
40782,4.04,4.25,6.61,1.97,534,(V07) (534) MC CHARLESTON SC,1720.0,1803.0,1873.0,1992.0,2215.0,2409.0,534ch,64443,5.58,3.77,9.06,2.92,57170,3.05,3.2,8.5,2.16,534,"(V07) (534) Charleston, SC",137.0,0.0,0.0,1.14,49040,0.97,2.22,3.02,4.85,8.93,5.17,9.7,7.0,1.0,"CHARLESTON, SC",SC,"<[OK] Google - Geocode [Charleston, SC, USA]>",1,CHARLESTON,"CHARLESTON, SC",-1838.0,-3653.0,-6702.0,-8910.0,20448.0,22656.0,25705.0,27520.0,23661,58.0182433427,8130,16.5783034258,-8258,7273,-16.839314845,12.7217071891,-188.072172439,0.0,83.0,4.60343871326,70.0,3.73731980779,119.0,5.97389558233,223.0,10.0677200903,194.0,8.05313408053,417.0,17.3100871731,6.87751004016,280.0,0.322791240876,0.61795620438,-0.48,-11.2941176471,0.98,44.1441441441,2.45,57.6470588235,5.48,181.456953642,0.95,22.3529411765,1.19,122.680412371,20.4728915663,26.7509339975,24.6184738956,23.7318389373,1.54,1.91,average,South Carolina                                                                                                                 ,417554.0,381845.0,-35709.0
