"Pending Appointment and Electronic Wait List
Summary -National, Facility, and Division Level
Summaries Wait Time Calculated from Preferred
Date
For the period ending:  11/1/2016","1. Total Appts
Scheduled","2. Appts
Scheduled 30
Days or Under","3. Percent
Appts
Scheduled
30 Days or
Under","4. Appts
Scheduled Over
30 Days","5. Percent
Appts
Scheduled
Over 30
Days","6. New
Enroll Appt
Req","7. EWL
Count","8. Appts
Between 0-14
Days","9. EWL 0-
14 Days","10. Appts
Between 15-30
Days","11. EWL 15
-30 days","12. Appts
Between 31-60
Days","13. EWL 31
-60 Days","14. Appts
Between 61-90
Days","15. EWL 61
-90 Days","16. Appts
Between 91-
120 Days","17. EWL 91
-120 Days","18. Appts
Beyond 120
Days","19. EWL
Greater
than 120
Days","20. PC
Avg
Wait
Time","21. SC
Avg
Wait
Time","22. MH
Avg
Wait
Time"
(V04) (540) Louis A Johnson VAMC,"22,443","20,431",91.04%,"2,012",8.96%,0,9,"18,653",6,"1,778",2,"1,248",1,339,0,186,0,239,0,4.59,12.3,3.73
(V04) (540GA) Tucker County,282,275,97.52%,7,2.48%,0,0,246,0,29,0,5,0,2,0,0,0,0,0,5.11,16.33,9.96
"(V04) (540GB) Wood County Veterans
Center","2,300","2,221",96.57%,79,3.43%,0,0,"2,070",0,151,0,70,0,4,0,5,0,0,0,4.11,13,3.6
(V04) (540GC) Braxton County,707,663,93.78%,44,6.22%,0,0,610,0,53,0,39,0,4,0,0,0,1,0,7.3,7.31,8.87
(V04) (540GD) Monongalia County,"1,363","1,341",98.39%,22,1.61%,0,0,"1,299",0,42,0,22,0,0,0,0,0,0,0,1.51,1.22,3.58
"(V04) (540HK) Clarksburg VA Mobile
Clinic",119,96,80.67%,23,19.33%,0,0,70,0,26,0,12,0,7,0,4,0,0,0,18.72,13.67,
"(V04) (542) Coatesville, PA","15,284","14,847",97.14%,437,2.86%,1,90,"14,205",26,642,11,280,34,73,9,46,1,38,9,1.72,4.7,6.65
(V04) (542) Coatesville VAMC,"12,141","11,737",96.67%,404,3.33%,0,90,"11,170",26,567,11,270,34,58,9,41,1,35,9,1.95,4.71,7.89
(V04) (542BU) VADOM Coatesville,77,77,100.00%,0,0.00%,0,0,74,0,3,0,0,0,0,0,0,0,0,0,,,0
(V04) (542GA) Springfield,"1,575","1,550",98.41%,25,1.59%,0,0,"1,500",0,50,0,5,0,14,0,5,0,1,0,1.67,,4.31
(V04) (542GE) Spring City,"1,491","1,483",99.46%,8,0.54%,0,0,"1,461",0,22,0,5,0,1,0,0,0,2,0,0.93,0,2.39
"(V04) (562) Erie, PA","23,484","22,412",95.44%,"1,072",4.56%,3,27,"21,398",27,"1,014",0,575,0,208,0,211,0,78,0,6.08,8.44,1.1
(V04) (562) Erie VAMC,"16,691","15,898",95.25%,793,4.75%,0,27,"15,105",27,793,0,367,0,148,0,206,0,72,0,6.31,8.59,1.12
(V04) (562GA) Crawford County,"1,515","1,299",85.74%,216,14.26%,0,0,"1,182",0,117,0,159,0,55,0,1,0,1,0,18.13,5.48,0.97
(V04) (562GB) Ashtabula County,"1,856","1,817",97.90%,39,2.10%,0,0,"1,772",0,45,0,35,0,2,0,2,0,0,0,2.88,6.2,0.87
(V04) (562GC) McKean County,870,864,99.31%,6,0.69%,0,0,847,0,17,0,4,0,1,0,1,0,0,0,1.45,8.45,1.25
(V04) (562GD) Venango County,"1,122","1,110",98.93%,12,1.07%,0,0,"1,087",0,23,0,7,0,2,0,1,0,2,0,3.87,7.01,1.76
(V04) (562GE) Warren,"1,430","1,424",99.58%,6,0.42%,0,0,"1,405",0,19,0,3,0,0,0,0,0,3,0,3.83,3.4,0.29
"(V04) (595) Lebanon, PA","68,627","67,009",97.64%,"1,618",2.36%,1,1,"64,727",1,"2,282",0,806,0,411,0,181,0,220,0,2.74,5.94,2.59
(V04) (595) Lebanon VAMC,"43,145","41,833",96.96%,"1,312",3.04%,0,1,"40,501",1,"1,332",0,631,0,358,0,152,0,171,0,2.27,5.98,2.18
(V04) (595GA) Camp Hill,"8,477","8,334",98.31%,143,1.69%,0,0,"7,954",0,380,0,98,0,17,0,18,0,10,0,3.04,5.79,3.26
(V04) (595GC) Lancaster,"4,804","4,769",99.27%,35,0.73%,0,0,"4,718",0,51,0,13,0,6,0,2,0,14,0,1.85,4.24,1.31
(V04) (595GD) Berks County,"4,307","4,272",99.19%,35,0.81%,0,0,"4,125",0,147,0,18,0,4,0,7,0,6,0,2.73,21.69,4.29
(V04) (595GE) York,"5,705","5,625",98.60%,80,1.40%,0,0,"5,471",0,154,0,39,0,25,0,2,0,14,0,2.48,5.44,1.61
(V04) (595GF) Pottsville,"2,189","2,176",99.41%,13,0.59%,0,0,"1,958",0,218,0,7,0,1,0,0,0,5,0,6.36,,4.47
"(V04) (642) Philadelphia, PA","67,510","63,755",94.44%,"3,755",5.56%,10,475,"59,427",92,"4,328",49,"2,031",142,814,95,547,73,363,23,4.82,8.75,3.47
"(V04) (642) Corporal M. J. Crescenz
VAMC","52,696","49,528",93.99%,"3,168",6.01%,0,463,"45,696",83,"3,832",49,"1,724",141,685,95,458,72,301,22,5.32,8.53,3.69
"(V04) (642GA) Burlington County VA
Clinic","2,021","1,945",96.24%,76,3.76%,0,0,"1,874",0,71,0,42,0,15,0,17,0,2,0,6.93,6.09,1.29
(V04) (642GC) Victor J. Saracini VA OPC,"8,835","8,460",95.76%,375,4.24%,0,5,"8,098",4,362,0,206,0,60,0,55,0,54,1,4.54,13.99,6.28
(V04) (642GD) Gloucester County,"3,958","3,822",96.56%,136,3.44%,0,7,"3,759",5,63,0,59,1,54,0,17,1,6,0,1.94,7.04,1.43
"(V04) (646) Pittsburgh, PA","80,771","76,929",95.24%,"3,842",4.76%,37,1,"71,140",1,"5,789",0,"2,573",0,579,0,319,0,371,0,4.93,9.6,3.35
"(V04) (646) Pittsburgh VAMC University
Dr","42,962","40,227",93.63%,"2,735",6.37%,0,1,"35,839",1,"4,388",0,"1,960",0,427,0,145,0,203,0,9.13,10.24,2.79
(V04) (646A4) H. John Heinz III VAMC,"13,277","12,601",94.91%,676,5.09%,0,0,"11,852",0,749,0,336,0,78,0,144,0,118,0,5.29,11.45,3.84
(V04) (646GA) Belmont County,"4,454","4,330",97.22%,124,2.78%,0,0,"4,164",0,166,0,77,0,36,0,3,0,8,0,4.43,3.99,4.06
(V04) (646GB) Westmoreland County,"7,583","7,554",99.62%,29,0.38%,0,0,"7,387",0,167,0,20,0,5,0,0,0,4,0,1.36,3.41,2.13
(V04) (646GC) Beaver County,"4,304","4,262",99.02%,42,0.98%,0,0,"4,186",0,76,0,23,0,4,0,3,0,12,0,2.76,3.58,6.73
(V04) (646GD) Washington County,"4,750","4,528",95.33%,222,4.67%,0,0,"4,328",0,200,0,147,0,28,0,24,0,23,0,6.36,3.39,7.23
(V04) (646GE) Fayette County,"3,441","3,427",99.59%,14,0.41%,0,0,"3,384",0,43,0,10,0,1,0,0,0,3,0,1.57,2.68,1.35
"(V04) (693) Wilkes-Barre,PA","32,273","31,197",96.67%,"1,076",3.33%,0,1,"29,771",1,"1,426",0,790,0,208,0,38,0,40,0,1.98,4.28,7.4
(V04) (693B4) Allentown,"10,562","10,003",94.71%,559,5.29%,0,6,"9,463",3,540,3,253,0,103,0,55,0,148,0,2.1,3.67,25.14
(V04) (693GA) Sayre,"1,558","1,499",96.21%,59,3.79%,0,6,"1,436",6,63,0,47,0,9,0,0,0,3,0,2.06,2.85,10.52
(V04) (693GB) Williamsport,"2,566","2,434",94.86%,132,5.14%,0,4,"2,308",4,126,0,53,0,27,0,45,0,7,0,1.58,1.36,12.06
(V04) (693GC) Tobyhanna,297,297,100.00%,0,0.00%,0,0,295,0,2,0,0,0,0,0,0,0,0,0,0.58,,1.72
(V04) (693GF) Columbia County,212,207,97.64%,5,2.36%,0,0,200,0,7,0,4,0,1,0,0,0,0,0,0,,4.41
(V04) (693GG) Northampton County,763,760,99.61%,3,0.39%,0,0,740,0,20,0,0,0,1,0,1,0,1,0,1.85,0.21,5.57
"(V05) (512) Baltimore HCS, MD","50,123","46,591",92.95%,"3,532",7.05%,16,466,"42,165",36,"4,426",140,"2,028",49,848,54,280,70,376,117,5.3,8.89,3.33
(V05) (512) Baltimore VA Medical Center,"32,805","30,076",91.68%,"2,729",8.32%,0,112,"27,166",27,"2,910",9,"1,464",21,701,8,201,14,363,33,5.03,9.23,1.17
(V05) (512A5) Perry Point,"6,525","6,460",99.00%,65,1.00%,0,349,"6,068",7,392,129,44,27,8,46,8,56,5,84,3.44,3.31,1.99
(V05) (512GA) Cambridge,"2,431","2,309",94.98%,122,5.02%,0,1,"2,127",0,182,0,57,1,17,0,44,0,4,0,4.49,12.89,5.2
(V05) (512GC) Glen Burnie,"2,430","2,087",85.88%,343,14.12%,0,0,"1,708",0,379,0,264,0,56,0,21,0,2,0,8.94,24.41,12.2
(V05) (512GD) Loch Raven,"3,740","3,531",94.41%,209,5.59%,0,2,"3,243",1,288,1,145,0,60,0,4,0,0,0,5.28,8.71,2.85
(V05) (512GE) Pocomoke City,547,534,97.62%,13,2.38%,0,0,481,0,53,0,10,0,2,0,1,0,0,0,3.37,,7.19
(V05) (512GF) Fort Howard,468,462,98.72%,6,1.28%,0,1,439,0,23,1,5,0,0,0,1,0,0,0,3.22,0,2.98
(V05) (512GG) Fort Meade,"1,177","1,132",96.18%,45,3.82%,0,1,933,1,199,0,39,0,4,0,0,0,2,0,8.98,7.83,6.89
"(V05) (613) Martinsburg, WV","39,524","37,064",93.78%,"2,460",6.22%,75,88,"34,523",22,"2,541",7,"1,702",26,446,21,140,2,172,10,3.47,9.72,5.84
"(V05) (613) Martinsburg VA Medical
Center","27,734","25,645",92.47%,"2,089",7.53%,0,87,"23,842",21,"1,803",7,"1,463",26,361,21,111,2,154,10,2.72,9.83,5.53
(V05) (613BU) VADOM Martinsburg,347,341,98.27%,6,1.73%,0,1,318,1,23,0,5,0,0,0,0,0,1,0,,17.38,7.43
(V05) (613GA) Cumberland,"1,554","1,536",98.84%,18,1.16%,0,0,"1,431",0,105,0,14,0,1,0,2,0,1,0,5.06,8.13,3.06
(V05) (613GB) Hagerstown,"2,031","2,017",99.31%,14,0.69%,0,0,"1,913",0,104,0,13,0,0,0,1,0,0,0,2.78,9.05,3.46
(V05) (613GC) Stephens City,"2,853","2,774",97.23%,79,2.77%,0,0,"2,529",0,245,0,57,0,17,0,1,0,4,0,5.33,9.8,10.12
(V05) (613GD) Franklin,124,124,100.00%,0,0.00%,0,0,121,0,3,0,0,0,0,0,0,0,0,0,6.4,,0
(V05) (613GE) Petersburg,573,568,99.13%,5,0.87%,0,0,556,0,12,0,3,0,2,0,0,0,0,0,3.25,0,0.43
(V05) (613GF) Harrisonburg,"1,694","1,633",96.40%,61,3.60%,0,0,"1,547",0,86,0,41,0,17,0,1,0,2,0,5.65,1.45,4.53
(V05) (613GG) Fort Detrick,"2,614","2,426",92.81%,188,7.19%,0,0,"2,266",0,160,0,106,0,48,0,24,0,10,0,2.05,9.04,11.42
"(V05) (688) Washington, DC","50,104","47,305",94.41%,"2,799",5.59%,33,5,"43,752",4,"3,553",0,"1,677",0,624,1,362,0,136,0,5.14,7.8,4.59
"(V05) (688) Washington VA Medical
Center","42,825","40,421",94.39%,"2,404",5.61%,0,5,"37,353",4,"3,068",0,"1,331",0,578,1,360,0,135,0,5.37,7.79,4.76
"(V05) (688DV) Charlotte Hall State
Veterans Home",2,2,100.00%,0,0.00%,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0
(V05) (688GA) Fort Belvoir,"2,737","2,562",93.61%,175,6.39%,0,0,"2,355",0,207,0,142,0,31,0,1,0,1,0,4.79,10.54,3.44
(V05) (688GB) Southeast Washington,490,484,98.78%,6,1.22%,0,0,460,0,24,0,5,0,1,0,0,0,0,0,1.39,2.98,2.35
(V05) (688GD) Charlotte Hall,"1,813","1,665",91.84%,148,8.16%,0,0,"1,491",0,174,0,146,0,1,0,1,0,0,0,8.27,7.82,8.63
"(V05) (688GE) Southern Prince Georges
County","2,237","2,171",97.05%,66,2.95%,0,0,"2,091",0,80,0,53,0,13,0,0,0,0,0,2.23,4.56,2.42
"(V06) (517) Beckley, WV","14,912","13,523",90.69%,"1,389",9.31%,0,247,"12,541",34,982,22,919,45,300,10,151,12,19,124,4.65,13.92,2.67
(V06) (517) Beckley VAMC,"13,820","12,448",90.07%,"1,372",9.93%,0,247,"11,567",34,881,22,903,45,300,10,151,12,18,124,4.38,14.04,2.74
(V06) (517GB) Greenbrier County,657,643,97.87%,14,2.13%,0,0,582,0,61,0,14,0,0,0,0,0,0,0,9.01,0.97,2.14
(V06) (517QA) Princeton,435,432,99.31%,3,0.69%,0,0,392,0,40,0,2,0,0,0,0,0,1,0,4.33,24.75,
"(V06) (558) Durham, NC","77,508","68,996",89.02%,"8,512",10.98%,34,749,"62,890",87,"6,106",52,"4,778",180,"2,356",106,773,121,605,203,6.03,13.32,6.45
(V06) (558) Durham VAMC,"51,386","45,648",88.83%,"5,738",11.17%,0,591,"41,588",73,"4,060",45,"3,149",159,"1,638",85,529,74,422,155,5.64,12.78,3.55
(V06) (558GA) Greenville,"16,493","14,265",86.49%,"2,228",13.51%,0,146,"12,946",12,"1,319",5,"1,239",21,612,21,202,47,175,40,7.21,15.48,7.39
(V06) (558GB) Raleigh,"6,346","6,043",95.23%,303,4.77%,0,6,"5,476",2,567,1,202,0,59,0,35,0,7,3,6.4,9.6,7.87
(V06) (558GC) Morehead City,"3,283","3,040",92.60%,243,7.40%,0,6,"2,880",0,160,1,188,0,47,0,7,0,1,5,4.77,6.01,10.95
"(V06) (565) Fayetteville, NC","75,890","66,635",87.80%,"9,255",12.20%,3,"1,354","61,356",359,"5,279",251,"4,242",258,"2,117",257,"1,339",121,"1,557",108,4.64,23.41,6.23
(V06) (565GA) Jacksonville VA Clinic,"3,316","3,161",95.33%,155,4.67%,0,6,"2,882",6,279,0,105,0,30,0,14,0,6,0,6.63,8.08,6.21
(V06) (565GC) Wilmington,"16,405","13,250",80.77%,"3,155",19.23%,0,361,"11,891",211,"1,359",107,"1,111",5,595,38,510,0,939,0,9.23,37.74,8.08
(V06) (565GD) Hamlet,"1,776","1,595",89.81%,181,10.19%,0,0,"1,480",0,115,0,81,0,78,0,21,0,1,0,11.27,51.33,7.02
(V06) (565GE) Robeson County,"2,047","2,005",97.95%,42,2.05%,0,2,"1,950",2,55,0,25,0,8,0,5,0,4,0,1.41,29.23,9.46
(V06) (565GF) Goldsboro,837,817,97.61%,20,2.39%,0,11,755,4,62,3,15,0,1,0,1,0,3,4,6.49,27.13,2.08
(V06) (565GG) Lee County,"1,784","1,774",99.44%,10,0.56%,0,0,"1,729",0,45,0,5,0,0,0,4,0,1,0,2.16,3.4,5.82
(V06) (565GL) Cumberland County,"35,732","31,865",89.18%,"3,867",10.82%,0,47,"29,502",13,"2,363",5,"2,166",5,942,2,526,4,233,18,3.03,18.6,4.37
(V06) (565MB) IDES Fort Bragg,44,36,81.82%,8,18.18%,0,0,24,0,12,0,8,0,0,0,0,0,0,0,,14.76,0
(V06) (565MD) IDES Camp Lejeune,71,71,100.00%,0,0.00%,0,0,25,0,46,0,0,0,0,0,0,0,0,0,,19.66,6.07
"(V06) (590) Hampton, VA","61,176","54,971",89.86%,"6,205",10.14%,32,7,"50,060",6,"4,911",0,"3,297",1,"1,463",0,"1,129",0,316,0,8,13.59,8.58
(V06) (590) Hampton VAMC,"47,164","42,090",89.24%,"5,074",10.76%,0,6,"38,199",5,"3,891",0,"2,685",1,"1,112",0,999,0,278,0,8.02,13.88,7.69
(V06) (590GB) Virginia Beach,"6,847","6,211",90.71%,636,9.29%,0,1,"5,594",1,617,0,325,0,225,0,59,0,27,0,8.73,9.76,13.53
(V06) (590GC) Albemarle,"2,004","1,964",98.00%,40,2.00%,0,0,"1,855",0,109,0,34,0,3,0,1,0,2,0,3.41,0,3.74
(V06) (590GD) Chesapeake,"5,084","4,630",91.07%,454,8.93%,0,0,"4,351",0,279,0,252,0,123,0,70,0,9,0,8.87,1.82,6.85
(V06) (590MA) IDES Portsmouth,44,43,97.73%,1,2.27%,0,0,28,0,15,0,1,0,0,0,0,0,0,0,,8.38,17.5
(V06) (590MB) IDES Langley,17,17,100.00%,0,0.00%,0,0,17,0,0,0,0,0,0,0,0,0,0,0,,6.76,
(V06) (590MC) IDES Fort Eustis,16,16,100.00%,0,0.00%,0,0,16,0,0,0,0,0,0,0,0,0,0,0,,4.4,8.17
"(V06) (637) Asheville, NC","47,771","42,105",88.14%,"5,666",11.86%,4,126,"38,338",14,"3,767",11,"3,237",15,"1,481",23,633,7,315,56,6.52,17.07,4.35
(V06) (637) Charles George VAMC,"40,607","35,285",86.89%,"5,322",13.11%,0,102,"32,025",8,"3,260",4,"2,936",10,"1,445",20,630,6,311,54,5.89,17.48,4.44
(V06) (637GA) Franklin,"1,753","1,722",98.23%,31,1.77%,0,10,"1,649",1,73,4,26,2,1,1,1,1,3,1,4.68,3.49,3.96
(V06) (637GB) Rutherford County,"1,666","1,627",97.66%,39,2.34%,0,14,"1,560",5,67,3,31,3,7,2,1,0,0,1,4.54,1.29,4.61
(V06) (637GC) Hickory,"3,745","3,471",92.68%,274,7.32%,0,0,"3,104",0,367,0,244,0,28,0,1,0,1,0,10.26,8.25,4.14
"(V06) (652) Richmond, VA","75,841","68,411",90.20%,"7,430",9.80%,5,44,"62,768",6,"5,643",8,"2,962",6,"1,746",0,"1,158",1,"1,564",23,4.98,15.98,3.81
"(V06) (652) Hunter Holmes McGuire
Hospital","68,990","61,658",89.37%,"7,332",10.63%,0,34,"56,248",5,"5,410",8,"2,884",6,"1,737",0,"1,153",0,"1,558",15,5.97,16.07,4.58
(V06) (652GA) Fredericksburg,"1,881","1,849",98.30%,32,1.70%,0,1,"1,779",1,70,0,27,0,1,0,0,0,4,0,2.96,7.96,2.56
(V06) (652GB) Fredericksburg 2 VA Clinic,"1,597","1,581",99.00%,16,1.00%,0,7,"1,527",0,54,0,16,0,0,0,0,1,0,6,3.58,2.82,2.8
(V06) (652GE) Charlottesville,"2,406","2,377",98.79%,29,1.21%,0,2,"2,296",0,81,0,21,0,5,0,3,0,0,2,1.93,6.33,1.59
(V06) (652GF) Emporia,967,946,97.83%,21,2.17%,0,0,918,0,28,0,14,0,3,0,2,0,2,0,1.75,15.02,1.81
"(V06) (658) Salem, VA","57,945","51,528",88.93%,"6,417",11.07%,18,156,"47,614",18,"3,914",13,"2,851",40,"1,429",60,"1,502",20,635,5,5.47,15.45,2.83
(V06) (658) Salem VAMC,"48,067","41,867",87.10%,"6,200",12.90%,0,154,"38,237",17,"3,630",13,"2,696",40,"1,392",60,"1,497",20,615,4,6.32,15.6,2.73
(V06) (658GA) Tazewell,312,310,99.36%,2,0.64%,0,0,306,0,4,0,0,0,1,0,0,0,1,0,3.66,,0
(V06) (658GB) Danville,"2,536","2,513",99.09%,23,0.91%,0,1,"2,476",1,37,0,10,0,1,0,0,0,12,0,2.95,0.04,3.1
(V06) (658GC) Lynchburg,"2,418","2,269",93.84%,149,6.16%,0,0,"2,113",0,156,0,113,0,34,0,1,0,1,0,12.52,0,5.27
(V06) (658GD) Staunton,"2,148","2,134",99.35%,14,0.65%,0,0,"2,083",0,51,0,9,0,0,0,1,0,4,0,3.8,0.31,0.6
(V06) (658GE) Wytheville,"2,464","2,435",98.82%,29,1.18%,0,1,"2,399",0,36,0,23,0,1,0,3,0,2,1,1.83,0.38,1.93
"(V06) (659) Salisbury, NC","92,667","82,942",89.51%,"9,725",10.49%,57,145,"76,137",66,"6,805",39,"4,854",30,"2,713",3,"1,050",1,"1,108",6,4.17,13.93,9.67
"(V06) (659) W.G. (Bill) Hefner Salisbury
VAMC","46,066","40,282",87.44%,"5,784",12.56%,0,96,"37,238",42,"3,044",28,"2,687",17,"1,529",2,665,1,903,6,3.84,15.86,5.34
(V06) (659BY) Kernersville,"25,326","23,614",93.24%,"1,712",6.76%,0,6,"21,783",5,"1,831",0,"1,034",0,394,1,154,0,130,0,3.45,9.81,13.11
(V06) (659BZ) South Charlotte,"19,313","17,148",88.79%,"2,165",11.21%,0,9,"15,445",9,"1,703",0,"1,078",0,789,0,227,0,71,0,6.19,13.8,11.07
(V06) (659GA) North Charlotte,"1,962","1,898",96.74%,64,3.26%,0,34,"1,671",10,227,11,55,13,1,0,4,0,4,0,4.94,7.69,5.13
"(V07) (508) Atlanta, GA","123,288","114,126",92.57%,"9,162",7.43%,21,648,"104,241",52,"9,885",19,"5,602",54,"2,194",57,532,73,834,392,5.93,12.76,2.18
(V07) (508) Atlanta VA Medical Center,"73,269","67,216",91.74%,"6,053",8.26%,0,526,"61,013",48,"6,203",19,"3,433",54,"1,465",51,425,36,730,318,6.16,13.24,2.34
(V07) (508GE) Oakwood,"4,264","4,177",97.96%,87,2.04%,0,1,"3,910",1,267,0,55,0,11,0,11,0,10,0,4.37,7.17,1.6
(V07) (508GF) Austell,"2,906","2,891",99.48%,15,0.52%,0,0,"2,744",0,147,0,12,0,1,0,2,0,0,0,3.3,21.92,1.68
(V07) (508GG) Stockbridge,"2,906","2,832",97.45%,74,2.55%,0,1,"2,648",1,184,0,62,0,9,0,1,0,2,0,4.17,18.39,1.1
(V07) (508GH) Lawrenceville,"2,472","2,440",98.71%,32,1.29%,0,0,"2,316",0,124,0,29,0,1,0,1,0,1,0,4.07,7.67,1.1
(V07) (508GI) Newnan,"2,796","2,760",98.71%,36,1.29%,0,0,"2,615",0,145,0,27,0,7,0,1,0,1,0,3.19,6.65,3.89
(V07) (508GJ) Blairsville,"1,895","1,839",97.04%,56,2.96%,0,0,"1,772",0,67,0,40,0,16,0,0,0,0,0,4.69,2.98,1.24
"(V07) (508GK) Trinka Davis Veterans
Village","4,367","3,992",91.41%,375,8.59%,0,0,"3,512",0,480,0,312,0,48,0,11,0,4,0,13.49,8.95,2.16
(V07) (508QF) Atlanta VA Clinic,"21,195","19,109",90.16%,"2,086",9.84%,0,120,"17,384",2,"1,725",0,"1,315",0,613,6,76,37,82,74,8.03,11.87,2.67
"(V07) (509) Augusta, GA","46,886","43,454",92.68%,"3,432",7.32%,8,58,"40,226",5,"3,228",3,"2,330",4,679,4,272,1,151,41,8.85,8.09,2.5
"(V07) (509) Charlie Norwood VA Medical
Center","23,034","21,076",91.50%,"1,958",8.50%,0,4,"19,242",0,"1,834",3,"1,278",0,368,0,211,0,101,1,,9.08,2.9
(V07) (509A0) Lenwood (Uptown),"20,256","18,942",93.51%,"1,314",6.49%,0,53,"17,756",4,"1,186",0,910,4,302,4,56,1,46,40,9.16,5.48,2.52
(V07) (509GA) Athens,"2,104","1,961",93.20%,143,6.80%,0,0,"1,817",0,144,0,127,0,8,0,4,0,4,0,12.91,4.44,2.39
(V07) (509GB) Aiken,"1,492","1,475",98.86%,17,1.14%,0,1,"1,411",1,64,0,15,0,1,0,1,0,0,0,3.64,3.85,2.28
"(V07) (521) Birmingham, AL","71,760","66,834",93.14%,"4,926",6.86%,4,105,"61,975",19,"4,859",9,"3,142",11,"1,295",14,348,18,141,34,7.63,10.18,2.52
"(V07) (521) Birmingham VA Medical
Center","44,317","40,884",92.25%,"3,433",7.75%,0,35,"37,582",10,"3,302",3,"2,122",3,927,3,255,9,129,7,9.07,10.47,2.35
(V07) (521GA) Huntsville AL,"9,409","8,621",91.63%,788,8.37%,0,18,"7,805",2,816,1,469,2,251,3,58,0,10,10,13.53,9.2,3.08
(V07) (521GB) Decatur AL/Madison,0,0,0.00%,0,0.00%,0,7,0,2,0,0,0,0,0,0,0,0,0,5,,,
(V07) (521GC) Florence AL (Shoals Area),"1,699","1,686",99.23%,13,0.77%,0,0,"1,623",0,63,0,10,0,2,0,1,0,0,0,7.5,3.61,3.61
(V07) (521GD) Rainbow City,"1,820","1,811",99.51%,9,0.49%,0,0,"1,751",0,60,0,8,0,1,0,0,0,0,0,1.29,1.47,3.33
(V07) (521GE) Anniston/Oxford AL,"1,764","1,763",99.94%,1,0.06%,0,27,"1,686",1,77,0,1,2,0,7,0,7,0,10,3.15,0.11,3.06
(V07) (521GF) Jasper AL,"1,257","1,247",99.20%,10,0.80%,0,11,"1,241",2,6,2,3,4,4,1,3,2,0,0,0.5,3.94,1.18
(V07) (521GG) Bessemer,"1,745","1,706",97.77%,39,2.23%,0,2,"1,670",1,36,0,23,0,14,0,1,0,1,1,4.93,1.61,1.66
(V07) (521GH) Childersburg,"1,743","1,742",99.94%,1,0.06%,0,0,"1,711",0,31,0,0,0,0,0,1,0,0,0,2.2,0.23,1.23
(V07) (521GI) Guntersville,"1,889","1,887",99.89%,2,0.11%,0,3,"1,868",0,19,2,2,0,0,0,0,0,0,1,1.23,4.34,2.2
(V07) (521GJ) Birmingham VA Clinic,"6,117","5,487",89.70%,630,10.30%,0,2,"5,038",1,449,1,504,0,96,0,29,0,1,0,5.55,10.54,3.54
"(V07) (534) Charleston, SC","62,496","58,934",94.30%,"3,562",5.70%,113,74,"55,184",23,"3,750",10,"2,355",14,753,13,286,4,168,10,3.76,8.96,3.54
"(V07) (534) Ralph H Johnsons VA
Medical Center","32,936","30,644",93.04%,"2,292",6.96%,0,35,"28,842",6,"1,802",4,"1,536",9,530,6,126,4,100,6,4.91,7.94,2.56
(V07) (534BY) Savannah,"8,341","8,094",97.04%,247,2.96%,0,10,"7,487",2,607,1,196,2,43,3,2,0,6,2,3.93,6.14,4.92
(V07) (534GB) Myrtle Beach,"7,346","6,779",92.28%,567,7.72%,0,29,"6,173",15,606,5,298,3,94,4,126,0,49,2,4.95,19.15,4.72
(V07) (534GC) Beaufort,"1,716","1,653",96.33%,63,3.67%,0,0,"1,532",0,121,0,56,0,6,0,0,0,1,0,6.11,3.23,2.13
(V07) (534GD) Goose Creek,"8,066","7,745",96.02%,321,3.98%,0,0,"7,328",0,417,0,207,0,75,0,29,0,10,0,2.55,13.71,5.69
(V07) (534GE) Hinesville,"4,063","3,991",98.23%,72,1.77%,0,0,"3,794",0,197,0,62,0,5,0,3,0,2,0,2.65,2.79,3.08
(V07) (534QC) Charleston,28,28,100.00%,0,0.00%,0,0,28,0,0,0,0,0,0,0,0,0,0,0,,,
"(V07) (544) Columbia, SC","88,748","79,605",89.70%,"9,143",10.30%,33,541,"73,406",229,"6,199",88,"3,688",134,"2,241",77,"1,037",1,"2,177",12,8.03,17.17,4.35
"(V07) (544) Wm. Jennings Bryan Dorn VA
Medical Center","57,889","51,018",88.13%,"6,871",11.87%,0,538,"46,832",226,"4,186",88,"2,415",134,"1,643",77,807,1,"2,006",12,8.56,17.42,3.78
(V07) (544BZ) Greenville SC,"9,205","8,155",88.59%,"1,050",11.41%,0,1,"7,086",1,"1,069",0,589,0,283,0,103,0,75,0,9.86,14.58,10.93
(V07) (544GB) Florence,"3,821","3,628",94.95%,193,5.05%,0,0,"3,496",0,132,0,155,0,19,0,8,0,11,0,5.55,7.51,0.86
(V07) (544GC) Rock Hill,"6,878","6,817",99.11%,61,0.89%,0,2,"6,719",2,98,0,24,0,28,0,5,0,4,0,2.46,,2.52
(V07) (544GD) Anderson,"2,535","1,914",75.50%,621,24.50%,0,0,"1,680",0,234,0,239,0,234,0,89,0,59,0,33.08,41.57,6.9
(V07) (544GE) Orangeburg,"1,540","1,427",92.66%,113,7.34%,0,0,"1,293",0,134,0,99,0,10,0,1,0,3,0,11.31,,1.7
(V07) (544GF) Sumter,"2,771","2,613",94.30%,158,5.70%,0,0,"2,427",0,186,0,113,0,18,0,20,0,7,0,8.9,,2.27
"(V07) (557) Dublin, GA","28,586","23,070",80.70%,"5,516",19.30%,157,172,"20,913",18,"2,157",14,"2,381",25,"1,109",42,"1,455",16,571,57,12.34,27.79,4.31
