Appts_Pending_1412,%_Appts_Over_30_Pending_1412,PC_Wait_Pending_1412,SC_Wait_Pending_1412,MH_Wait_Pending_1412,ID,ORGANIZATION,MAY-FY11,MAY-FY12,MAY-FY13,MAY-FY14,MAY-FY15,MAY-FY16,Appts_Pending_1610,%_Appts_Over_30_Pending_1610,PC_Wait_Pending_1610,SC_Wait_Pending_1610,MH_Wait_Pending_1610,Appts_Complete_1608,%_Appts_Over_30_Complete_1608,PC_Wait_Complete_1608,SC_Wait_Complete_1608,MH_Wait_Complete_1608,Station,Location,for_dups,Choice_Hires,Interim,Vacancy,%_Appts_Over_30_Complete_1409,Appts_Complete_1409,MH_Wait_Complete_1409,PC_Wait_Complete_1409,SC_Wait_Complete_1409,Physician_Turnover_FY11,Physician_Turnover_FY12,Physician_Turnover_FY13,Physician_Turnover_FY14,Physician_Turnover_FY15,Pending_Increase,Pending_Increase_%,Complete_Increase,Complete_Increase_%,Missing_Leadership,Staff_11_To_12_Increase,Staff_11_To_12_Increase_%,Staff_12_To_13_Increase,Staff_12_To_13_Increase_%,Staff_13_To_14_Increase,Staff_13_To_14_Increase_%,Staff_14_To_15_Increase,Staff_14_To_15_Increase_%,Staff_15_To_16_Increase,Staff_15_To_16_Increase_%,Staff_14_To_16_Increase,Staff_14_To_16_Increase_%,Choice_Increase_%,Choice_Staff_Dif,PC_Wait_Pending_Increase,PC_Wait_Pending_Increase_%,PC_Wait_Complete_Increase,PC_Wait_Complete_Increase_%,SC_Wait_Pending_Increase,SC_Wait_Pending_Increase_%,SC_Wait_Complete_Increase,SC_Wait_Complete_Increase_%,MH_Wait_Pending_Increase,MH_Wait_Pending_Increase_%,MH_Wait_Complete_Increase,MH_Wait_Complete_Increase_%,Staff_To_Appts_Pending_14,Staff_To_Appts_Pending_16,Staff_To_Appts_Complete_14,Staff_To_Appts_Complete_16
15041,5.45%,4.94,6.03,5.94,517be,(V06) (517) MC BECKLEY WV,724.0,743.0,762.0,797.0,785.0,767.0,14034,7.30%,5.07,11.99,2.47,12890,0.0237,4.24,6.7,2.87,517,"(V06) (517) Beckley, WV",517,20.0,1.0,0.0,0.026,11155,2.78,2.48,5.97,0.1171,0.1841,0.1093,0.1277,0.1354,-1007,-0.066950335749,1735,0.155535634245,1.0,19.0,0.0255720053836,19.0,0.0249343832021,35.0,0.0439146800502,-12.0,-0.0152866242038,-18.0,-0.0234680573664,-30.0,-0.0391134289439,0.0250941028858,-50.0,0.13,0.0263157894737,1.76,0.709677419355,5.96,1.20647773279,0.73,0.122278056951,-3.47,-0.702429149798,0.09,0.0323741007194,0.0529884981052,0.0546529856064,0.071447781264,0.0595034910784
68311,8.78%,13.75,8.21,2.47,558du,(V06) (558) MC DURHAM NC,2497.0,2574.0,2911.0,3240.0,3457.0,3458.0,75922,11.46%,6.41,14.11,6.2,51307,0.068,5.9,10.89,3.84,558,"(V06) (558) Durham, NC",558,83.0,0.0,0.0,0.0538,43961,1.66,8.31,6.58,0.0587,0.085,0.08,0.0707,0.0711,7611,0.111416902109,7346,0.167102659175,0.0,77.0,0.0299145299145,337.0,0.115767777396,329.0,0.101543209877,217.0,0.0627711888921,1.0,0.000289184499711,218.0,0.063042220937,0.0256172839506,135.0,-7.34,-0.533818181818,-2.41,-0.290012033694,5.9,0.429090909091,4.31,0.655015197568,3.73,0.271272727273,2.18,1.31325301205,0.0474301357029,0.0455467453439,0.0737016901344,0.0673982107705
42218,20.32%,28.45,18.57,7.02,565fa,(V06) (565) MC FAYETTEVILLE NC,1142.0,1194.0,1283.0,1458.0,1596.0,1881.0,73949,14.40%,5.5,27.01,5.82,43304,0.0923,6.9,17.76,4.69,565,"(V06) (565) Fayetteville, NC",565,196.0,0.0,0.0,0.0837,36397,3.38,14.84,8.45,0.1382,0.126,0.0618,0.0993,0.1067,31731,0.751598844095,6907,0.189768387504,0.0,52.0,0.0435510887772,89.0,0.0693686671863,175.0,0.120027434842,138.0,0.0864661654135,285.0,0.151515151515,423.0,0.224880382775,0.134430727023,227.0,-22.95,-0.806678383128,-7.94,-0.535040431267,8.44,0.296660808436,9.31,1.10177514793,-1.2,-0.0421792618629,1.31,0.387573964497,0.0345350324506,0.0254364494449,0.0400582465588,0.0434370958803
33032,19.44%,30.53,12.74,14.72,590ha,(V06) (590) MC HAMPTON VA,1593.0,1586.0,1651.0,1703.0,1771.0,1805.0,62269,9.79%,7.86,13.44,8.99,33451,0.0529,9.27,7.11,5.76,590,"(V06) (590) Hampton, VA",590,93.0,2.0,0.0,0.0887,30057,7.76,16.58,7.63,0.0767,0.1315,0.1197,0.1424,0.0991,29237,0.88511140712,3394,0.112918787637,2.0,-7.0,-0.00441361916772,65.0,0.0393700787402,52.0,0.030534351145,68.0,0.0383963862225,34.0,0.018836565097,102.0,0.0565096952909,0.0546095126248,9.0,-22.67,-0.742548313135,-7.31,-0.440892641737,0.7,0.0229282672781,-0.52,-0.0681520314548,-5.73,-0.187684245005,-2.0,-0.257731958763,0.0515560668443,0.0289871364563,0.056659014539,0.0539595228842
34621,4.61%,8.65,6.05,4.15,637as,(V06) (637) MC ASHEVILLE NC,1500.0,1541.0,1588.0,1712.0,1737.0,1798.0,48628,11.95%,6.54,17.55,4.05,33643,0.0601,6.29,9.38,3.07,637,"(V06) (637) Asheville, NC",637,96.0,0.0,1.0,0.023,27417,2.48,3.79,3.92,0.0346,0.0411,0.0969,0.1003,0.092,14007,0.404581034632,6226,0.22708538498,1.0,41.0,0.0266060999351,47.0,0.02959697733,124.0,0.0724299065421,25.0,0.0143926309729,61.0,0.0339265850945,86.0,0.0478309232481,0.0560747663551,-10.0,-2.11,-0.243930635838,2.5,0.65963060686,11.5,1.32947976879,5.46,1.39285714286,-0.1,-0.0115606936416,0.59,0.237903225806,0.0494497559285,0.036974582545,0.0624430098114,0.053443509794
63003,4.96%,9.24,5.27,6.68,652ri,(V06) (652) MC RICHMOND VA,2296.0,2460.0,2631.0,2729.0,3001.0,3333.0,77942,9.88%,5.21,16.18,3.64,49828,0.0298,3.59,6.55,2.83,652,"(V06) (652) Richmond, VA",652,86.0,1.0,1.0,0.0234,42291,3.69,5.83,2.58,0.0529,0.0706,0.0706,0.085,0.0645,14939,0.237115692904,7537,0.178217587666,2.0,164.0,0.0666666666667,171.0,0.0649942987457,98.0,0.0359105899597,272.0,0.0906364545152,332.0,0.0996099609961,604.0,0.181218121812,0.0315133748626,518.0,-4.03,-0.436147186147,-2.24,-0.384219554031,10.91,1.18073593074,3.97,1.53875968992,-3.04,-0.329004329004,-0.86,-0.233062330623,0.0433153976795,0.042762567037,0.0645290960252,0.0668901019507
40073,4.79%,3.27,8.08,0.7,658sa,(V06) (658) MC SALEM VA,1808.0,1804.0,1922.0,1982.0,1870.0,1907.0,58989,10.68%,5.64,15.7,3.17,33301,0.0542,4.14,11.11,2.11,658,"(V06) (658) Salem, VA",658,69.0,2.0,0.0,0.0201,30958,0.62,2.78,4.64,0.0543,0.0695,0.0397,0.1066,0.0798,18916,0.472038529683,2343,0.0756831836682,2.0,-4.0,-0.00221729490022,118.0,0.0613943808533,60.0,0.0302724520686,-112.0,-0.0598930481283,37.0,0.0194022024122,-75.0,-0.0393287886733,0.0348133198789,-144.0,2.37,0.724770642202,1.36,0.489208633094,7.62,2.33027522936,6.47,1.39439655172,2.47,0.755351681957,1.49,2.40322580645,0.0494597359818,0.0323280611639,0.0640222236579,0.0572655475812
74731,10.62%,6.14,12.47,14.64,659sa,(V06) (659) MC SALISBURY NC,2159.0,2131.0,2258.0,2450.0,2582.0,2721.0,90192,10.61%,4.25,14.38,8.54,56948,0.0498,4.96,8.66,4.53,659,"(V06) (659) Salisbury, NC",659,101.0,1.0,0.0,0.0309,56618,5.75,3.24,4.91,0.0919,0.1034,0.0633,0.0599,0.057,15461,0.206888707498,330,0.00582853509485,1.0,-28.0,-0.0131393711872,127.0,0.0562444641275,192.0,0.0783673469388,132.0,0.0511231603408,139.0,0.0510841602352,271.0,0.0995957368614,0.0412244897959,170.0,-1.89,-0.307817589577,1.72,0.530864197531,1.91,0.311074918567,3.75,0.763747454175,-6.1,-0.99348534202,-1.22,-0.212173913043,0.0327842528536,0.0301689728579,0.0432724575223,0.0477804312706
112008,7.83%,19.17,6.35,3.05,508at,(V07) (508) MC ATLANTA GA,2983.0,3121.0,3382.0,3712.0,4028.0,4487.0,121853,7.48%,7.07,11.81,1.98,82629,0.0492,5.75,10.12,1.62,508,"(V07) (508) Atlanta, GA",508,136.0,1.0,0.0,0.0497,73227,1.45,10.03,5.11,0.0906,0.061,0.0483,0.0844,0.0708,9845,0.0878955074638,9402,0.128395264042,1.0,138.0,0.0442165972445,261.0,0.0771732702543,330.0,0.088900862069,316.0,0.0784508440914,459.0,0.102295520392,775.0,0.172721194562,0.0366379310345,639.0,-12.1,-0.631194574857,-4.28,-0.426719840479,5.46,0.284820031299,5.01,0.980430528376,-1.07,-0.05581637976,0.17,0.11724137931,0.033140489965,0.0368230572903,0.0506916847611,0.0543029686914
35052,4.81%,6.74,6.14,1.72,509au,(V07) (509) MC AUGUSTA GA,2402.0,2406.0,2381.0,2361.0,2445.0,2512.0,47675,7.15%,9.58,7.9,2.34,32329,0.0576,8.64,8.33,2.28,509,"(V07) (509) Augusta, GA",509,68.0,0.0,0.0,0.0148,25860,0.79,3.61,3.83,0.057,0.1107,0.0915,0.0832,0.1015,12623,0.360122104302,6469,0.250154679041,0.0,4.0,0.00166251039069,-25.0,-0.0104997900042,-20.0,-0.00847098686997,84.0,0.0343558282209,67.0,0.0266719745223,151.0,0.0601114649682,0.0288013553579,83.0,2.84,0.421364985163,5.03,1.39335180055,1.76,0.261127596439,4.5,1.17493472585,0.62,0.0919881305638,1.49,1.88607594937,0.0673570694967,0.0526900891453,0.0912993039443,0.0777011352037
50212,5.37%,2.51,9.51,2.0,521bi,(V07) (521) MC BIRMINGHAM AL,2095.0,2072.0,2154.0,2237.0,2396.0,2537.0,71558,7.13%,6.83,10.58,2.63,55964,0.0551,3.02,11.79,2.53,521,"(V07) (521) Birmingham, AL",521,55.0,2.0,0.0,0.0144,48878,1.37,1.59,3.99,0.0601,0.1224,0.1047,0.091,0.0999,21346,0.425117501792,7086,0.144973198576,2.0,-23.0,-0.0111003861004,82.0,0.0380687093779,83.0,0.0371032632991,159.0,0.0663606010017,141.0,0.0555774536855,300.0,0.118249901458,0.0245864997765,245.0,4.32,1.72111553785,1.43,0.899371069182,1.07,0.426294820717,7.8,1.95488721805,0.63,0.250996015936,1.16,0.846715328467,0.0445511033219,0.0354537577909,0.0457670117435,0.0453327138875
40782,4.04%,4.25,6.61,1.97,534ch,(V07) (534) MC CHARLESTON SC,1720.0,1803.0,1873.0,1992.0,2215.0,2409.0,64443,5.58%,3.77,9.06,2.92,57170,0.0305,3.2,8.5,2.16,534,"(V07) (534) Charleston, SC",534,137.0,0.0,0.0,0.0114,49040,0.97,2.22,3.02,0.0485,0.0893,0.0517,0.097,0.07,23661,0.580182433427,8130,0.165783034258,0.0,83.0,0.0460343871326,70.0,0.0373731980779,119.0,0.0597389558233,223.0,0.100677200903,194.0,0.0805313408053,417.0,0.173100871731,0.0687751004016,280.0,-0.48,-0.112941176471,0.98,0.441441441441,2.45,0.576470588235,5.48,1.81456953642,0.95,0.223529411765,1.19,1.22680412371,0.0488450787112,0.0373818723523,0.0406199021207,0.0421374846948
63394,8.01%,10.4,9.36,9.24,544co,(V07) (544) MC COLUMBIA SC,1877.0,1936.0,2057.0,2124.0,2351.0,2487.0,86056,11.01%,8.89,17.04,5.07,57516,0.0717,7.85,13.36,3.48,544,"(V07) (544) Columbia, SC",544,177.0,0.0,0.0,0.0463,50490,3.79,7.0,7.47,0.0998,0.1302,0.1884,0.1494,0.0508,22662,0.357478625737,7026,0.139156268568,0.0,59.0,0.0304752066116,121.0,0.0588235294118,67.0,0.0315442561205,227.0,0.0965546575925,136.0,0.0546843586651,363.0,0.145958986731,0.0833333333333,186.0,-1.51,-0.145192307692,0.85,0.121428571429,7.68,0.738461538462,5.89,0.788487282463,-4.17,-0.400961538462,-0.31,-0.0817941952507,0.0335047480834,0.0288997861857,0.0420677361854,0.0432401418736
25751,15.31%,20.04,11.64,5.88,557du,(V07) (557) MC DUBLIN GA,983.0,1016.0,1060.0,1154.0,1284.0,1349.0,28284,18.80%,12.53,26.86,4.62,28073,0.0726,7.06,14.3,4.54,557,"(V07) (557) Dublin, GA",557,81.0,0.0,0.0,0.0575,18733,3.57,7.61,13.63,0.1431,0.137,0.0514,0.1168,0.1088,2533,0.0983651120345,9340,0.498585384082,0.0,33.0,0.0324803149606,44.0,0.0415094339623,94.0,0.0814558058925,130.0,0.101246105919,65.0,0.0481838398814,195.0,0.144551519644,0.0701906412478,114.0,-7.51,-0.374750499002,-0.55,-0.0722733245729,15.22,0.759481037924,0.67,0.0491562729274,-1.26,-0.062874251497,0.97,0.271708683473,0.0448137936391,0.0476948097865,0.0616025196178,0.0480532896377
33086,24.23%,12.7,24.56,22.81,619ce,(V07) (619) HCS MONTGOMERY AL,1559.0,1465.0,1561.0,1492.0,1544.0,1725.0,50845,13.68%,7.57,19.16,8.15,33410,0.0812,8.54,14.38,5.96,619,"(V07) (619) Central Alabama Veterans HCS, AL",619,138.0,1.0,1.0,0.0934,29482,8.77,9.56,10.1,0.0993,0.1154,0.1037,0.0584,0.1168,17759,0.536752705072,3928,0.133233837596,2.0,-94.0,-0.0641638225256,96.0,0.0614990390775,-69.0,-0.0462466487936,52.0,0.0336787564767,181.0,0.104927536232,233.0,0.135072463768,0.0924932975871,95.0,-5.13,-0.403937007874,-1.02,-0.106694560669,-5.4,-0.425196850394,4.28,0.423762376238,-14.66,-1.15433070866,-2.81,-0.320410490308,0.0450946019464,0.0339266397876,0.0506071501255,0.0516312481293
6049,3.24%,9.31,0.59,1.23,679tu,(V07) (679) MC TUSCALOOSA AL,1072.0,1033.0,1005.0,1008.0,1018.0,1000.0,7010,11.21%,10.0,13.32,3.47,11996,0.0308,6.4,4.99,2.77,679,"(V07) (679) Tuscaloosa, AL",679,9.0,1.0,0.0,0.0031,10196,1.03,2.29,0.14,0.1234,0.0282,0.0283,0.0521,0.2143,961,0.158869234584,1800,0.176539819537,1.0,-39.0,-0.0377541142304,-28.0,-0.0278606965174,3.0,0.00297619047619,10.0,0.0098231827112,-18.0,-0.018,-8.0,-0.008,0.00892857142857,-17.0,0.69,0.0741138560687,4.11,1.79475982533,12.73,1.36734693878,4.85,34.6428571429,2.24,0.240601503759,1.74,1.68932038835,0.166639113903,0.142653352354,0.0988622989408,0.0833611203735
103097,4.21%,7.17,5.21,3.53,516ba,(V08) (516) MC BAY PINES FL,3360.0,3375.0,3561.0,3782.0,4032.0,4110.0,183958,2.81%,3.19,5.45,2.7,85013,0.0182,2.57,4.62,1.95,516,"(V08) (516) Bay Pines, FL",516,87.0,1.0,0.0,0.0167,83817,2.81,2.46,3.64,0.0753,0.0889,0.082,0.0848,0.0952,80861,0.784319621327,1196,0.0142691816696,1.0,15.0,0.00444444444444,186.0,0.0522325189553,221.0,0.0584346906399,250.0,0.062003968254,78.0,0.0189781021898,328.0,0.0798053527981,0.0230037017451,241.0,-3.98,-0.555090655509,0.11,0.0447154471545,0.24,0.0334728033473,0.98,0.269230769231,-0.83,-0.115760111576,-0.86,-0.306049822064,0.0366838996285,0.0223420563389,0.0451221112662,0.0483455471516
51542,4.00%,5.78,5.79,1.15,546mi,(V08) (546) MC MIAMI FL,2680.0,2592.0,2604.0,2658.0,2754.0,2841.0,91599,5.42%,5.88,7.81,2.34,56986,0.0204,4.23,3.54,1.16,546,"(V08) (546) Miami, FL",546,90.0,0.0,0.0,0.0142,54791,0.61,2.11,3.09,0.0655,0.0857,0.0666,0.0649,0.0906,40057,0.777172015056,2195,0.0400613239401,0.0,-88.0,-0.033950617284,12.0,0.00460829493088,54.0,0.020316027088,96.0,0.0348583877996,87.0,0.0306230200634,183.0,0.064413938754,0.0338600451467,93.0,0.1,0.0173010380623,2.12,1.00473933649,2.02,0.349480968858,0.45,0.145631067961,1.19,0.205882352941,0.55,0.901639344262,0.0515695937294,0.0310156224413,0.0485116168714,0.0498543501913
66918,3.38%,1.62,6.95,1.49,548we,(V08) (548) MC W PALM BEACH FL,2226.0,2228.0,2391.0,2485.0,2596.0,2614.0,114513,4.19%,2.58,9.63,5.17,57319,0.0283,2.05,5.58,3.37,548,"(V08) (548) West Palm Beach, FL",548,36.0,2.0,0.0,0.0149,54915,1.35,1.04,3.21,0.0947,0.0517,0.0554,0.0637,0.0862,47595,0.711243611584,2404,0.04377674588,2.0,2.0,0.000897666068223,163.0,0.0681723128398,94.0,0.0378269617706,111.0,0.0427580893683,18.0,0.00688599846978,129.0,0.0493496557001,0.0144869215292,93.0,0.96,0.592592592593,1.01,0.971153846154,2.68,1.65432098765,2.37,0.738317757009,3.68,2.27160493827,2.02,1.4962962963,0.0371350010461,0.0228271025997,0.0452517527087,0.0456044243619
150045,13.93%,9.38,16.55,3.61,573ga,(V08) (573) HCS GAINESVILLE FL,4833.0,4719.0,5116.0,5468.0,5584.0,5743.0,257426,5.52%,5.43,10.28,4.48,95616,0.0419,5.15,6.55,3.01,573,"(V08) (573) Gainesville, FL",573,213.0,3.0,0.0,0.079,90218,2.37,7.06,10.5,0.1129,0.0592,0.0945,0.0707,0.0713,107381,0.715658635743,5398,0.0598328493205,3.0,-114.0,-0.0241576605213,397.0,0.0775996872557,352.0,0.0643745427944,116.0,0.0207736389685,159.0,0.0276858784607,275.0,0.0478843809855,0.0389539136796,62.0,-3.95,-0.421108742004,-1.91,-0.270538243626,-6.27,-0.668443496802,-3.95,-0.37619047619,0.87,0.092750533049,0.64,0.270042194093,0.0364424006131,0.0223093238445,0.0606087477,0.060063169344
125488,1.16%,2.42,2.61,3.33,672sa,(V08) (672) MC SAN JUAN PR,3346.0,3309.0,3337.0,3349.0,3676.0,3769.0,147554,4.09%,5.55,7.0,3.93,85158,0.0207,2.06,5.23,2.65,672,"(V08) (672) San Juan, PR",672,110.0,0.0,0.0,0.0056,77005,2.03,1.12,1.08,0.0568,0.0427,0.0195,0.0396,0.016,22066,0.175841514727,8153,0.105876241802,0.0,-37.0,-0.0111816258688,28.0,0.00839077015283,12.0,0.00358315915199,327.0,0.0889553862894,93.0,0.0246749801008,420.0,0.111435394004,0.0328456255599,310.0,3.13,1.29338842975,0.94,0.839285714286,4.39,1.81404958678,4.15,3.84259259259,0.6,0.247933884298,0.62,0.305418719212,0.0266878107867,0.0255431909674,0.0434906824232,0.0442589069729
122359,6.89%,1.37,11.56,4.67,673ta,(V08) (673) MC TAMPA FL,4508.0,4269.0,4380.0,4587.0,4763.0,4883.0,180908,2.56%,2.26,6.07,3.56,74794,0.0169,2.27,4.37,2.51,673,"(V08) (673) Tampa, FL",673,131.0,0.0,1.0,0.0278,69444,2.48,1.89,4.6,0.0579,0.0797,0.0604,0.0683,0.0443,58549,0.478501785729,5350,0.0770404930592,1.0,-239.0,-0.0559850081986,111.0,0.0253424657534,207.0,0.0451275343362,176.0,0.0369515011547,120.0,0.0245750563178,296.0,0.0606184722507,0.028558971005,165.0,0.89,0.649635036496,0.38,0.201058201058,-5.49,-4.00729927007,-0.23,-0.05,-1.11,-0.810218978102,0.03,0.0120967741935,0.0374880474669,0.02699162005,0.0660532227406,0.0652859855069
102342,5.69%,3.21,7.12,1.97,675or,(V08) (675) MC ORLANDO FL,1991.0,2239.0,2464.0,2668.0,2914.0,3708.0,212838,6.04%,5.55,9.1,4.33,89639,0.0386,4.64,5.99,2.74,675,"(V08) (675) Orlando, FL",675,96.0,1.0,0.0,0.0182,72045,0.84,1.01,3.53,0.0842,0.052,0.0807,0.0971,0.1114,110496,1.07967403412,17594,0.244208480811,1.0,248.0,0.11076373381,225.0,0.0913149350649,204.0,0.0764617691154,246.0,0.0844200411805,794.0,0.214131607335,1040.0,0.280474649407,0.0359820089955,944.0,2.34,0.728971962617,3.63,3.59405940594,1.98,0.616822429907,2.46,0.696883852691,2.36,0.735202492212,1.9,2.2619047619,0.0260694534013,0.017421701012,0.0370324102991,0.0413659233146
29070,5.58%,7.7,8.27,2.87,581hu,(V09) (581) MC HUNTINGTON WV,1126.0,1119.0,1156.0,1171.0,1229.0,1271.0,40147,5.93%,4.24,9.97,3.03,26912,0.0345,4.57,6.83,2.6,581,"(V09) (581) Huntington, WV",581,83.0,0.0,0.0,0.0274,26895,1.51,4.2,3.52,0.0664,0.0993,0.0781,0.1202,0.0931,11077,0.381045751634,17,0.000632087748652,0.0,-7.0,-0.00625558534406,37.0,0.0320069204152,15.0,0.0128095644748,58.0,0.0471928397071,42.0,0.0330448465775,100.0,0.0786782061369,0.0708795900939,17.0,-3.46,-0.449350649351,0.37,0.0880952380952,1.7,0.220779220779,3.31,0.940340909091,0.16,0.0207792207792,1.09,0.721854304636,0.0402820777434,0.0316586544449,0.0435396913925,0.0472280023781
33802,9.14%,7.6,9.78,8.89,596le,(V09) (596) MC LEXINGTON KY,1783.0,1723.0,1820.0,1905.0,1958.0,2053.0,28272,6.01%,2.99,8.82,6.25,29676,0.0211,2.24,6.49,2.4,596,"(V09) (596) Lexington, KY",596,114.0,0.0,0.0,0.0231,28712,2.36,3.45,5.59,0.176,0.1075,0.0406,0.0693,0.1255,-5530,-0.163599786995,964,0.0335748119253,0.0,-60.0,-0.0348229831689,97.0,0.0532967032967,85.0,0.0446194225722,53.0,0.0270684371808,95.0,0.0462737457379,148.0,0.0720896249391,0.059842519685,34.0,-4.61,-0.606578947368,-1.21,-0.350724637681,-0.96,-0.126315789474,0.9,0.161001788909,-2.64,-0.347368421053,0.04,0.0169491525424,0.0563576119756,0.0726160158461,0.0663485650599,0.0691804825448
46180,2.04%,4.13,4.25,3.1,603lo,(V09) (603) MC LOUISVILLE KY,1634.0,1665.0,1750.0,1706.0,1841.0,1847.0,54529,2.03%,3.78,5.93,1.78,36525,0.0096,2.57,4.07,1.74,603,"(V09) (603) Louisville, KY",603,101.0,0.0,0.0,0.0086,38286,1.79,1.78,3.23,0.0639,0.0772,0.086,0.0948,0.099,8349,0.180792550888,-1761,-0.0459959254035,0.0,31.0,0.0186186186186,85.0,0.0485714285714,-44.0,-0.0257913247362,135.0,0.073329712113,6.0,0.00324851109908,141.0,0.0763400108284,0.0592028135991,40.0,-0.35,-0.0847457627119,0.79,0.443820224719,1.68,0.406779661017,0.84,0.260061919505,-1.32,-0.319612590799,-0.05,-0.0279329608939,0.0369423993071,0.0338718846852,0.0445593689599,0.0505681040383
57905,2.88%,2.56,4.16,4.2,614me,(V09) (614) MC MEMPHIS TN,2253.0,2194.0,2333.0,2327.0,2310.0,2346.0,56531,3.61%,3.85,6.56,3.71,48332,0.0145,2.28,3.44,1.0,614,"(V09) (614) Memphis, TN",614,88.0,1.0,1.0,0.0123,47323,1.64,1.18,2.65,0.0399,0.0891,0.0393,0.0543,0.0985,-1374,-0.0237285208531,1009,0.0213215561144,2.0,-59.0,-0.0268915223336,139.0,0.0595799399914,-6.0,-0.00257842715943,-17.0,-0.00735930735931,36.0,0.0153452685422,19.0,0.00809889173061,0.0378169316717,-69.0,1.29,0.50390625,1.1,0.932203389831,2.4,0.9375,0.79,0.298113207547,-0.49,-0.19140625,-0.64,-0.390243902439,0.040186512391,0.0414993543366,0.0491727067177,0.0485392700488
75141,3.82%,7.51,3.6,2.18,621mo,(V09) (621) MC MOUNTAIN HOME TN,2087.0,2078.0,2120.0,2181.0,2280.0,2317.0,94360,3.98%,5.52,6.83,3.13,40022,0.0342,5.11,6.23,1.58,621,"(V09) (621) Mountain Home, TN",621,79.0,1.0,0.0,0.0226,37942,1.66,4.66,2.82,0.0865,0.0534,0.1271,0.0757,0.1251,19219,0.255772481069,2080,0.0548205155237,1.0,-9.0,-0.00433108758422,42.0,0.0198113207547,61.0,0.0279688216414,99.0,0.0434210526316,37.0,0.0159689253345,136.0,0.0586965904186,0.036221916552,57.0,-1.99,-0.264980026631,0.45,0.0965665236052,3.23,0.430093209055,3.41,1.20921985816,0.95,0.126498002663,-0.08,-0.0481927710843,0.0290254321875,0.0245548961424,0.0574824732486,0.0578931587627
130280,7.58%,10.71,6.04,8.66,626mi,(V09) (626) HCS NASHVILLE TN,3448.0,3488.0,3589.0,3749.0,3975.0,4138.0,146338,6.37%,7.22,9.05,3.69,68674,0.043,7.64,5.46,3.25,626,"(V09) (626) Middle Tennessee HCS, TN",626,283.0,0.0,3.0,0.0333,64484,3.9,6.09,3.1,0.0717,0.0796,0.0637,0.0863,0.0766,16058,0.123257599018,4190,0.0649773587246,3.0,40.0,0.0114678899083,101.0,0.0281415436055,160.0,0.0426780474793,226.0,0.0568553459119,163.0,0.0393910101498,389.0,0.0940067665539,0.0754867964791,106.0,-3.49,-0.325863678805,1.55,0.254515599343,3.01,0.281045751634,2.36,0.761290322581,-4.97,-0.464052287582,-0.65,-0.166666666667,0.0287764814246,0.0282770025557,0.0581384529496,0.0602557008475
15904,10.69%,4.41,16.25,5.1,538ch,(V10) (538) MC CHILLICOTHE OH,1368.0,1393.0,1423.0,1401.0,1411.0,1430.0,18566,9.57%,5.95,7.55,7.32,18243,0.0514,5.09,8.66,5.3,538,"(V10) (538) Chillicothe, OH",538,25.0,0.0,0.0,0.0373,16966,2.97,4.78,6.07,0.0836,0.1172,0.2804,0.2415,0.2122,2662,0.167379275654,1277,0.0752681834257,0.0,25.0,0.0179468772434,30.0,0.0210822206606,-22.0,-0.0157030692363,10.0,0.00708717221828,19.0,0.0132867132867,29.0,0.0202797202797,0.0178443968594,4.0,1.54,0.349206349206,0.31,0.0648535564854,-8.7,-1.97278911565,2.59,0.426688632619,2.22,0.503401360544,2.33,0.784511784512,0.0880910462777,0.0770225142734,0.082576918543,0.0783862303349
39991,3.97%,1.74,6.19,1.83,539ci,(V10) (539) MC CINCINNATI OH,2043.0,2097.0,2147.0,2172.0,2168.0,2225.0,50102,4.05%,2.48,6.45,1.31,37500,0.017,2.95,4.07,0.92,539,"(V10) (539) Cincinnati, OH",539,64.0,2.0,0.0,0.0148,39409,0.92,1.34,3.53,0.0329,0.0427,0.0864,0.0783,0.1195,10111,0.252831887175,-1909,-0.0484407115126,2.0,54.0,0.0257510729614,50.0,0.0232883092687,25.0,0.0115101289134,-4.0,-0.00184501845018,57.0,0.0256179775281,53.0,0.0238202247191,0.0294659300184,-11.0,0.74,0.425287356322,1.61,1.20149253731,0.26,0.149425287356,0.54,0.152974504249,-0.52,-0.298850574713,0.0,0.0,0.0543122202496,0.0444094048142,0.0551143139892,0.0593333333333
67463,4.38%,4.83,5.14,2.83,541cl,(V10) (541) MC CLEVELAND OH,4516.0,4485.0,4431.0,4518.0,4632.0,4825.0,93682,7.64%,3.87,10.15,2.86,88990,0.031,2.49,5.81,1.86,541,"(V10) (541) Cleveland, OH",541,95.0,0.0,1.0,0.0212,83417,2.08,2.58,3.59,0.0872,0.052,0.0709,0.0656,0.0878,26219,0.388642663386,5573,0.0668089238405,1.0,-31.0,-0.00691192865106,-54.0,-0.0121868652674,87.0,0.0192563081009,114.0,0.0246113989637,193.0,0.04,307.0,0.0636269430052,0.0210270030987,212.0,-0.96,-0.198757763975,-0.09,-0.0348837209302,5.01,1.03726708075,2.22,0.618384401114,0.03,0.00621118012422,-0.22,-0.105769230769,0.0669700428383,0.0515040242523,0.0541616217318,0.0542195752332
