Organization,Specialty,FY11,FY12,FY13,FY14,FY15,ID
(V06) (565) MC FAYETTEVILLE NC,07 ORTHOPEDIC SURGERY,-,-,0.8,-,-,
(V06) (565) MC FAYETTEVILLE NC,08 OTOLARYNGOLOGY,0.5,-,-,0.75,-,
(V06) (565) MC FAYETTEVILLE NC,16 EMERGENCY MEDICINE,1,-,2,-,-,
(V06) (565) MC FAYETTEVILLE NC,20 DERMATOLOGY,-,-,-,0.75,-,
(V06) (565) MC FAYETTEVILLE NC,21 GEN INTERNAL MED,0.204,0.0411,0.0478,0.0984,0.0472,
(V06) (565) MC FAYETTEVILLE NC,26 PULMONARY DISEASES,-,-,-,-,0.5217,
(V06) (565) MC FAYETTEVILLE NC,29 ENDOCRIN AND METAB,-,-,-,0.5455,-,
(V06) (565) MC FAYETTEVILLE NC,30 NEUROLOGY,-,0.2727,-,-,-,
(V06) (565) MC FAYETTEVILLE NC,31 PSYCHIATRY,0.1137,0.1519,0.0395,0.1059,0.1505,
(V06) (565) MC FAYETTEVILLE NC,38 RADIOLOGY-DIAGNOSTIC,-,0.4615,-,-,0.2727,
(V06) (565) MC FAYETTEVILLE NC,40 GERIATRICS,-,-,-,-,0.75,
(V06) (565) MC FAYETTEVILLE NC,43 PATHOLOGY,-,-,-,-,0.6667,
(V06) (565) MC FAYETTEVILLE NC,44 PHYS MED & REHAB,-,-,-,0.3429,-,
(V06) (565) MC FAYETTEVILLE NC,49 FAMILY PRACTICE,0.1579,0.1702,0.1935,0.087,0.0889,
(V06) (565) MC FAYETTEVILLE NC,50 ADMITTING PHYSICIAN,-,-,-,0.2667,-,
(V06) (565) MC FAYETTEVILLE NC,E6 CARDIOLOGY NON-INTER,-,1,-,-,-,
(V06) (565) MC FAYETTEVILLE NC,K6 HOSPITALIST,-,0.4444,-,0.1121,0.1154,
(V06) (565) MC FAYETTEVILLE NC,P1 PRIMARY CARE,-,0.2553,-,0.0674,0.1182,
(V06) (590) MC HAMPTON VA,0602 Physician (All Specialties),0.0767,0.1315,0.1197,0.1424,0.0991,
(V06) (590) MC HAMPTON VA,01 ANESTHESIOLOGY,-,0.5714,0.5714,-,-,
(V06) (590) MC HAMPTON VA,02 SURGERY,-,0.2182,-,-,0.2143,
(V06) (590) MC HAMPTON VA,05 MEDICAL ONCOLOGY,-,-,1.7143,-,-,
(V06) (590) MC HAMPTON VA,07 ORTHOPEDIC SURGERY,0.6,-,-,-,0.4444,
(V06) (590) MC HAMPTON VA,12 UROLOGY,-,-,0.6,-,-,
(V06) (590) MC HAMPTON VA,13 PHYSIATRY,0.75,-,-,-,-,
(V06) (590) MC HAMPTON VA,18 HEMATOLOGY,-,-,-,1.5385,-,
(V06) (590) MC HAMPTON VA,21 GEN INTERNAL MED,0.0418,0.1241,0.0396,0.0708,0.038,
(V06) (590) MC HAMPTON VA,25 GASTROENTEROLOGY,-,1,-,-,-,
(V06) (590) MC HAMPTON VA,26 PULMONARY DISEASES,-,-,-,-,0.5455,
(V06) (590) MC HAMPTON VA,27 NEPHROLOGY,0.5455,-,0.5,1,0.75,
(V06) (590) MC HAMPTON VA,31 PSYCHIATRY,-,0.1295,0.0899,0.3294,-,
(V06) (590) MC HAMPTON VA,38 RADIOLOGY-DIAGNOSTIC,0.2553,0.2553,-,-,-,
(V06) (590) MC HAMPTON VA,40 GERIATRICS,-,0.5,-,0.6667,-,
(V06) (590) MC HAMPTON VA,42 PARAPLEGIA,-,0.5455,-,-,-,
(V06) (590) MC HAMPTON VA,46 NUCLEAR MEDICINE,-,-,-,-,1,
(V06) (590) MC HAMPTON VA,49 FAMILY PRACTICE,0.25,-,0.3478,0.5106,0.3871,
(V06) (590) MC HAMPTON VA,E6 CARDIOLOGY NON-INTER,-,0.5,-,-,-,
(V06) (590) MC HAMPTON VA,K6 HOSPITALIST,-,-,-,-,0.4615,
(V06) (590) MC HAMPTON VA,P1 PRIMARY CARE,0.375,0.1395,0.5625,0.1364,0.2017,
(V06) (590) MC HAMPTON VA,R3 HEMATOLOGY/ONCOLOGY,-,-,-,-,1,
(V06) (637) MC ASHEVILLE NC,0602 Physician (All Specialties),0.0346,0.0411,0.0969,0.1003,0.092,
(V06) (637) MC ASHEVILLE NC,01 ANESTHESIOLOGY,-,-,0.3871,-,0.4286,
(V06) (637) MC ASHEVILLE NC,03 GYNECOLOGY,-,-,1,-,-,
(V06) (637) MC ASHEVILLE NC,06 OPHTHALMOLOGY,-,-,-,0.4138,-,
(V06) (637) MC ASHEVILLE NC,07 ORTHOPEDIC SURGERY,-,-,0.1905,-,0.2892,
(V06) (637) MC ASHEVILLE NC,09 PLASTIC SURGERY,-,0.75,-,-,-,
(V06) (637) MC ASHEVILLE NC,16 EMERGENCY MEDICINE,-,-,0.1319,-,0.1008,
(V06) (637) MC ASHEVILLE NC,19 INFECTIOUS DISEASES,-,1,-,-,-,
(V06) (637) MC ASHEVILLE NC,21 GEN INTERNAL MED,0.0415,0.0393,0.1212,0.0393,0.0945,
(V06) (637) MC ASHEVILLE NC,25 GASTROENTEROLOGY,0.48,-,-,-,0.3636,
(V06) (637) MC ASHEVILLE NC,26 PULMONARY DISEASES,-,-,-,0.375,-,
(V06) (637) MC ASHEVILLE NC,30 NEUROLOGY,-,-,-,0.48,-,
(V06) (637) MC ASHEVILLE NC,31 PSYCHIATRY,0.0857,-,0.0741,0.2169,0.1218,
(V06) (637) MC ASHEVILLE NC,36 PREVENTIVE MEDICINE,-,-,1,-,-,
(V06) (637) MC ASHEVILLE NC,38 RADIOLOGY-DIAGNOSTIC,-,0.12,-,0.1263,-,
(V06) (637) MC ASHEVILLE NC,40 GERIATRICS,-,-,-,0.2308,-,
(V06) (637) MC ASHEVILLE NC,43 PATHOLOGY,-,-,-,-,0.8889,
(V06) (637) MC ASHEVILLE NC,49 FAMILY PRACTICE,-,-,1,-,0.4762,
(V06) (637) MC ASHEVILLE NC,E4 CARDIOVAS/THOR SGR,0.1667,-,-,0.1714,-,
(V06) (637) MC ASHEVILLE NC,E6 CARDIOLOGY NON-INTER,-,-,0.8571,-,-,
(V06) (637) MC ASHEVILLE NC,P1 PRIMARY CARE,-,0.0805,-,0.0659,0.0488,
(V06) (637) MC ASHEVILLE NC,R4 VASCULAR SURGERY,-,-,-,0.6154,-,
(V06) (652) MC RICHMOND VA,0602 Physician (All Specialties),0.0529,0.0706,0.0706,0.085,0.0645,
(V06) (652) MC RICHMOND VA,01 ANESTHESIOLOGY,-,-,0.1081,-,0.2222,
(V06) (652) MC RICHMOND VA,02 SURGERY,-,-,-,0.1143,0.0789,
(V06) (652) MC RICHMOND VA,05 MEDICAL ONCOLOGY,-,-,-,-,0.2105,
(V06) (652) MC RICHMOND VA,06 OPHTHALMOLOGY,-,0.15,-,-,0.1277,
(V06) (652) MC RICHMOND VA,07 ORTHOPEDIC SURGERY,-,-,-,0.1818,-,
(V06) (652) MC RICHMOND VA,08 OTOLARYNGOLOGY,0.2105,0.2105,0.2143,-,0.2034,
(V06) (652) MC RICHMOND VA,09 PLASTIC SURGERY,0.7059,-,-,-,0.2553,
(V06) (652) MC RICHMOND VA,12 UROLOGY,-,0.1765,-,-,-,
(V06) (652) MC RICHMOND VA,16 EMERGENCY MEDICINE,-,-,-,0.16,0.2222,
(V06) (652) MC RICHMOND VA,19 INFECTIOUS DISEASES,-,-,-,0.3333,-,
(V06) (652) MC RICHMOND VA,20 DERMATOLOGY,-,-,0.5217,-,-,
(V06) (652) MC RICHMOND VA,21 GEN INTERNAL MED,-,0.0625,0.0186,0.052,0.0343,
(V06) (652) MC RICHMOND VA,25 GASTROENTEROLOGY,-,-,0.2892,-,-,
(V06) (652) MC RICHMOND VA,27 NEPHROLOGY,0.3429,-,0.3429,-,-,
(V06) (652) MC RICHMOND VA,28 RHEUMATOLOGY,0.6486,-,-,0.375,0.6316,
(V06) (652) MC RICHMOND VA,30 NEUROLOGY,-,-,-,-,0.0736,
(V06) (652) MC RICHMOND VA,31 PSYCHIATRY,0.1165,0.18,-,0.2239,0.0819,
(V06) (652) MC RICHMOND VA,38 RADIOLOGY-DIAGNOSTIC,-,0.2424,0.2449,-,0.1319,
(V06) (652) MC RICHMOND VA,43 PATHOLOGY,-,-,0.2,0.1667,0.1667,
(V06) (652) MC RICHMOND VA,44 PHYS MED & REHAB,-,-,0.1013,0.1121,-,
(V06) (652) MC RICHMOND VA,E4 CARDIOVAS/THOR SGR,0.3333,0.3077,0.25,-,-,
(V06) (652) MC RICHMOND VA,E5 NEUROSURGERY,0.2069,0.2034,0.5538,0.5333,0.3077,
(V06) (652) MC RICHMOND VA,H4 PALL CARE MED FELLOW,-,-,-,1.0714,-,
(V06) (652) MC RICHMOND VA,H6 NEUROLOGY FELLOW,-,-,-,1,-,
(V06) (652) MC RICHMOND VA,H8 NEURO/TRAU BRN INJ F,0.5,1,-,-,-,
(V06) (652) MC RICHMOND VA,M9 CARDIOLOGY-INTERVEN,0.1062,0.1143,-,-,-,
(V06) (652) MC RICHMOND VA,R4 VASCULAR SURGERY,-,-,0.2927,-,-,
(V06) (658) MC SALEM VA,0602 Physician (All Specialties),0.0543,0.0695,0.0397,0.1066,0.0798,
(V06) (658) MC SALEM VA,02 SURGERY,-,-,-,0.15,0.2069,
(V06) (658) MC SALEM VA,05 MEDICAL ONCOLOGY,-,-,-,-,1,
(V06) (658) MC SALEM VA,07 ORTHOPEDIC SURGERY,-,-,-,0.2727,-,
(V06) (658) MC SALEM VA,08 OTOLARYNGOLOGY,-,1,-,-,-,
(V06) (658) MC SALEM VA,12 UROLOGY,-,0.9231,-,-,-,
(V06) (658) MC SALEM VA,16 EMERGENCY MEDICINE,0.16,-,-,-,0.1379,
(V06) (658) MC SALEM VA,20 DERMATOLOGY,1,-,-,-,-,
(V06) (658) MC SALEM VA,21 GEN INTERNAL MED,-,-,0.0988,0.1,0.0577,
(V06) (658) MC SALEM VA,25 GASTROENTEROLOGY,-,-,-,-,0.5217,
(V06) (658) MC SALEM VA,26 PULMONARY DISEASES,-,-,-,0.2264,0.2,
(V06) (658) MC SALEM VA,27 NEPHROLOGY,-,-,-,0.6316,0.2857,
(V06) (658) MC SALEM VA,28 RHEUMATOLOGY,-,-,-,0.75,-,
(V06) (658) MC SALEM VA,29 ENDOCRIN AND METAB,0.8,-,-,-,1,
(V06) (658) MC SALEM VA,30 NEUROLOGY,0.3333,-,-,-,0.2727,
(V06) (658) MC SALEM VA,31 PSYCHIATRY,0.0805,0.0399,-,0.0341,-,
(V06) (658) MC SALEM VA,38 RADIOLOGY-DIAGNOSTIC,-,-,-,0.2927,-,
(V06) (658) MC SALEM VA,43 PATHOLOGY,-,0.6,-,-,-,
(V06) (658) MC SALEM VA,45 RADIOLOGY-INTERVENT,-,-,-,0.8,-,
(V06) (658) MC SALEM VA,49 FAMILY PRACTICE,-,0.375,-,0.9231,-,
(V06) (658) MC SALEM VA,"57 PHYS--ADMIN, OTHER",-,-,1,-,-,
(V06) (658) MC SALEM VA,K6 HOSPITALIST,-,0.1644,0.2474,-,0.1081,
(V06) (658) MC SALEM VA,K8 CRITICAL CARE,-,-,-,0.6316,-,
(V06) (658) MC SALEM VA,M9 CARDIOLOGY-INTERVEN,-,-,-,0.9231,-,
(V06) (658) MC SALEM VA,P1 PRIMARY CARE,-,0.3871,-,-,0.0745,
(V06) (659) MC SALISBURY NC,0602 Physician (All Specialties),0.0919,0.1034,0.0633,0.0599,0.057,
(V06) (659) MC SALISBURY NC,01 ANESTHESIOLOGY,0.6667,-,0.1967,-,-,
(V06) (659) MC SALISBURY NC,06 OPHTHALMOLOGY,0.1333,-,-,0.1412,-,
(V06) (659) MC SALISBURY NC,07 ORTHOPEDIC SURGERY,-,0.2143,0.2609,-,-,
(V06) (659) MC SALISBURY NC,08 OTOLARYNGOLOGY,-,-,-,-,0.2222,
(V06) (659) MC SALISBURY NC,12 UROLOGY,0.1579,0.2,-,0.2308,-,
(V06) (659) MC SALISBURY NC,16 EMERGENCY MEDICINE,0.1818,-,0.0916,-,0.1026,
(V06) (659) MC SALISBURY NC,19 INFECTIOUS DISEASES,-,0.3,-,-,-,
(V06) (659) MC SALISBURY NC,20 DERMATOLOGY,-,-,-,-,0.3429,
(V06) (659) MC SALISBURY NC,21 GEN INTERNAL MED,0.0345,0.0392,0.0428,0.0447,0.024,
(V06) (659) MC SALISBURY NC,25 GASTROENTEROLOGY,-,-,-,-,0.1667,
(V06) (659) MC SALISBURY NC,26 PULMONARY DISEASES,-,0.1818,0.1519,0.16,0.1446,
(V06) (659) MC SALISBURY NC,30 NEUROLOGY,-,0.2143,-,-,-,
(V06) (659) MC SALISBURY NC,31 PSYCHIATRY,0.075,0.172,0.1173,0.192,0.0658,
(V06) (659) MC SALISBURY NC,38 RADIOLOGY-DIAGNOSTIC,-,0.25,-,0.1446,-,
(V06) (659) MC SALISBURY NC,40 GERIATRICS,-,0.6667,-,-,-,
(V06) (659) MC SALISBURY NC,43 PATHOLOGY,-,0.2857,-,-,-,
(V06) (659) MC SALISBURY NC,44 PHYS MED & REHAB,0.8,-,-,-,0.6316,
(V06) (659) MC SALISBURY NC,45 RADIOLOGY-INTERVENT,0.16,0.6429,-,0.4286,-,
(V06) (659) MC SALISBURY NC,49 FAMILY PRACTICE,0.2162,-,0.1333,-,-,
(V06) (659) MC SALISBURY NC,H1 PSYCHIATRY FELW,-,-,1,-,-,
(V06) (659) MC SALISBURY NC,K6 HOSPITALIST,0.3692,0.4675,0.1263,-,0.0902,
(V06) (659) MC SALISBURY NC,P1 PRIMARY CARE,0.1739,-,0.0531,0.0343,0.1182,
V07,0602 Physician (All Specialties),0.0797,0.0981,0.0865,0.0937,0.0847,
V07,01 ANESTHESIOLOGY,0.0251,0.0461,0.0464,0.0932,0.0433,
V07,02 SURGERY,0.1478,0.0992,0.142,0.0878,0.1727,
V07,03 GYNECOLOGY,-,0.1905,-,0.3664,-,
V07,06 OPHTHALMOLOGY,0.0692,0.0667,-,0.133,0.0724,
V07,07 ORTHOPEDIC SURGERY,0.1013,0.0484,0.0462,-,0.12,
V07,08 OTOLARYNGOLOGY,0.1798,0.2281,0.1446,0.1778,0.1385,
V07,09 PLASTIC SURGERY,0.2466,-,0.1727,0.0833,0.0741,
V07,10 COLON & RECTAL SURG,-,-,-,1,-,
V07,11 THORACIC SURGERY,-,0.3333,-,-,-,
V07,12 UROLOGY,-,0.0441,0.0819,0.0889,0.1486,
V07,13 PHYSIATRY,0.1364,-,0.1101,0.1026,0.0805,
V07,16 EMERGENCY MEDICINE,0.1307,0.1212,0.1124,0.0894,0.1002,
V07,18 HEMATOLOGY,-,-,-,0.2143,-,
V07,19 INFECTIOUS DISEASES,0.0727,0.1237,0.1818,0.1915,0.2118,
V07,20 DERMATOLOGY,-,0.1034,0.1434,0.1091,-,
V07,21 GEN INTERNAL MED,0.0695,0.1263,0.0971,0.0751,0.0903,
V07,23 ALLERGY & IMMUNOLOGY,-,-,0.3529,-,-,
V07,25 GASTROENTEROLOGY,0.1241,0.0792,0.16,0.1212,0.0346,
V07,26 PULMONARY DISEASES,0.0403,0.0736,0.0745,0.0745,0.0341,
V07,27 NEPHROLOGY,0.043,0.0842,-,0.0734,-,
V07,28 RHEUMATOLOGY,-,-,0.0945,0.0839,-,
V07,29 ENDOCRIN AND METAB,0.1714,0.0498,0.0506,-,0.0508,
V07,30 NEUROLOGY,0.0565,0.1074,0.1322,0.2101,0.0466,
V07,31 PSYCHIATRY,0.0639,0.0967,0.0843,0.0726,0.0829,
V07,32 ANATOMIC PATHOLOGY,0.4615,-,-,0.9231,0.8571,
V07,34 ADV GERIATRIC FELLOW,-,0.5625,-,-,-,
V07,36 PREVENTIVE MEDICINE,0.7742,-,0.4,-,-,
V07,38 RADIOLOGY-DIAGNOSTIC,0.0791,0.0264,0.0851,0.0249,0.0904,
V07,40 GERIATRICS,0.0994,0.1389,0.1114,0.1151,0.0632,
V07,43 PATHOLOGY,-,0.1935,-,0.0385,0.1881,
V07,44 PHYS MED & REHAB,0.0619,0.1297,0.0992,0.1056,-,
V07,45 RADIOLOGY-INTERVENT,0.1579,-,-,0.096,0.2813,
V07,46 NUCLEAR MEDICINE,0.0816,-,-,0.1778,-,
V07,49 FAMILY PRACTICE,0.0731,0.1259,-,0.0878,0.0817,
V07,51 CHIEF OF STAFF,0.1519,-,0.15,-,0.338,
V07,53 ASSOC CH/STAFF--EDUC,-,-,-,-,0.3636,
V07,"57 PHYS--ADMIN, OTHER",-,-,-,-,0.8,
V07,CA CARDIOLOGY NON-INVAS,-,-,-,-,0.4444,
V07,E2 ASSOC COS GER/LTC,-,0.7143,-,-,-,
V07,E6 CARDIOLOGY NON-INTER,0.0556,0.1432,0.1086,0.0292,0.0569,
V07,E7 RADIOLOGY (NUCLEAR),-,-,-,0.2857,-,
V07,H6 NEUROLOGY FELLOW,-,-,-,1,-,
V07,K3 NAT'L QUAL SCHOLARS,-,0.6667,0.3077,0.2667,0.3871,
V07,K6 HOSPITALIST,0.1935,0.0784,0.1416,0.1724,0.087,
V07,M9 CARDIOLOGY-INTERVEN,0.4,-,-,-,-,
V07,N9 CARDIAC ELECTROPHY,-,-,0.6,-,0.5217,
V07,P1 PRIMARY CARE,0.0802,0.026,0.1134,0.1168,0.0571,
V07,R3 HEMATOLOGY/ONCOLOGY,0.0779,0.2637,0.0732,0.1237,0.3226,
V07,R4 VASCULAR SURGERY,0.375,0.45,0.1091,0.25,0.1263,
(V07) (484) V7SENDULUTH GA,0602 Physician (All Specialties),-,-,0.2857,-,-,
(V07) (484) V7SENDULUTH GA,31 PSYCHIATRY,-,-,1,-,-,
(V07) (508) MC ATLANTA GA,0602 Physician (All Specialties),0.0906,0.061,0.0483,0.0844,0.0708,
(V07) (508) MC ATLANTA GA,01 ANESTHESIOLOGY,-,0.1481,-,-,0.1132,
(V07) (508) MC ATLANTA GA,02 SURGERY,0.1304,-,0.2637,-,0.1154,
(V07) (508) MC ATLANTA GA,06 OPHTHALMOLOGY,0.1983,-,-,-,-,
(V07) (508) MC ATLANTA GA,07 ORTHOPEDIC SURGERY,0.3582,-,-,-,-,
(V07) (508) MC ATLANTA GA,08 OTOLARYNGOLOGY,-,-,-,0.4211,0.24,
(V07) (508) MC ATLANTA GA,09 PLASTIC SURGERY,-,-,-,0.6667,-,
(V07) (508) MC ATLANTA GA,11 THORACIC SURGERY,-,1,-,-,-,
(V07) (508) MC ATLANTA GA,12 UROLOGY,-,-,-,-,0.1818,
(V07) (508) MC ATLANTA GA,13 PHYSIATRY,0.375,-,-,-,0.2667,
(V07) (508) MC ATLANTA GA,16 EMERGENCY MEDICINE,0.0902,-,-,0.0755,0.0686,
(V07) (508) MC ATLANTA GA,19 INFECTIOUS DISEASES,0.1739,-,0.1714,0.1967,0.2105,
(V07) (508) MC ATLANTA GA,20 DERMATOLOGY,-,0.1481,0.15,0.1519,-,
(V07) (508) MC ATLANTA GA,21 GEN INTERNAL MED,0.1085,0.1485,0.0677,0.0617,0.1108,
(V07) (508) MC ATLANTA GA,25 GASTROENTEROLOGY,0.1644,-,-,0.2526,0.1875,
(V07) (508) MC ATLANTA GA,28 RHEUMATOLOGY,-,-,0.2857,0.3429,-,
(V07) (508) MC ATLANTA GA,30 NEUROLOGY,-,0.1081,-,0.2202,-,
(V07) (508) MC ATLANTA GA,31 PSYCHIATRY,0.0597,0.0974,0.0678,0.0334,0.0599,
(V07) (508) MC ATLANTA GA,32 ANATOMIC PATHOLOGY,-,-,-,1,-,
(V07) (508) MC ATLANTA GA,36 PREVENTIVE MEDICINE,1,-,-,-,-,
(V07) (508) MC ATLANTA GA,40 GERIATRICS,0.2182,0.0976,0.1935,0.1655,0.0896,
(V07) (508) MC ATLANTA GA,43 PATHOLOGY,-,-,-,-,0.2353,
(V07) (508) MC ATLANTA GA,44 PHYS MED & REHAB,0.1412,-,0.2353,-,-,
(V07) (508) MC ATLANTA GA,45 RADIOLOGY-INTERVENT,-,-,-,-,0.5455,
(V07) (508) MC ATLANTA GA,46 NUCLEAR MEDICINE,0.16,-,-,0.381,-,
(V07) (508) MC ATLANTA GA,49 FAMILY PRACTICE,-,-,-,0.3504,0.1,
(V07) (508) MC ATLANTA GA,E6 CARDIOLOGY NON-INTER,0.16,-,-,-,0.1026,
(V07) (508) MC ATLANTA GA,H6 NEUROLOGY FELLOW,-,-,-,1,-,
(V07) (508) MC ATLANTA GA,K3 NAT'L QUAL SCHOLARS,-,-,-,-,0.5455,
(V07) (508) MC ATLANTA GA,K6 HOSPITALIST,0.1935,-,-,0.1832,-,
(V07) (508) MC ATLANTA GA,P1 PRIMARY CARE,0.0304,0.0305,0.0296,0.053,0.0547,
(V07) (508) MC ATLANTA GA,R3 HEMATOLOGY/ONCOLOGY,0.1558,0.1463,-,-,0.24,
(V07) (508) MC ATLANTA GA,R4 VASCULAR SURGERY,0.6667,0.7273,-,0.5,-,
(V07) (509) MC AUGUSTA GA,0602 Physician (All Specialties),0.057,0.1107,0.0915,0.0832,0.1015,
(V07) (509) MC AUGUSTA GA,01 ANESTHESIOLOGY,-,-,-,0.1714,-,
(V07) (509) MC AUGUSTA GA,02 SURGERY,0.2609,-,0.2034,-,-,
(V07) (509) MC AUGUSTA GA,06 OPHTHALMOLOGY,-,-,-,-,0.16,
(V07) (509) MC AUGUSTA GA,07 ORTHOPEDIC SURGERY,-,-,0.2667,-,-,
(V07) (509) MC AUGUSTA GA,08 OTOLARYNGOLOGY,0.7619,0.3636,0.4,0.4211,0.2353,
(V07) (509) MC AUGUSTA GA,09 PLASTIC SURGERY,0.3243,-,-,-,-,
(V07) (509) MC AUGUSTA GA,16 EMERGENCY MEDICINE,0.1714,-,-,-,-,
(V07) (509) MC AUGUSTA GA,19 INFECTIOUS DISEASES,-,0.3333,-,0.2927,-,
(V07) (509) MC AUGUSTA GA,21 GEN INTERNAL MED,-,0.1091,0.0814,0.0397,0.036,
(V07) (509) MC AUGUSTA GA,23 ALLERGY & IMMUNOLOGY,-,-,1,-,-,
(V07) (509) MC AUGUSTA GA,25 GASTROENTEROLOGY,-,-,0.3429,0.4615,-,
(V07) (509) MC AUGUSTA GA,26 PULMONARY DISEASES,-,0.3636,-,-,0.4,
(V07) (509) MC AUGUSTA GA,27 NEPHROLOGY,0.1714,0.2308,-,-,-,
(V07) (509) MC AUGUSTA GA,29 ENDOCRIN AND METAB,0.2069,-,-,-,0.2927,
(V07) (509) MC AUGUSTA GA,30 NEUROLOGY,-,-,0.3077,-,-,
(V07) (509) MC AUGUSTA GA,31 PSYCHIATRY,-,0.3046,0.1311,0.1636,0.1572,
(V07) (509) MC AUGUSTA GA,38 RADIOLOGY-DIAGNOSTIC,-,-,0.1905,0.1579,-,
(V07) (509) MC AUGUSTA GA,40 GERIATRICS,-,-,-,0.2308,-,
(V07) (509) MC AUGUSTA GA,43 PATHOLOGY,-,-,-,-,0.3077,
(V07) (509) MC AUGUSTA GA,44 PHYS MED & REHAB,-,0.1818,0.0876,0.186,-,
(V07) (509) MC AUGUSTA GA,"57 PHYS--ADMIN, OTHER",-,-,-,-,0.5882,
(V07) (509) MC AUGUSTA GA,CA CARDIOLOGY NON-INVAS,-,-,-,-,1,
(V07) (509) MC AUGUSTA GA,E6 CARDIOLOGY NON-INTER,-,-,-,-,0.5217,
(V07) (509) MC AUGUSTA GA,K6 HOSPITALIST,-,-,-,-,0.3636,
(V07) (509) MC AUGUSTA GA,R3 HEMATOLOGY/ONCOLOGY,-,0.4444,0.2927,-,0.48,
(V07) (509) MC AUGUSTA GA,R4 VASCULAR SURGERY,-,-,-,-,0.5217,
(V07) (521) MC BIRMINGHAM AL,0602 Physician (All Specialties),0.0601,0.1224,0.1047,0.091,0.0999,
(V07) (521) MC BIRMINGHAM AL,01 ANESTHESIOLOGY,-,-,0.2182,-,0.096,
(V07) (521) MC BIRMINGHAM AL,02 SURGERY,0.0784,0.2368,0.0876,0.08,0.2623,
(V07) (521) MC BIRMINGHAM AL,03 GYNECOLOGY,-,-,-,1.6364,-,
(V07) (521) MC BIRMINGHAM AL,06 OPHTHALMOLOGY,-,0.3158,-,0.1224,0.1026,
(V07) (521) MC BIRMINGHAM AL,07 ORTHOPEDIC SURGERY,-,-,-,-,0.1667,
(V07) (521) MC BIRMINGHAM AL,08 OTOLARYNGOLOGY,-,0.3429,0.1846,-,-,
(V07) (521) MC BIRMINGHAM AL,09 PLASTIC SURGERY,0.6486,-,-,-,0.6316,
(V07) (521) MC BIRMINGHAM AL,10 COLON & RECTAL SURG,-,-,-,1,-,
(V07) (521) MC BIRMINGHAM AL,12 UROLOGY,-,0.3529,-,-,-,
(V07) (521) MC BIRMINGHAM AL,16 EMERGENCY MEDICINE,-,-,0.6486,0.1935,0.1558,
(V07) (521) MC BIRMINGHAM AL,19 INFECTIOUS DISEASES,-,0.2553,0.2927,-,-,
(V07) (521) MC BIRMINGHAM AL,21 GEN INTERNAL MED,0.0737,0.0863,0.1915,0.131,0.1507,
(V07) (521) MC BIRMINGHAM AL,25 GASTROENTEROLOGY,-,0.1667,0.2069,-,-,
(V07) (521) MC BIRMINGHAM AL,26 PULMONARY DISEASES,0.1765,-,-,-,-,
(V07) (521) MC BIRMINGHAM AL,27 NEPHROLOGY,-,-,-,0.1846,-,
(V07) (521) MC BIRMINGHAM AL,30 NEUROLOGY,0.1611,0.2517,0.2769,0.192,0.0896,
(V07) (521) MC BIRMINGHAM AL,31 PSYCHIATRY,0.0486,-,0.0424,0.04,0.0415,
(V07) (521) MC BIRMINGHAM AL,32 ANATOMIC PATHOLOGY,0.8571,-,-,0.5455,0.8571,
(V07) (521) MC BIRMINGHAM AL,34 ADV GERIATRIC FELLOW,-,1,-,-,-,
(V07) (521) MC BIRMINGHAM AL,38 RADIOLOGY-DIAGNOSTIC,-,0.24,-,-,-,
(V07) (521) MC BIRMINGHAM AL,40 GERIATRICS,-,0.3214,0.1176,-,-,
(V07) (521) MC BIRMINGHAM AL,43 PATHOLOGY,-,-,-,-,0.2824,
(V07) (521) MC BIRMINGHAM AL,45 RADIOLOGY-INTERVENT,1,-,-,-,0.3636,
(V07) (521) MC BIRMINGHAM AL,49 FAMILY PRACTICE,-,0.0984,-,0.1026,0.2105,
(V07) (521) MC BIRMINGHAM AL,E2 ASSOC COS GER/LTC,-,1,-,-,-,
(V07) (521) MC BIRMINGHAM AL,E6 CARDIOLOGY NON-INTER,-,0.2609,-,0.129,-,
(V07) (521) MC BIRMINGHAM AL,K3 NAT'L QUAL SCHOLARS,-,0.7273,0.5,0.5714,-,
(V07) (521) MC BIRMINGHAM AL,K6 HOSPITALIST,0.2857,-,0.3871,0.1846,0.1875,
(V07) (521) MC BIRMINGHAM AL,N9 CARDIAC ELECTROPHY,-,-,1,-,1,
(V07) (521) MC BIRMINGHAM AL,P1 PRIMARY CARE,-,-,-,0.3636,-,
(V07) (521) MC BIRMINGHAM AL,R3 HEMATOLOGY/ONCOLOGY,-,-,-,-,0.2791,
(V07) (521) MC BIRMINGHAM AL,R4 VASCULAR SURGERY,-,1,-,-,-,
(V07) (534) MC CHARLESTON SC,0602 Physician (All Specialties),0.0485,0.0893,0.0517,0.097,0.07,
(V07) (534) MC CHARLESTON SC,02 SURGERY,0.3243,-,-,0.1071,0.1121,
(V07) (534) MC CHARLESTON SC,03 GYNECOLOGY,-,-,-,1,-,
(V07) (534) MC CHARLESTON SC,06 OPHTHALMOLOGY,-,-,-,-,0.1062,
(V07) (534) MC CHARLESTON SC,07 ORTHOPEDIC SURGERY,-,0.2553,-,-,0.1791,
(V07) (534) MC CHARLESTON SC,08 OTOLARYNGOLOGY,-,-,-,-,0.1846,
(V07) (534) MC CHARLESTON SC,12 UROLOGY,-,-,0.4138,0.2069,0.1875,
