"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: August 2016","Total Completed
Appointments 1","Completed within
30 Days 2","Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15"
(V04) (646GE) Fayette County,1160,"1,154",99.48%,6,0.0052,"1,073",54,27,6,0,0,0,1.4,4.66,0.6
"(V04) (693) Wilkes-Barre, PA",26602,"26,063",97.97%,539,0.0203,"23,513","1,233","1,317",395,105,21,18,1.86,3.97,6.13
(V04) (693) Wilkes-Barre VAMC,19368,"19,014",98.17%,354,0.0183,"17,116",875,"1,023",269,68,9,8,1.45,4.1,4.36
(V04) (693B4) Allentown,4426,"4,286",96.84%,140,0.0316,"3,809",266,211,93,27,10,10,3.32,4.39,10.33
(V04) (693GA) Sayre,993,978,98.49%,15,0.0151,927,40,11,14,0,1,0,1.38,1.63,1.1
(V04) (693GB) Williamsport,1089,"1,063",97.61%,26,0.0239,974,28,61,15,10,1,0,1.07,0.15,9.22
(V04) (693GC) Tobyhanna,100,100,100.00%,0,0.0000,89,8,3,0,0,0,0,2.34,,0
(V04) (693GF) Columbia County,317,314,99.05%,3,0.0095,306,4,4,3,0,0,0,0,,3.64
(V04) (693GG) Northampton County,309,308,99.68%,1,0.0032,292,12,4,1,0,0,0,1.78,0.26,6.09
"(V05) (512) Baltimore HCS, MD",47872,"46,567",97.27%,"1,305",0.0273,"41,148","2,867","2,552",954,262,82,7,3.72,6.35,1.8
"(V05) (512) Baltimore VA Medical
Center",29465,"28,499",96.72%,966,0.0328,"24,984","1,806","1,709",724,201,35,6,4.63,6.36,0.6
(V05) (512A5) Perry Point,8030,"8,012",99.78%,18,0.0022,"7,531",329,152,12,6,0,0,2.05,2.42,1.34
(V05) (512GA) Cambridge,2441,"2,355",96.48%,86,0.0352,"2,159",105,91,33,6,46,1,1.8,15.16,4.94
(V05) (512GC) Glen Burnie,1951,"1,805",92.52%,146,0.0748,"1,407",176,222,120,26,0,0,5.12,16.59,8.94
(V05) (512GD) Loch Raven,3377,"3,307",97.93%,70,0.0207,"2,935",184,188,47,22,1,0,3.09,6.03,1.32
(V05) (512GE) Pocomoke City,589,585,99.32%,4,0.0068,508,48,29,3,1,0,0,2.58,,8.68
(V05) (512GF) Fort Howard,642,639,99.53%,3,0.0047,552,46,41,3,0,0,0,4.78,11.38,0.95
(V05) (512GG) Fort Meade,1377,"1,365",99.13%,12,0.0087,"1,072",173,120,12,0,0,0,5.08,4.68,4.57
"(V05) (613) Martinsburg, WV",35044,"33,629",95.96%,"1,415",0.0404,"29,500","2,101","2,028","1,102",197,42,74,4.73,7.51,4.97
"(V05) (613) Martinsburg VA Medical
Center",25772,"24,572",95.34%,"1,200",0.0466,"21,791","1,388","1,393",944,152,38,66,4.13,7.9,3.86
(V05) (613BU) VADOM Martinsburg,723,723,100.00%,0,0.0000,680,30,13,0,0,0,0,,0.02,4.22
(V05) (613GA) Cumberland,1365,"1,314",96.26%,51,0.0374,"1,049",140,125,37,7,2,5,6.45,5.23,9.63
(V05) (613GB) Hagerstown,1390,"1,363",98.06%,27,0.0194,"1,131",131,101,25,1,0,1,5.26,6,5.54
(V05) (613GC) Stephens City,2025,"1,981",97.83%,44,0.0217,"1,732",129,120,35,6,2,1,3.82,5.14,8.2
(V05) (613GD) Franklin,92,91,98.91%,1,0.0109,85,4,2,1,0,0,0,3.37,,0.62
(V05) (613GE) Petersburg,405,403,99.51%,2,0.0049,344,25,34,2,0,0,0,4.96,2.77,0.44
(V05) (613GF) Harrisonburg,1373,"1,341",97.67%,32,0.0233,"1,115",122,104,25,7,0,0,5.86,0.86,6.99
(V05) (613GG) Fort Detrick,1899,"1,841",96.95%,58,0.0305,"1,573",132,136,33,24,0,1,4.54,5.35,7.53
"(V05) (688) Washington, DC",48333,"47,942",99.19%,391,0.0081,"43,751","2,066","2,125",351,37,3,0,3.08,2.54,2.31
"(V05) (688) Washington VA Medical
Center",41762,"41,455",99.26%,307,0.0074,"38,048","1,644","1,763",281,23,3,0,3.41,2.44,1.96
"(V05) (688DV) Charlotte Hall State
Veterans Home",3,3,100.00%,0,0.0000,2,0,1,0,0,0,0,,,6
(V05) (688GA) Fort Belvoir,2575,"2,525",98.06%,50,0.0194,"2,091",248,186,37,13,0,0,3.25,6.53,3.84
(V05) (688GB) Southeast Washington,347,347,100.00%,0,0.0000,337,6,4,0,0,0,0,0.87,0.25,0.48
(V05) (688GD) Charlotte Hall,1436,"1,415",98.54%,21,0.0146,"1,168",127,120,21,0,0,0,3.55,3.77,9.28
"(V05) (688GE) Southern Prince
Georges County",2210,"2,197",99.41%,13,0.0059,"2,105",41,51,12,1,0,0,1.54,3.07,0.54
"(V06) (517) Beckley, WV",12890,"12,585",97.63%,305,0.0237,"10,811",789,985,222,58,23,2,4.24,6.7,2.87
(V06) (517) Beckley VAMC,12210,"11,922",97.64%,288,0.0236,"10,279",699,944,207,56,23,2,4.09,6.79,2.87
(V06) (517GB) Greenbrier County,480,479,99.79%,1,0.0021,429,37,13,1,0,0,0,2.62,0.19,2.75
(V06) (517QA) Princeton,200,184,92.00%,16,0.0800,103,53,28,14,2,0,0,8.73,14.87,
"(V06) (558) Durham, NC",51307,"47,816",93.20%,"3,491",0.0680,"39,894","3,738","4,184","2,126","1,099",210,56,5.9,10.89,3.84
(V06) (558) Durham VAMC,34562,"32,442",93.87%,"2,120",0.0613,"27,139","2,582","2,721","1,438",539,106,37,4.74,9.04,2.63
(V06) (558GA) Greenville,9512,"8,311",87.37%,"1,201",0.1263,"6,777",634,900,544,536,102,19,8.34,19.45,4.66
(V06) (558GB) Raleigh,5549,"5,434",97.93%,115,0.0207,"4,547",440,447,101,13,1,0,6.23,5.63,4.66
(V06) (558GC) Morehead City,1684,"1,629",96.73%,55,0.0327,"1,431",82,116,43,11,1,0,4.51,2.11,4.57
"(V06) (565) Fayetteville, NC",43304,"39,306",90.77%,"3,998",0.0923,"32,925","3,040","3,341","2,414",891,434,259,6.9,17.76,4.69
(V06) (565) Fayetteville VAMC,11609,"10,815",93.16%,794,0.0684,"9,672",491,652,369,186,157,82,0.22,16.71,4.13
(V06) (565GA) Jacksonville VA Clinic,2505,"2,433",97.13%,72,0.0287,"1,962",286,185,66,4,2,0,5.54,10.64,6.26
(V06) (565GC) Wilmington,7318,"6,603",90.23%,715,0.0977,"5,336",581,686,385,222,44,64,7.02,17.05,6.01
(V06) (565GD) Hamlet,742,691,93.13%,51,0.0687,583,49,59,46,4,0,1,10.1,35.5,3.48
(V06) (565GE) Robeson County,1021,"1,005",98.43%,16,0.0157,937,41,27,13,3,0,0,1.42,30.6,3.05
(V06) (565GF) Goldsboro,1036,"1,000",96.53%,36,0.0347,873,57,70,34,2,0,0,6.2,15.17,2.24
(V06) (565GG) Lee County,740,730,98.65%,10,0.0135,575,77,78,9,1,0,0,5.22,7,3.2
(V06) (565GL) Cumberland County,17941,"15,670",87.34%,"2,271",0.1266,"12,806","1,367","1,497","1,460",468,231,112,7.76,18.9,3.25
(V06) (565MB) IDES Fort Bragg,145,145,100.00%,0,0.0000,71,41,33,0,0,0,0,,8.97,
(V06) (565MD) IDES Camp Lejeune,247,214,86.64%,33,0.1336,110,50,54,32,1,0,0,,6.64,25.54
"(V06) (590) Hampton, VA",33451,"31,682",94.71%,"1,769",0.0529,"26,876","2,193","2,613","1,182",394,123,70,9.27,7.11,5.76
(V06) (590) Hampton VAMC,27945,"26,581",95.12%,"1,364",0.0488,"22,715","1,763","2,103",945,270,81,68,8.6,7.16,4.87
(V06) (590GB) Virginia Beach,2620,"2,432",92.82%,188,0.0718,"1,920",260,252,82,65,39,2,12.19,4.78,10.79
(V06) (590GC) Albemarle,992,946,95.36%,46,0.0464,858,36,52,46,0,0,0,8.27,0,1.67
(V06) (590GD) Chesapeake,1669,"1,498",89.75%,171,0.1025,"1,305",66,127,109,59,3,0,9.95,0.82,3.85
(V06) (590MA) IDES Portsmouth,92,92,100.00%,0,0.0000,21,14,57,0,0,0,0,,14.61,15.74
(V06) (590MB) IDES Langley,44,44,100.00%,0,0.0000,21,13,10,0,0,0,0,,8.14,
(V06) (590MC) IDES Fort Eustis,89,89,100.00%,0,0.0000,36,41,12,0,0,0,0,,8.86,8.68
"(V06) (637) Asheville, NC",33643,"31,621",93.99%,"2,022",0.0601,"26,516","2,398","2,707","1,468",466,72,16,6.29,9.38,3.07
(V06) (637) Charles George VAMC,27471,"25,646",93.36%,"1,825",0.0664,"21,392","1,905","2,349","1,279",459,71,16,6.19,9.87,2.88
(V06) (637GA) Franklin,1510,"1,488",98.54%,22,0.0146,"1,340",91,57,21,0,1,0,4.26,1.53,2.63
(V06) (637GB) Rutherford County,1269,"1,245",98.11%,24,0.0189,"1,078",104,63,24,0,0,0,5.01,2.86,3.43
(V06) (637GC) Hickory,3393,"3,242",95.55%,151,0.0445,"2,706",298,238,144,7,0,0,8.43,4.12,3.8
"(V06) (652) Richmond, VA",49828,"48,343",97.02%,"1,485",0.0298,"41,818","3,349","3,176",980,312,138,55,3.59,6.55,2.83
"(V06) (652) Hunter Holmes McGuire
Hospital",44186,"42,724",96.69%,"1,462",0.0331,"36,728","3,023","2,973",961,308,138,55,4.11,6.59,3.13
(V06) (652GA) Fredericksburg,2026,"2,015",99.46%,11,0.0054,"1,784",159,72,9,2,0,0,2.36,7.16,3.31
"(V06) (652GB) Fredericksburg 2 VA
Clinic",1167,"1,164",99.74%,3,0.0026,"1,038",78,48,2,1,0,0,3.14,2.32,2.33
(V06) (652GE) Charlottesville,1786,"1,783",99.83%,3,0.0017,"1,656",60,67,2,1,0,0,1.61,3.39,0.95
(V06) (652GF) Emporia,663,657,99.10%,6,0.0090,612,29,16,6,0,0,0,1.53,9.53,1.52
"(V06) (658) Salem, VA",33301,"31,497",94.58%,"1,804",0.0542,"27,271","2,047","2,179","1,015",467,274,48,4.14,11.11,2.11
(V06) (658) Salem VAMC,27114,"25,340",93.46%,"1,774",0.0654,"21,626","1,727","1,987",989,463,274,48,5.29,11.47,2.25
(V06) (658GA) Tazewell,232,230,99.14%,2,0.0086,209,13,8,1,1,0,0,2.87,,0.29
(V06) (658GB) Danville,1984,"1,984",100.00%,0,0.0000,"1,841",101,42,0,0,0,0,1.63,0,2.39
(V06) (658GC) Lynchburg,1646,"1,618",98.30%,28,0.0170,"1,388",127,103,25,3,0,0,5.03,0,3.89
(V06) (658GD) Staunton,1101,"1,101",100.00%,0,0.0000,"1,024",49,28,0,0,0,0,3.57,0.81,0.01
(V06) (658GE) Wytheville,1224,"1,224",100.00%,0,0.0000,"1,183",30,11,0,0,0,0,1.04,0.81,0.26
"(V06) (659) Salisbury, NC",56948,"54,111",95.02%,"2,837",0.0498,"44,607","4,655","4,849","1,781",843,152,61,4.96,8.66,4.53
"(V06) (659) W.G. (Bill) Hefner
Salisbury VAMC",29868,"27,878",93.34%,"1,990",0.0666,"23,548","2,109","2,221","1,209",578,143,60,4.29,9.34,3.35
(V06) (659BY) Kernersville,12114,"11,750",97.00%,364,0.0300,"9,340","1,305","1,105",273,85,5,1,4.91,6.87,5.82
(V06) (659BZ) South Charlotte,12192,"11,739",96.28%,453,0.0372,"9,633",883,"1,223",275,174,4,0,5.36,8.69,4.71
(V06) (659GA) North Charlotte,2774,"2,744",98.92%,30,0.0108,"2,086",358,300,24,6,0,0,5.65,5.32,4.61
"(V07) (508) Atlanta, GA",82629,"78,565",95.08%,"4,064",0.0492,"67,228","5,592","5,745","2,636","1,132",174,122,5.75,10.12,1.62
"(V07) (508) Atlanta VA Medical
Center",45636,"43,107",94.46%,"2,529",0.0554,"36,619","3,294","3,194","1,554",749,133,93,7.53,10.34,1.62
(V07) (508GA) Fort McPherson,6413,"6,278",97.89%,135,0.0211,"5,711",323,244,90,44,1,0,3.66,11.82,1.68
(V07) (508GE) Oakwood,3636,"3,528",97.03%,108,0.0297,"3,093",229,206,75,24,7,2,6.4,5.67,1.45
(V07) (508GF) Austell,2622,"2,617",99.81%,5,0.0019,"2,258",158,201,5,0,0,0,3.98,6.39,1.09
(V07) (508GG) Stockbridge,2549,"2,541",99.69%,8,0.0031,"2,270",132,139,8,0,0,0,2.6,5.8,1.03
(V07) (508GH) Lawrenceville,2892,"2,889",99.90%,3,0.0010,"2,557",207,125,3,0,0,0,2.99,3.85,1.82
(V07) (508GI) Newnan,1964,"1,930",98.27%,34,0.0173,"1,656",142,132,32,2,0,0,5.22,5.67,2.24
(V07) (508GJ) Blairsville,1065,"1,047",98.31%,18,0.0169,979,44,24,15,2,1,0,2.92,2.31,1.1
"(V07) (508GK) Trinka Davis Veterans
Village",2832,"2,634",93.01%,198,0.0699,"1,996",311,327,131,65,2,0,8.84,11.45,2.83
(V07) (508QF) Atlanta VA Clinic,13020,"11,994",92.12%,"1,026",0.0788,"10,089",752,"1,153",723,246,30,27,7.87,10.25,1.59
"(V07) (509) Augusta, GA",32329,"30,467",94.24%,"1,862",0.0576,"25,844","2,225","2,398","1,473",259,91,39,8.64,8.33,2.28
"(V07) (509) Charlie Norwood VA
Medical Center",14832,"13,864",93.47%,968,0.0653,"11,509","1,148","1,207",757,119,69,23,,8.98,3
(V07) (509A0) Lenwood (Uptown),13180,"12,407",94.14%,773,0.0586,"10,616",834,957,603,132,22,16,9.46,6.11,2.31
(V07) (509GA) Athens,2346,"2,241",95.52%,105,0.0448,"1,940",140,161,97,8,0,0,8.38,8.4,2.02
(V07) (509GB) Aiken,1971,"1,955",99.19%,16,0.0081,"1,779",103,73,16,0,0,0,4.32,1.93,2.24
"(V07) (521) Birmingham, AL",55964,"52,881",94.49%,"3,083",0.0551,"45,427","3,438","4,016","2,161",721,117,84,3.02,11.79,2.53
"(V07) (521) Birmingham VA Medical
Center",37852,"35,192",92.97%,"2,660",0.0703,"29,677","2,348","3,167","1,840",648,99,73,3.4,12.31,2.44
(V07) (521GA) Huntsville AL,7283,"6,930",95.15%,353,0.0485,"5,831",507,592,269,56,17,11,4.39,10.82,3.91
"(V07) (521GC) Florence AL (Shoals
Area)",1794,"1,794",100.00%,0,0.0000,"1,529",231,34,0,0,0,0,3.57,0.41,2.59
(V07) (521GD) Rainbow City,1881,"1,881",100.00%,0,0.0000,"1,813",55,13,0,0,0,0,0.28,1.58,1.74
(V07) (521GE) Anniston/Oxford AL,1840,"1,840",100.00%,0,0.0000,"1,592",156,92,0,0,0,0,2.83,2.48,4.01
(V07) (521GF) Jasper AL,1134,"1,109",97.80%,25,0.0220,"1,083",10,16,17,8,0,0,0.29,11.69,0.4
(V07) (521GG) Bessemer,1149,"1,136",98.87%,13,0.0113,"1,045",47,44,7,5,1,0,3.31,3.5,0.72
(V07) (521GH) Childersburg,1350,"1,350",100.00%,0,0.0000,"1,287",30,33,0,0,0,0,1.57,0.3,1.32
(V07) (521GI) Guntersville,1427,"1,410",98.81%,17,0.0119,"1,356",46,8,13,4,0,0,1.15,10.2,1.52
(V07) (521GJ) Birmingham VA Clinic,254,239,94.09%,15,0.0591,214,8,17,15,0,0,0,,15.31,2.41
"(V07) (534) Charleston, SC",57170,"55,429",96.95%,"1,741",0.0305,"49,046","3,181","3,202","1,225",417,73,26,3.2,8.5,2.16
"(V07) (534) Ralph H Johnsons VA
Medical Center",30970,"29,709",95.93%,"1,261",0.0407,"26,320","1,572","1,817",914,270,57,20,3.38,8.26,1.58
(V07) (534BY) Savannah,6897,"6,804",98.65%,93,0.0135,"5,767",532,505,48,28,13,4,4.32,8.83,2.53
(V07) (534GB) Myrtle Beach,7180,"6,929",96.50%,251,0.0350,"5,903",549,477,143,107,1,0,3.76,15.06,3.67
(V07) (534GC) Beaufort,2651,"2,636",99.43%,15,0.0057,"2,429",114,93,12,2,1,0,3.34,2.1,1.96
(V07) (534GD) Goose Creek,5603,"5,503",98.22%,100,0.0178,"5,006",293,204,88,9,1,2,2.42,6.54,2.68
(V07) (534GE) Hinesville,3718,"3,697",99.44%,21,0.0056,"3,470",121,106,20,1,0,0,0.95,2.54,1.98
(V07) (534QC) Charleston,151,151,100.00%,0,0.0000,151,0,0,0,0,0,0,,,
"(V07) (544) Columbia, SC",57516,"53,393",92.83%,"4,123",0.0717,"44,070","4,686","4,637","2,549",800,358,416,7.85,13.36,3.48
"(V07) (544) Wm. Jennings Bryan
Dorn VA Medical Center",39172,"36,424",92.98%,"2,748",0.0702,"29,853","3,390","3,181","1,495",637,290,326,5.96,13.09,3.32
(V07) (544BZ) Greenville SC,6851,"6,171",90.07%,680,0.0993,"5,019",533,619,471,92,38,79,9.91,15.28,4.84
(V07) (544GB) Florence,2178,"2,060",94.58%,118,0.0542,"1,700",147,213,103,6,5,4,8.96,9.65,0.67
(V07) (544GC) Rock Hill,2846,"2,819",99.05%,27,0.0095,"2,585",172,62,20,6,0,1,3.32,,2.32
(V07) (544GD) Anderson,1701,"1,373",80.72%,328,0.1928,"1,150",107,116,252,50,22,4,17.57,15.59,12.51
(V07) (544GE) Orangeburg,925,888,96.00%,37,0.0400,758,57,73,34,1,2,0,8.77,,2.47
(V07) (544GF) Sumter,1888,"1,768",93.64%,120,0.0636,"1,480",116,172,115,3,0,2,10.37,,2.45
(V07) (544GG) Spartanburg,1772,"1,750",98.76%,22,0.0124,"1,415",155,180,19,3,0,0,6.13,5.31,3.06
"(V07) (544HK) Columbia VA Mobile
Clinic",183,140,76.50%,43,0.2350,110,9,21,40,2,1,0,,13.4,
"(V07) (557) Dublin, GA",28073,"26,036",92.74%,"2,037",0.0726,"22,933","1,651","1,452","1,164",678,88,107,7.06,14.3,4.54
"(V07) (557) Carl Vinson VA Medical
Center",20177,"18,605",92.21%,"1,572",0.0779,"16,456","1,130","1,019",846,556,78,92,6.6,15.24,3.41
(V07) (557GA) Macon,1976,"1,852",93.72%,124,0.0628,"1,632",135,85,96,26,2,0,4.69,0.79,10.98
(V07) (557GB) Albany,2316,"2,108",91.02%,208,0.0898,"1,884",91,133,132,56,7,13,12.93,13.91,1.24
(V07) (557GC) Milledgeville,648,644,99.38%,4,0.0062,577,44,23,3,1,0,0,4.56,0.17,2.38
(V07) (557GE) Brunswick,1786,"1,762",98.66%,24,0.0134,"1,540",150,72,19,4,0,1,2.22,5.27,4.8
(V07) (557GF) Tift County,85,85,100.00%,0,0.0000,84,1,0,0,0,0,0,1.44,0,0.09
(V07) (557HA) Perry,1085,980,90.32%,105,0.0968,760,100,120,68,35,1,1,12.8,9.48,7.61
"(V07) (619) Central Alabama Veterans HCS, AL",33410,"30,698",91.88%,"2,712",0.0812,"25,478","2,259","2,961","1,588",853,207,64,8.54,14.38,5.96
"(V07) (619) Central Alabama VAMC -
Montgomery",8080,"7,484",92.62%,596,0.0738,"6,086",492,906,384,153,35,24,,12.38,6.63
"(V07) (619A4) Central Alabama
VAMC - Tuskegee",11128,"10,360",93.10%,768,0.0690,"9,123",582,655,403,239,99,27,6.67,15.25,3.25
(V07) (619GA) Columbus,1835,"1,646",89.70%,189,0.1030,"1,492",79,75,60,123,6,0,16.61,8.35,5.74
(V07) (619GB) Dothan 1,1855,"1,784",96.17%,71,0.0383,"1,251",275,258,47,6,11,7,7.89,,9.85
(V07) (619GD) Wiregrass,2118,"1,899",89.66%,219,0.1034,"1,568",153,178,111,105,1,2,6.4,20.78,0.97
(V07) (619GE) Monroe County,739,735,99.46%,4,0.0054,688,30,17,4,0,0,0,1.66,,2.87
"(V07) (619GF) Central Alabama
Montgomery VA Clinic",5172,"4,612",89.17%,560,0.1083,"3,450",460,702,428,112,17,3,7.51,15.78,6.44
(V07) (619QB) Fort Benning,2483,"2,178",87.72%,305,0.1228,"1,820",188,170,151,115,38,1,11.47,6.22,23.08
"(V07) (679) Tuscaloosa, AL",11996,"11,626",96.92%,370,0.0308,"10,478",496,652,257,73,35,5,6.4,4.99,2.77
"(V07) (679) Tuscaloosa VA Medical
Center",11829,"11,459",96.87%,370,0.0313,"10,321",489,649,257,73,35,5,6.77,4.99,2.78
"(V07) (679HK) Tuscaloosa VA Mobile
Clinic",158,158,100.00%,0,0.0000,150,5,3,0,0,0,0,1.54,,
(V07) (679MA) IDES Columbus,9,9,100.00%,0,0.0000,7,2,0,0,0,0,0,,4,0
"(V08) (516) Bay Pines, FL",85013,"83,462",98.18%,"1,551",0.0182,"75,693","4,023","3,746","1,234",235,67,15,2.57,4.62,1.95
(V08) (516) C.W. Bill Young VAMC,47850,"47,093",98.42%,757,0.0158,"42,605","2,307","2,181",655,81,16,5,2.65,4.72,1.9
(V08) (516BZ) Lee County,19071,"18,408",96.52%,663,0.0348,"16,276","1,065","1,067",484,128,43,8,2.66,5.79,1.75
(V08) (516GA) Sarasota,3881,"3,843",99.02%,38,0.0098,"3,570",157,116,36,2,0,0,2.97,1.29,1.37
(V08) (516GB) St. Petersburg,636,635,99.84%,1,0.0016,588,41,6,0,1,0,0,1.78,,1.95
(V08) (516GC) Palm Harbor,2410,"2,363",98.05%,47,0.0195,"2,255",65,43,33,11,2,1,3.2,0.41,1.26
(V08) (516GD) Bradenton,4412,"4,411",99.98%,1,0.0002,"4,141",132,138,1,0,0,0,1.88,0.94,3.47
(V08) (516GE) Port Charlotte,3098,"3,061",98.81%,37,0.0119,"2,744",169,148,21,10,6,0,4.23,2.71,2.24
(V08) (516GF) Naples,2255,"2,254",99.96%,1,0.0004,"2,167",55,32,1,0,0,0,0.7,3.76,3.07
(V08) (516GH) Sebring,1400,"1,394",99.57%,6,0.0043,"1,347",32,15,3,2,0,1,1.28,6.36,1.33
"(V08) (546) Miami, FL",56986,"55,824",97.96%,"1,162",0.0204,"52,198","1,876","1,750",867,142,113,40,4.23,3.54,1.16
(V08) (546) Bruce W Carter VAMC,33969,"33,374",98.25%,595,0.0175,"31,480","1,028",866,489,84,17,5,5.55,2.51,0.28
"(V08) (546BZ) William Bill Kling
VAOC",14994,"14,466",96.48%,528,0.0352,"13,162",598,706,341,56,96,35,4.51,6.96,1.45
(V08) (546GA) Miami,1068,"1,067",99.91%,1,0.0009,"1,065",1,1,0,1,0,0,0.08,,0.73
(V08) (546GB) Key West,1438,"1,428",99.30%,10,0.0070,"1,310",72,46,10,0,0,0,2.64,1.14,5.67
(V08) (546GC) Homestead,2016,"2,000",99.21%,16,0.0079,"1,831",89,80,16,0,0,0,2.31,1.9,4.07
(V08) (546GD) Pembroke Pines,1035,"1,033",99.81%,2,0.0019,979,27,27,2,0,0,0,1.82,1.75,1.71
(V08) (546GE) Key Largo,281,278,98.93%,3,0.0107,261,13,4,2,1,0,0,1.41,4.1,3.68
(V08) (546GF) Hollywood,1452,"1,451",99.93%,1,0.0007,"1,415",25,11,1,0,0,0,1.1,1.06,0.59
(V08) (546GH) Deerfield Beach,733,727,99.18%,6,0.0082,695,23,9,6,0,0,0,1.51,1.49,3.92
"(V08) (548) West Palm Beach, FL",57319,"55,696",97.17%,"1,623",0.0283,"50,226","2,619","2,851","1,305",241,59,18,2.05,5.58,3.37
(V08) (548) West Palm Beach VAMC,43534,"41,945",96.35%,"1,589",0.0365,"36,829","2,410","2,706","1,277",236,59,17,3.12,6.07,3.6
(V08) (548GA) Fort Pierce,2491,"2,485",99.76%,6,0.0024,"2,375",57,53,5,1,0,0,0.82,2.34,4.44
(V08) (548GB) Delray Beach,3634,"3,628",99.83%,6,0.0017,"3,555",33,40,5,1,0,0,0.5,1.32,0.77
(V08) (548GC) Stuart,2838,"2,831",99.75%,7,0.0025,"2,757",54,20,7,0,0,0,0.8,1.47,1.49
(V08) (548GD) Boca Raton,1886,"1,880",99.68%,6,0.0032,"1,833",30,17,4,1,0,1,0.61,1.04,4.16
(V08) (548GE) Vero Beach,1771,"1,770",99.94%,1,0.0006,"1,767",2,1,1,0,0,0,0.03,0.73,0.2
(V08) (548GF) Okeechobee,1165,"1,157",99.31%,8,0.0069,"1,110",33,14,6,2,0,0,0.5,4.26,8.43
"(V08) (573) Gainesville, FL",95616,"91,610",95.81%,"4,006",0.0419,"80,190","5,592","5,828","2,792",769,266,179,5.15,6.55,3.01
(V08) (573) Malcolm Randall VAMC,35721,"34,238",95.85%,"1,483",0.0415,"30,238","1,940","2,060","1,061",257,82,83,4.78,6.08,2.61
(V08) (573A4) Lake City VAMC,11487,"11,143",97.01%,344,0.0299,"10,128",499,516,215,67,51,11,5.59,4.58,1.25
"(V08) (573BU) Gainesville VA
Domiciliary",1,1,100.00%,0,0.0000,1,0,0,0,0,0,0,,0,
"(V08) (573BY) Jacksonville 1 VA
Clinic",17942,"16,443",91.65%,"1,499",0.0835,"13,413","1,292","1,738","1,024",333,100,42,5.87,12.47,3.81
(V08) (573GA) Valdosta,1273,"1,269",99.69%,4,0.0031,"1,221",22,26,4,0,0,0,1.07,3.29,0.07
(V08) (573GD) Ocala,3763,"3,717",98.78%,46,0.0122,"3,456",150,111,39,4,0,3,1.98,1.99,4.83
(V08) (573GE) Saint Augustine,2502,"2,468",98.64%,34,0.0136,"2,131",199,138,30,4,0,0,2.43,5.54,3.78
(V08) (573GF) Tallahassee,7634,"7,388",96.78%,246,0.0322,"6,196",604,588,199,40,5,2,8.3,3.38,6.1
(V08) (573GG) Lecanto,2167,"2,068",95.43%,99,0.0457,"1,897",77,94,24,37,21,17,10.22,4.47,1.23
(V08) (573GI) The Villages,7911,"7,748",97.94%,163,0.0206,"6,942",469,337,125,13,5,20,4.78,3.3,2.09
(V08) (573GJ) Saint Marys,1158,"1,149",99.22%,9,0.0078,"1,040",63,46,9,0,0,0,2.21,10.64,2.85
(V08) (573GK) Marianna,1081,"1,074",99.35%,7,0.0065,935,107,32,4,2,1,0,2.87,9.72,3.22
(V08) (573GL) Palatka,928,918,98.92%,10,0.0108,841,38,39,9,0,1,0,3.27,0.58,1.08
(V08) (573GM) Waycross,678,675,99.56%,3,0.0044,612,34,29,2,0,0,1,1.75,0.37,2.16
(V08) (573GN) Perry,247,246,99.60%,1,0.0040,223,12,11,1,0,0,0,2.1,9,0.74
"(V08) (573MA) IDES Naval Hospital
Jacksonville",18,18,100.00%,0,0.0000,16,0,2,0,0,0,0,,3,
(V08) (573QJ) Jacksonville 2,1105,"1,047",94.75%,58,0.0525,900,86,61,46,12,0,0,6.39,2.31,5.31
"(V08) (672) San Juan, PR",85158,"83,399",97.93%,"1,759",0.0207,"76,901","3,301","3,197","1,071",367,189,132,2.06,5.23,2.65
(V08) (672) San Juan VAMC,59049,"57,336",97.10%,"1,713",0.0290,"51,468","2,895","2,973","1,046",365,181,121,3.38,6.28,3.83
(V08) (672B0) Ponce,10468,"10,457",99.89%,11,0.0011,"10,374",59,24,10,1,0,0,0.47,0.21,0.35
(V08) (672BZ) Mayaguez,9384,"9,362",99.77%,22,0.0023,"9,115",169,78,4,0,7,11,0.34,1.54,1.66
(V08) (672GA) St Croix,332,330,99.40%,2,0.0060,324,3,3,0,1,1,0,0.17,11.71,1.41
(V08) (672GB) St Thomas,325,324,99.69%,1,0.0031,306,11,7,1,0,0,0,1.23,7.95,5.6
(V08) (672GC) Arecibo,2569,"2,569",100.00%,0,0.0000,"2,533",27,9,0,0,0,0,0.46,0.68,0.08
(V08) (672GD) Ceiba,1968,"1,958",99.49%,10,0.0051,"1,724",132,102,10,0,0,0,3.45,1.24,0.45
(V08) (672GE) Guayama,1063,"1,063",100.00%,0,0.0000,"1,057",5,1,0,0,0,0,0.31,0,0.46
