Location 102016 Pending,"1. Total Appts
Scheduled","2. Appts
Scheduled 30
Days or Under","3. Percent
Appts
Scheduled
30 Days or
Under","4. Appts
Scheduled Over
30 Days","5. Percent
Appts
Scheduled
Over 30
Days","6. New
Enroll Appt
Req","7. EWL
Count","8. Appts
Between 0å_14
Days","9. EWL 0å_
14 Days","10. Appts
Between 15å_30
Days","11. EWL 15
å_30 days","12. Appts
Between 31å_60
Days","13. EWL 31
å_60 Days","14. Appts
Between 61å_90
Days","15. EWL 61
å_90 Days","16. Appts
Between 91å_
120 Days","17. EWL 91
å_120 Days","18. Appts
Beyond 120
Days","19. EWL
Greater
than 120
Days","20. PC
Avg
Wait
Time","21. SC
Avg
Wait
Time","22. MH
Avg
Wait
Time"
(V04) (529) Butler VAMC,"15,405","15,351",99.65%,54,0.35%,0,0,"15,077",0,274,0,17,0,5,0,6,0,26,0,1.09,2.1,1.32
"(V04) (529GA) Michael A. Marzano VA
OPC","3,087","3,083",99.87%,4,0.13%,0,0,"3,067",0,16,0,0,0,0,0,1,0,3,0,0.41,0.78,0.7
(V04) (529GB) Lawrence County,"1,992","1,990",99.90%,2,0.10%,0,0,"1,989",0,1,0,0,0,0,0,0,0,2,0,0.94,0.1,0
(V04) (529GC) Armstrong County,"1,717","1,699",98.95%,18,1.05%,0,0,"1,639",0,60,0,0,0,0,0,2,0,16,0,4.4,1.21,1.8
(V04) (529GD) Clarion County,"1,259","1,242",98.65%,17,1.35%,0,0,"1,238",0,4,0,8,0,0,0,0,0,9,0,2.42,6.26,0.9
(V04) (529GF) Cranberry Township,"2,331","2,317",99.40%,14,0.60%,0,0,"2,298",0,19,0,1,0,0,0,2,0,11,0,2.06,1.57,0.29
"(V04) (540) Clarksburg, WV","25,791","23,825",92.38%,"1,966",7.62%,2,7,"21,701",4,"2,124",3,"1,235",0,314,0,199,0,218,0,5.59,12.34,3
(V04) (540) Louis A Johnson VAMC,"21,149","19,331",91.40%,"1,818",8.60%,0,7,"17,506",4,"1,825",3,"1,106",0,301,0,196,0,215,0,5.33,12.42,2.97
(V04) (540GA) Tucker County,291,281,96.56%,10,3.44%,0,0,242,0,39,0,10,0,0,0,0,0,0,0,8.99,15.5,5.38
"(V04) (540GB) Wood County Veterans
Center","2,204","2,130",96.64%,74,3.36%,0,0,"2,010",0,120,0,67,0,5,0,1,0,1,0,4.74,7.68,2.23
(V04) (540GC) Braxton County,625,600,96.00%,25,4.00%,0,0,534,0,66,0,20,0,4,0,0,0,1,0,7.83,7.89,3.23
(V04) (540GD) Monongalia County,"1,445","1,422",98.41%,23,1.59%,0,0,"1,369",0,53,0,20,0,2,0,0,0,1,0,2.75,4.08,3.6
"(V04) (540HK) Clarksburg VA Mobile
Clinic",77,61,79.22%,16,20.78%,0,0,40,0,21,0,12,0,2,0,2,0,0,0,20.3,14,
"(V04) (542) Coatesville, PA","14,753","14,324",97.09%,429,2.91%,13,62,"13,685",24,639,18,281,10,62,1,48,3,38,6,1.65,4.71,6.57
(V04) (542) Coatesville VAMC,"11,913","11,512",96.63%,401,3.37%,0,62,"10,944",24,568,18,262,10,58,1,45,3,36,6,1.78,4.74,7.92
(V04) (542BU) VADOM Coatesville,96,96,100.00%,0,0.00%,0,0,96,0,0,0,0,0,0,0,0,0,0,0,,,0.67
(V04) (542GA) Springfield,"1,477","1,458",98.71%,19,1.29%,0,0,"1,416",0,42,0,13,0,3,0,3,0,0,0,1.71,0,2.84
(V04) (542GE) Spring City,"1,267","1,258",99.29%,9,0.71%,0,0,"1,229",0,29,0,6,0,1,0,0,0,2,0,1,0,3.15
"(V04) (562) Erie, PA","23,486","22,245",94.72%,"1,241",5.28%,36,4,"21,045",2,"1,200",0,658,0,230,0,278,0,75,2,7.01,9.56,1.06
(V04) (562) Erie VAMC,"16,657","15,666",94.05%,991,5.95%,0,4,"14,800",2,866,0,466,0,177,0,275,0,73,2,8.02,9.72,1.05
(V04) (562GA) Crawford County,"1,617","1,442",89.18%,175,10.82%,0,0,"1,284",0,158,0,122,0,51,0,1,0,1,0,15.27,6.67,0.91
(V04) (562GB) Ashtabula County,"1,874","1,817",96.96%,57,3.04%,0,0,"1,714",0,103,0,53,0,2,0,2,0,0,0,4.26,7.75,1.38
(V04) (562GC) McKean County,817,816,99.88%,1,0.12%,0,0,805,0,11,0,1,0,0,0,0,0,0,0,1,2.86,1.04
(V04) (562GD) Venango County,"1,095","1,085",99.09%,10,0.91%,0,0,"1,054",0,31,0,10,0,0,0,0,0,0,0,3.18,7.28,1.32
(V04) (562GE) Warren,"1,426","1,419",99.51%,7,0.49%,0,0,"1,388",0,31,0,6,0,0,0,0,0,1,0,4.13,4.45,0.41
"(V04) (595) Lebanon, PA","69,663","67,773",97.29%,"1,890",2.71%,4,1,"65,293",1,"2,480",0,940,0,523,0,177,0,250,0,3.03,6.61,2.66
(V04) (595) Lebanon VAMC,"44,081","42,572",96.58%,"1,509",3.42%,0,0,"41,062",0,"1,510",0,695,0,457,0,155,0,202,0,2.7,6.63,2.16
(V04) (595GA) Camp Hill,"8,624","8,437",97.83%,187,2.17%,0,0,"8,025",0,412,0,136,0,30,0,10,0,11,0,3.73,6.64,3.64
(V04) (595GC) Lancaster,"4,994","4,962",99.36%,32,0.64%,0,0,"4,898",0,64,0,12,0,5,0,2,0,13,0,1.97,4.52,1.26
(V04) (595GD) Berks County,"4,079","4,034",98.90%,45,1.10%,0,1,"3,878",1,156,0,25,0,7,0,8,0,5,0,2.92,24.6,3.78
(V04) (595GE) York,"5,735","5,641",98.36%,94,1.64%,0,0,"5,494",0,147,0,56,0,22,0,2,0,14,0,2.31,6.34,1.87
(V04) (595GF) Pottsville,"2,150","2,127",98.93%,23,1.07%,0,0,"1,936",0,191,0,16,0,2,0,0,0,5,0,6.19,,4.49
"(V04) (642) Philadelphia, PA","69,426","65,672",94.59%,"3,754",5.41%,4,676,"60,756",277,"4,916",123,"2,000",157,851,93,494,25,409,1,5.28,8.59,3.38
"(V04) (642) Corporal M. J. Crescenz
VAMC","54,565","51,484",94.35%,"3,081",5.65%,0,665,"47,204",268,"4,280",123,"1,661",157,686,92,379,25,355,0,5.8,8.19,3.62
"(V04) (642GA) Burlington County VA
Clinic","2,116","2,022",95.56%,94,4.44%,0,0,"1,914",0,108,0,55,0,14,0,23,0,2,0,7.84,4.39,1.56
(V04) (642GC) Victor J. Saracini VA OPC,"8,621","8,202",95.14%,419,4.86%,0,5,"7,753",4,449,0,227,0,76,0,70,0,46,1,4.84,16.05,5.97
(V04) (642GD) Gloucester County,"4,124","3,964",96.12%,160,3.88%,0,6,"3,885",5,79,0,57,0,75,1,22,0,6,0,1.95,9.03,1.22
"(V04) (646) Pittsburgh, PA","79,920","76,170",95.31%,"3,750",4.69%,22,0,"70,492",0,"5,678",0,"2,635",0,547,0,252,0,316,0,4.92,9.38,3.21
"(V04) (646) Pittsburgh VAMC University
Dr","42,978","40,296",93.76%,"2,682",6.24%,0,0,"36,117",0,"4,179",0,"2,004",0,390,0,108,0,180,0,8.68,10.03,2.86
(V04) (646A4) H. John Heinz III VAMC,"13,085","12,439",95.06%,646,4.94%,0,0,"11,688",0,751,0,331,0,87,0,125,0,103,0,5.5,10.74,4.1
(V04) (646GA) Belmont County,"4,438","4,306",97.03%,132,2.97%,0,0,"4,098",0,208,0,91,0,32,0,3,0,6,0,4.82,4.61,2.75
(V04) (646GB) Westmoreland County,"7,394","7,367",99.63%,27,0.37%,0,0,"7,190",0,177,0,23,0,3,0,0,0,1,0,1.38,2.62,1.82
(V04) (646GC) Beaver County,"4,139","4,098",99.01%,41,0.99%,0,0,"4,007",0,91,0,23,0,3,0,2,0,13,0,2.72,8.92,4.63
(V04) (646GD) Washington County,"4,564","4,356",95.44%,208,4.56%,0,0,"4,124",0,232,0,152,0,31,0,14,0,11,0,6.16,2.83,6.08
(V04) (646GE) Fayette County,"3,322","3,308",99.58%,14,0.42%,0,0,"3,268",0,40,0,11,0,1,0,0,0,2,0,1.6,2.19,0.65
"(V04) (693) Wilkes-Barre, PA","49,051","47,310",96.45%,"1,741",3.55%,1,1,"45,054",1,"2,256",0,"1,099",0,320,0,123,0,199,0,2.02,4.32,12.12
(V04) (693) Wilkes-Barre VAMC,"31,792","30,833",96.98%,959,3.02%,0,1,"29,316",1,"1,517",0,714,0,165,0,43,0,37,0,1.76,4.32,6.96
(V04) (693B4) Allentown,"11,060","10,495",94.89%,565,5.11%,0,0,"9,984",0,511,0,266,0,92,0,57,0,150,0,2.23,4.92,23.85
(V04) (693GA) Sayre,"1,809","1,743",96.35%,66,3.65%,0,0,"1,684",0,59,0,55,0,9,0,0,0,2,0,1.51,2.9,7.47
(V04) (693GB) Williamsport,"3,040","2,901",95.43%,139,4.57%,0,0,"2,770",0,131,0,55,0,54,0,22,0,8,0,2.47,0.99,10.93
(V04) (693GC) Tobyhanna,299,297,99.33%,2,0.67%,0,0,288,0,9,0,2,0,0,0,0,0,0,0,1.61,,3.93
(V04) (693GF) Columbia County,226,221,97.79%,5,2.21%,0,0,215,0,6,0,5,0,0,0,0,0,0,0,0.05,,3.6
(V04) (693GG) Northampton County,825,820,99.39%,5,0.61%,0,0,797,0,23,0,2,0,0,0,1,0,2,0,2.4,0.16,7.36
"(V05) (512) Baltimore HCS, MD","53,145","49,070",92.33%,"4,075",7.67%,10,333,"44,283",31,"4,787",31,"2,520",58,911,68,273,50,371,92,4.81,9.19,3.55
(V05) (512) Baltimore VA Medical Center,"34,562","31,242",90.39%,"3,320",9.61%,0,86,"27,913",10,"3,329",18,"1,982",10,778,14,201,8,359,26,5.3,10,1.03
(V05) (512A5) Perry Point,"6,793","6,704",98.69%,89,1.31%,0,245,"6,327",20,377,12,66,48,10,54,9,42,4,66,2.54,3.42,3
(V05) (512GA) Cambridge,"2,584","2,465",95.39%,119,4.61%,0,2,"2,290",1,175,1,52,0,27,0,37,0,3,0,3.07,11.59,6.28
(V05) (512GC) Glen Burnie,"2,494","2,186",87.65%,308,12.35%,0,0,"1,797",0,389,0,239,0,43,0,23,0,3,0,7.78,21.6,11.73
(V05) (512GD) Loch Raven,"4,327","4,137",95.61%,190,4.39%,0,0,"3,882",0,255,0,142,0,47,0,1,0,0,0,4.21,6.34,2.38
(V05) (512GE) Pocomoke City,598,579,96.82%,19,3.18%,0,0,540,0,39,0,13,0,4,0,2,0,0,0,2.48,,7.39
(V05) (512GF) Fort Howard,512,504,98.44%,8,1.56%,0,0,481,0,23,0,8,0,0,0,0,0,0,0,2.39,11.2,3.48
(V05) (512GG) Fort Meade,"1,275","1,253",98.27%,22,1.73%,0,0,"1,053",0,200,0,18,0,2,0,0,0,2,0,7.74,4.45,6.85
"(V05) (613) Martinsburg, WV","39,979","37,409",93.57%,"2,570",6.43%,42,94,"34,906",25,"2,503",13,"1,592",29,553,9,197,7,228,11,3.39,9.88,6.76
"(V05) (613) Martinsburg VA Medical
Center","28,109","26,002",92.50%,"2,107",7.50%,0,94,"24,250",25,"1,752",13,"1,328",29,436,9,151,7,192,11,2.45,10,5.69
(V05) (613BU) VADOM Martinsburg,398,390,97.99%,8,2.01%,0,0,351,0,39,0,7,0,1,0,0,0,0,0,,0,8.45
(V05) (613GA) Cumberland,"1,732","1,698",98.04%,34,1.96%,0,0,"1,552",0,146,0,22,0,5,0,2,0,5,0,6.42,8.37,2.74
(V05) (613GB) Hagerstown,"1,963","1,950",99.34%,13,0.66%,0,0,"1,871",0,79,0,9,0,0,0,3,0,1,0,2.42,7.25,4.13
(V05) (613GC) Stephens City,"2,860","2,748",96.08%,112,3.92%,0,0,"2,522",0,226,0,61,0,30,0,6,0,15,0,5.07,9.42,16.87
(V05) (613GD) Franklin,136,136,100.00%,0,0.00%,0,0,132,0,4,0,0,0,0,0,0,0,0,0,6.76,,0
(V05) (613GE) Petersburg,515,511,99.22%,4,0.78%,0,0,500,0,11,0,3,0,0,0,1,0,0,0,2.55,1.14,1.23
(V05) (613GF) Harrisonburg,"1,725","1,651",95.71%,74,4.29%,0,0,"1,548",0,103,0,52,0,17,0,2,0,3,0,6.23,3.62,5.87
(V05) (613GG) Fort Detrick,"2,541","2,323",91.42%,218,8.58%,0,0,"2,180",0,143,0,110,0,64,0,32,0,12,0,2.47,9.8,14.46
"(V05) (688) Washington, DC","50,602","48,317",95.48%,"2,285",4.52%,39,20,"44,579",9,"3,738",2,"1,514",6,521,3,186,0,64,0,4.81,6.67,4.55
"(V05) (688) Washington VA Medical
Center","42,906","40,961",95.47%,"1,945",4.53%,0,18,"37,822",7,"3,139",2,"1,213",6,487,3,183,0,62,0,5.01,6.64,4.63
"(V05) (688DV) Charlotte Hall State
Veterans Home",4,4,100.00%,0,0.00%,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,0
(V05) (688GA) Fort Belvoir,"2,870","2,715",94.60%,155,5.40%,0,1,"2,429",1,286,0,131,0,21,0,2,0,1,0,5.1,8.97,4.67
(V05) (688GB) Southeast Washington,456,454,99.56%,2,0.44%,0,0,449,0,5,0,2,0,0,0,0,0,0,0,0.77,1.82,0.53
(V05) (688GD) Charlotte Hall,"1,940","1,809",93.25%,131,6.75%,0,1,"1,580",1,229,0,128,0,2,0,1,0,0,0,6.93,8.85,8.8
"(V05) (688GE) Southern Prince Georges
County","2,426","2,374",97.86%,52,2.14%,0,0,"2,295",0,79,0,40,0,11,0,0,0,1,0,2.48,3.99,1.17
"(V06) (517) Beckley, WV","14,034","13,009",92.70%,"1,025",7.30%,0,185,"11,913",3,"1,096",8,660,5,245,14,105,13,15,141,5.07,11.99,2.47
(V06) (517) Beckley VAMC,"12,997","11,979",92.17%,"1,018",7.83%,0,185,"10,987",3,992,8,655,5,244,14,105,13,14,141,4.95,12.12,2.54
(V06) (517GB) Greenbrier County,617,613,99.35%,4,0.65%,0,0,567,0,46,0,4,0,0,0,0,0,0,0,6.02,0.43,1.93
(V06) (517QA) Princeton,420,417,99.29%,3,0.71%,0,0,359,0,58,0,1,0,1,0,0,0,1,0,5.46,17,
"(V06) (558) Durham, NC","75,922","67,219",88.54%,"8,703",11.46%,15,705,"60,937",153,"6,282",116,"4,753",113,"2,466",119,845,22,639,179,6.41,14.11,6.2
(V06) (558) Durham VAMC,"50,088","44,510",88.86%,"5,578",11.14%,0,548,"40,453",135,"4,057",97,"2,979",85,"1,656",72,551,14,392,143,5.57,12.96,3.99
(V06) (558GA) Greenville,"16,480","13,812",83.81%,"2,668",16.19%,0,143,"12,267",13,"1,545",18,"1,460",28,698,47,271,4,239,32,8.51,18.35,7.57
(V06) (558GB) Raleigh,"6,136","5,861",95.52%,275,4.48%,0,8,"5,347",4,514,1,179,0,71,0,18,0,7,3,6.93,11.4,6.41
(V06) (558GC) Morehead City,"3,218","3,036",94.34%,182,5.66%,0,6,"2,870",1,166,0,135,0,41,0,5,4,1,1,4.82,3.42,9.05
"(V06) (565) Fayetteville, NC","73,949","63,304",85.60%,"10,645",14.40%,21,"1,092","57,506",163,"5,798",165,"4,807",345,"2,638",211,"1,701",117,"1,499",90,5.5,27.01,5.82
(V06) (565) Fayetteville VAMC,"13,829","11,390",82.36%,"2,439",17.64%,0,865,"10,349",134,"1,041",164,918,294,668,164,466,76,387,33,0,26.94,5.27
(V06) (565GA) Jacksonville VA Clinic,"3,221","3,050",94.69%,171,5.31%,0,2,"2,702",2,348,0,125,0,32,0,9,0,5,0,7.57,10.92,6.71
(V06) (565GC) Wilmington,"16,222","12,996",80.11%,"3,226",19.89%,0,59,"11,529",19,"1,467",0,"1,130",39,614,0,577,1,905,0,8.45,39.1,7.36
(V06) (565GD) Hamlet,"1,738","1,532",88.15%,206,11.85%,0,0,"1,432",0,100,0,97,0,85,0,24,0,0,0,12.76,32.3,6.8
(V06) (565GE) Robeson County,"2,143","2,094",97.71%,49,2.29%,0,1,"2,044",1,50,0,29,0,11,0,5,0,4,0,1.48,30.75,8.68
(V06) (565GF) Goldsboro,"1,017",958,94.20%,59,5.80%,0,19,871,1,87,0,33,3,8,3,6,3,12,9,15.09,21.71,1.12
(V06) (565GG) Lee County,"1,636","1,613",98.59%,23,1.41%,0,0,"1,553",0,60,0,21,0,1,0,0,0,1,0,2.88,17.94,1.67
(V06) (565GL) Cumberland County,"34,003","29,537",86.87%,"4,466",13.13%,0,146,"26,950",6,"2,587",1,"2,449",9,"1,218",44,614,37,185,48,4.2,21.18,3.64
(V06) (565MB) IDES Fort Bragg,42,41,97.62%,1,2.38%,0,0,31,0,10,0,1,0,0,0,0,0,0,0,,6.44,
(V06) (565MD) IDES Camp Lejeune,98,93,94.90%,5,5.10%,0,0,45,0,48,0,4,0,1,0,0,0,0,0,,19.41,10.88
"(V06) (590) Hampton, VA","62,269","56,174",90.21%,"6,095",9.79%,61,20,"50,551",20,"5,623",0,"3,223",0,"1,525",0,"1,125",0,222,0,7.86,13.44,8.99
(V06) (590) Hampton VAMC,"48,083","43,147",89.73%,"4,936",10.27%,0,19,"38,739",19,"4,408",0,"2,546",0,"1,182",0,"1,017",0,191,0,7.62,13.78,8.21
(V06) (590GB) Virginia Beach,"6,873","6,290",91.52%,583,8.48%,0,1,"5,636",1,654,0,320,0,206,0,35,0,22,0,8.51,8.41,12.93
(V06) (590GC) Albemarle,"2,077","1,996",96.10%,81,3.90%,0,0,"1,859",0,137,0,72,0,4,0,2,0,3,0,4.58,0,5.99
(V06) (590GD) Chesapeake,"5,134","4,647",90.51%,487,9.49%,0,0,"4,267",0,380,0,277,0,133,0,71,0,6,0,9.39,3.12,7.48
(V06) (590MA) IDES Portsmouth,60,52,86.67%,8,13.33%,0,0,13,0,39,0,8,0,0,0,0,0,0,0,,15.44,23.77
(V06) (590MB) IDES Langley,17,17,100.00%,0,0.00%,0,0,17,0,0,0,0,0,0,0,0,0,0,0,,5.41,
(V06) (590MC) IDES Fort Eustis,25,25,100.00%,0,0.00%,0,0,20,0,5,0,0,0,0,0,0,0,0,0,,9.47,7.5
"(V06) (637) Asheville, NC","48,628","42,816",88.05%,"5,812",11.95%,7,140,"38,780",16,"4,036",16,"3,380",27,"1,466",11,618,14,348,55,6.54,17.55,4.05
(V06) (637) Charles George VAMC,"41,490","36,023",86.82%,"5,467",13.18%,0,116,"32,482",14,"3,541",10,"3,069",23,"1,439",7,614,11,345,50,5.38,17.96,4.22
(V06) (637GA) Franklin,"1,809","1,777",98.23%,32,1.77%,0,8,"1,683",0,94,2,25,1,2,3,2,1,3,1,5.26,3.88,3.41
(V06) (637GB) Rutherford County,"1,752","1,698",96.92%,54,3.08%,0,16,"1,599",2,99,4,45,3,8,1,1,2,0,4,6.54,5.67,4.66
(V06) (637GC) Hickory,"3,577","3,318",92.76%,259,7.24%,0,0,"3,016",0,302,0,241,0,17,0,1,0,0,0,11.56,4.65,3.49
"(V06) (652) Richmond, VA","77,942","70,240",90.12%,"7,702",9.88%,2,52,"63,994",21,"6,246",3,"3,144",2,"1,842",2,"1,116",5,"1,600",19,5.21,16.18,3.64
"(V06) (652) Hunter Holmes McGuire
Hospital","71,000","63,376",89.26%,"7,624",10.74%,0,43,"57,392",21,"5,984",3,"3,091",2,"1,826",1,"1,113",5,"1,594",11,6.03,16.27,4.5
(V06) (652GA) Fredericksburg,"2,139","2,115",98.88%,24,1.12%,0,0,"2,031",0,84,0,17,0,2,0,1,0,4,0,2.78,8.6,2.29
(V06) (652GB) Fredericksburg 2 VA Clinic,"1,635","1,628",99.57%,7,0.43%,0,7,"1,560",0,68,0,7,0,0,1,0,0,0,6,4.97,5.47,1.89
(V06) (652GE) Charlottesville,"2,295","2,267",98.78%,28,1.22%,0,2,"2,186",0,81,0,16,0,11,0,1,0,0,2,2.2,7.38,1.63
(V06) (652GF) Emporia,873,854,97.82%,19,2.18%,0,0,825,0,29,0,13,0,3,0,1,0,2,0,2.26,10.29,1.44
"(V06) (658) Salem, VA","58,989","52,689",89.32%,"6,300",10.68%,15,139,"48,630",38,"4,059",16,"2,964",60,"1,517",18,"1,279",0,540,7,5.64,15.7,3.17
(V06) (658) Salem VAMC,"48,578","42,514",87.52%,"6,064",12.48%,0,136,"38,788",38,"3,726",14,"2,791",60,"1,485",18,"1,264",0,524,6,6.5,15.85,3.35
(V06) (658GA) Tazewell,442,439,99.32%,3,0.68%,0,0,434,0,5,0,1,0,1,0,0,0,1,0,3.41,,0.08
(V06) (658GB) Danville,"2,636","2,610",99.01%,26,0.99%,0,0,"2,534",0,76,0,18,0,1,0,0,0,7,0,2.51,0.16,3.93
(V06) (658GC) Lynchburg,"2,708","2,532",93.50%,176,6.50%,0,1,"2,354",0,178,1,145,0,28,0,1,0,2,0,13.09,0,3.08
(V06) (658GD) Staunton,"2,166","2,156",99.54%,10,0.46%,0,1,"2,111",0,45,1,5,0,1,0,0,0,4,0,3.81,0.66,0.47
(V06) (658GE) Wytheville,"2,459","2,438",99.15%,21,0.85%,0,1,"2,409",0,29,0,4,0,1,0,14,0,2,1,1.33,0.63,3.09
"(V06) (659) Salisbury, NC","90,192","80,622",89.39%,"9,570",10.61%,50,271,"73,494",49,"7,128",23,"4,744",26,"2,741",23,983,13,"1,102",137,4.25,14.38,8.54
"(V06) (659) W.G. (Bill) Hefner Salisbury
VAMC","46,762","40,539",86.69%,"6,223",13.31%,0,232,"37,362",28,"3,177",21,"3,018",23,"1,563",21,723,12,919,127,3.75,16.35,5.43
(V06) (659BY) Kernersville,"23,465","21,973",93.64%,"1,492",6.36%,0,17,"20,209",3,"1,764",2,789,3,428,2,146,1,129,6,3.67,10.38,11.71
(V06) (659BZ) South Charlotte,"18,020","16,267",90.27%,"1,753",9.73%,0,2,"14,322",2,"1,945",0,852,0,738,0,113,0,50,0,6.38,12.9,9.15
(V06) (659GA) North Charlotte,"1,945","1,843",94.76%,102,5.24%,0,20,"1,601",16,242,0,85,0,12,0,1,0,4,4,4.66,10.44,5.93
"(V07) (508) Atlanta, GA","121,853","112,734",92.52%,"9,119",7.48%,21,750,"102,594",89,"10,140",25,"5,757",87,"2,383",98,445,68,534,382,7.07,11.81,1.98
(V07) (508) Atlanta VA Medical Center,"73,401","67,269",91.65%,"6,132",8.35%,0,741,"61,015",85,"6,254",23,"3,664",87,"1,616",97,358,68,494,380,8,12.09,2.04
(V07) (508GA) Fort McPherson,"7,599","7,317",96.29%,282,3.71%,0,0,"6,753",0,564,0,240,0,36,0,4,0,2,0,6.38,12.16,2.55
(V07) (508GE) Oakwood,"3,962","3,820",96.42%,142,3.58%,0,0,"3,557",0,263,0,117,0,22,0,0,0,3,0,7.3,4.41,1.67
(V07) (508GF) Austell,"2,717","2,701",99.41%,16,0.59%,0,0,"2,593",0,108,0,15,0,0,0,1,0,0,0,2.96,18.3,1.83
(V07) (508GG) Stockbridge,"2,797","2,728",97.53%,69,2.47%,0,1,"2,596",1,132,0,60,0,9,0,0,0,0,0,1.72,21.14,1.41
(V07) (508GH) Lawrenceville,"2,522","2,507",99.41%,15,0.59%,0,1,"2,380",1,127,0,13,0,2,0,0,0,0,0,2.99,7.74,0.94
(V07) (508GI) Newnan,"2,815","2,767",98.29%,48,1.71%,0,0,"2,579",0,188,0,43,0,5,0,0,0,0,0,4.76,9.14,2.89
(V07) (508GJ) Blairsville,"1,690","1,637",96.86%,53,3.14%,0,0,"1,554",0,83,0,35,0,18,0,0,0,0,0,5.35,5.12,1.15
"(V07) (508GK) Trinka Davis Veterans
Village","4,195","3,906",93.11%,289,6.89%,0,0,"3,369",0,537,0,253,0,30,0,4,0,2,0,10.27,9.23,2.04
(V07) (508QF) Atlanta VA Clinic,"20,155","18,082",89.71%,"2,073",10.29%,0,7,"16,198",2,"1,884",2,"1,317",0,645,1,78,0,33,2,10.49,11.8,2.27
"(V07) (509) Augusta, GA","47,675","44,265",92.85%,"3,410",7.15%,0,60,"40,719",5,"3,546",0,"2,343",5,670,1,240,10,157,39,9.58,7.9,2.34
"(V07) (509) Charlie Norwood VA Medical
Center","23,112","21,107",91.32%,"2,005",8.68%,0,1,"19,173",0,"1,934",0,"1,333",0,385,0,180,0,107,1,,9.34,3.81
(V07) (509A0) Lenwood (Uptown),"20,699","19,399",93.72%,"1,300",6.28%,0,59,"18,028",5,"1,371",0,917,5,280,1,56,10,47,38,10.45,4.27,2.49
(V07) (509GA) Athens,"2,383","2,290",96.10%,93,3.90%,0,0,"2,106",0,184,0,83,0,4,0,3,0,3,0,9.89,8.55,1.65
(V07) (509GB) Aiken,"1,481","1,469",99.19%,12,0.81%,0,0,"1,412",0,57,0,10,0,1,0,1,0,0,0,3.68,5.54,1.81
"(V07) (521) Birmingham, AL","71,558","66,458",92.87%,"5,100",7.13%,36,97,"61,421",14,"5,037",9,"3,361",20,"1,314",17,277,4,148,31,6.83,10.58,2.63
"(V07) (521) Birmingham VA Medical
Center","45,001","41,027",91.17%,"3,974",8.83%,0,30,"37,425",0,"3,602",7,"2,594",4,"1,029",9,219,2,132,8,11.89,11.07,2.42
(V07) (521GA) Huntsville AL,"9,344","8,554",91.55%,790,8.45%,0,16,"7,698",2,856,0,493,4,236,0,47,0,14,10,13.2,9.91,3.44
(V07) (521GB) Decatur AL/Madison,0,0,0.00%,0,0.00%,0,5,0,0,0,0,0,0,0,0,0,0,0,5,,,
(V07) (521GC) Florence AL (Shoals Area),"1,782","1,768",99.21%,14,0.79%,0,0,"1,732",0,36,0,7,0,6,0,1,0,0,0,5.99,2.11,3.74
(V07) (521GD) Rainbow City,"1,709","1,701",99.53%,8,0.47%,0,0,"1,650",0,51,0,6,0,1,0,1,0,0,0,1.03,7,2.88
(V07) (521GE) Anniston/Oxford AL,"1,653","1,646",99.58%,7,0.42%,0,35,"1,548",8,98,2,6,9,1,6,0,2,0,6,2.96,2.74,3.93
(V07) (521GF) Jasper AL,"1,402","1,382",98.57%,20,1.43%,0,8,"1,364",3,18,0,11,3,3,2,5,0,1,0,0.92,6.44,1.29
(V07) (521GG) Bessemer,"1,852","1,817",98.11%,35,1.89%,0,2,"1,785",1,32,0,27,0,7,0,0,0,1,1,4.23,1.47,1.19
(V07) (521GH) Childersburg,"1,820","1,817",99.84%,3,0.16%,0,0,"1,777",0,40,0,2,0,0,0,1,0,0,0,2.77,0.98,1.15
(V07) (521GI) Guntersville,"1,886","1,885",99.95%,1,0.05%,0,1,"1,871",0,14,0,1,0,0,0,0,0,0,1,1.07,4.47,2.11
(V07) (521GJ) Birmingham VA Clinic,"5,109","4,861",95.15%,248,4.85%,0,0,"4,571",0,290,0,214,0,31,0,3,0,0,0,1.16,8.69,4.6
"(V07) (534) Charleston, SC","64,443","60,847",94.42%,"3,596",5.58%,143,72,"56,868",15,"3,979",12,"2,346",16,800,8,286,6,164,15,3.77,9.06,2.92
"(V07) (534) Ralph H Johnsons VA
Medical Center","34,312","31,837",92.79%,"2,475",7.21%,0,43,"29,693",11,"2,144",7,"1,679",7,573,7,114,3,109,8,4.64,8.16,2.31
(V07) (534BY) Savannah,"8,079","7,942",98.30%,137,1.70%,0,7,"7,377",1,565,1,110,3,17,0,4,0,6,2,4.16,4.9,3.92
(V07) (534GB) Myrtle Beach,"7,919","7,325",92.50%,594,7.50%,0,22,"6,705",3,620,4,276,6,129,1,157,3,32,5,5.18,19.19,3.65
(V07) (534GC) Beaufort,"1,946","1,916",98.46%,30,1.54%,0,0,"1,799",0,117,0,27,0,2,0,1,0,0,0,4.65,2.35,2.1
(V07) (534GD) Goose Creek,"7,837","7,557",96.43%,280,3.57%,0,0,"7,193",0,364,0,183,0,74,0,9,0,14,0,2.67,13.76,3.5
(V07) (534GE) Hinesville,"4,320","4,240",98.15%,80,1.85%,0,0,"4,071",0,169,0,71,0,5,0,1,0,3,0,2.43,2.48,3.08
(V07) (534QC) Charleston,30,30,100.00%,0,0.00%,0,0,30,0,0,0,0,0,0,0,0,0,0,0,,,
