Location,Appts_Total_2016,PC_Wait_2016,Appts<31_16,%Appts<31_16
"(V08) (673) Tampa, FL","180,908",2.26,"176,270",0.97
"(V08) (673) James A Haley Veterans
Hospital","129,785",2.43,"126,308",0.97
(V08) (673BZ) New Port Richey,"25,051",1.99,"24,108",0.96
(V08) (673GB) Lakeland,"14,301",2.06,"14,180",0.99
(V08) (673GC) Brooksville,"8,078",2.17,"8,035",0.99
(V08) (673GF) Zephyrhills,"3,693",2.42,"3,639",0.99
"(V08) (675) Orlando, FL","212,838",5.55,"199,976",0.94
(V08) (675) Orlando VA Medical Center,"80,432",12.16,"73,411",0.91
(V08) (6759AA) Orlando Nursing Home,1,,1,1.00
(V08) (675BU) Orlando Domiciliary,33,,33,1.00
(V08) (675GA) Viera,"45,669",5.49,"43,163",0.95
"(V08) (675GB) William V Chappell Jr VA
OPC","33,327",4.07,"32,118",0.96
(V08) (675GC) Kissimee,"5,209",3.52,"5,146",0.99
(V08) (675GD) Orange City,"4,695",3.72,"4,572",0.97
(V08) (675GE) Tavares VA Clinic,"6,116",2.89,"5,983",0.98
(V08) (675GF) Clermont,"3,523",5.95,"3,420",0.97
(V08) (675GG) Lake Baldwin,"33,833",3.8,"32,129",0.95
"(V09) (581) Huntington, WV","40,147",4.24,"37,766",0.94
(V09) (581) Huntington VAMC,"32,835",4.21,"30,641",0.93
(V09) (581GA) Prestonsburg,"3,158",4.58,"3,052",0.97
(V09) (581GB) Charleston,"4,154",4.06,"4,073",0.98
"(V09) (596) Lexington, KY","28,272",2.99,"26,573",0.94
(V09) (596) Lexington VAMC-Leestown,"11,357",3.67,"10,933",0.96
(V09) (596A4) Lexington-Cooper Dr,"13,406",,"12,301",0.92
(V09) (596BU) Lexington Domiciliary,6,,6,1.00
(V09) (596GA) Somerset,"1,791",2.29,"1,656",0.92
(V09) (596GB) Morehead,362,2.74,350,0.97
(V09) (596GC) Hazard,535,1.43,530,0.99
(V09) (596GD) Berea,815,1.53,797,0.98
"(V09) (603) Louisville, KY","54,529",3.78,"53,420",0.98
(V09) (603) Robley Rex VAMC,"30,549",2.66,"29,533",0.97
(V09) (603BU) Louisville Domiciliary,6,,6,1.00
(V09) (603GA) Fort Knox,"2,580",6.28,"2,564",0.99
(V09) (603GB) New Albany,"3,582",1.78,"3,561",0.99
(V09) (603GC) Shively,"5,289",4.1,"5,275",1.00
(V09) (603GD) Dupont,"2,689",4.4,"2,681",1.00
(V09) (603GE) Newburg,"5,267",3.55,"5,242",1.00
(V09) (603GF) Grayson County,"2,549",4.15,"2,546",1.00
(V09) (603GG) Scott County,"1,401",2.8,"1,397",1.00
(V09) (603GH) Carrollton,583,2.73,581,1.00
(V09) (603MA) IDES Fort Knox,34,,34,1.00
"(V09) (614) Memphis, TN","56,531",3.85,"54,491",0.96
(V09) (614) Memphis VAMC,"40,302",3.78,"38,486",0.95
(V09) (614GA) Tupelo,"3,585",3.75,"3,531",0.98
(V09) (614GB) Jonesboro,340,0.81,340,1.00
(V09) (614GC) Holly Springs VA Clinic,330,3.36,324,0.98
(V09) (614GD) Savannah,725,1.09,718,0.99
(V09) (614GE) Covington,"2,178",7.24,"2,125",0.98
"(V09) (614GF) Nonconnah Boulevard VA
Clinic","6,227",3.53,"6,143",0.99
(V09) (614GG) Jackson,"1,623",2.64,"1,609",0.99
(V09) (614GI) Dyersburg,994,4.8,988,0.99
(V09) (614GN) Helena,227,4.63,227,1.00
"(V09) (621) Mountain Home, TN","94,360",5.52,"90,601",0.96
(V09) (621) James H Quillen VAMC,"58,118",6.92,"55,323",0.95
(V09) (621BU) VADOM Mountain Home,110,2.34,110,1.00
(V09) (621BY) William C Tallent VA OPC,"19,286",3.52,"18,855",0.98
(V09) (621GA) Rogersville,"1,250",2.15,"1,244",1.00
(V09) (621GC) Norton,"5,432",7.49,"5,319",0.98
(V09) (621GG) Morristown,"1,848",1.69,"1,826",0.99
(V09) (621GI) Sevierville,"3,149",2.61,"3,100",0.98
(V09) (621GJ) Bristol,"3,698",5.66,"3,495",0.95
(V09) (621GK) Campbell County,"1,469",9.69,"1,329",0.90
"(V09) (626) Middle Tennessee HCS, TN","146,338",7.22,"137,022",0.94
(V09) (626) Nashville VAMC,"63,096",11.84,"58,636",0.93
(V09) (626A4) Alvin C York VAMC,"41,508",4.65,"39,097",0.94
(V09) (626GA) Dover,757,10.84,668,0.88
(V09) (626GC) Bowling Green,"2,806",9.41,"2,522",0.90
(V09) (626GE) Clarksville,"7,383",4.51,"6,811",0.92
(V09) (626GF) Chattanooga,"16,228",8.4,"15,194",0.94
(V09) (626GG) Tullahoma,914,1.53,898,0.98
(V09) (626GH) Cookeville,"2,662",1.08,"2,656",1.00
(V09) (626GJ) Hopkinsville,"3,830",5.1,"3,608",0.94
(V09) (626GK) McMinnville,"1,342",1.41,"1,319",0.98
(V09) (626GL) Roane County,719,9.27,698,0.97
(V09) (626GM) Maury County,"2,200",5.65,"2,111",0.96
(V09) (626GN) Athens,"1,102",3.19,"1,075",0.98
"(V09) (626GO) International Plaza VA
Clinic","1,753",5.94,"1,691",0.96
(V09) (626MA) IDES Fort Campbell,38,,38,1.00
"(V10) (538) Chillicothe, OH","18,566",5.95,"16,790",0.90
(V10) (538) Chillicothe VAMC,"12,802",7.66,"11,171",0.87
(V10) (538GA) Athens,"1,382",2.76,"1,355",0.98
(V10) (538GB) Portsmouth,910,2.58,902,0.99
(V10) (538GC) Marietta,909,3.37,888,0.98
(V10) (538GD) Lancaster,"1,446",4.39,"1,364",0.94
(V10) (538GE) Cambridge,"1,117",1.32,"1,110",0.99
"(V10) (539) Cincinnati, OH","50,102",2.48,"48,071",0.96
(V10) (539) Cincinnati VAMC,"32,535",4.97,"30,660",0.94
"(V10) (539A4) Cincinnati VAMC-Fort
Thomas",776,,771,0.99
(V10) (539BV) Fort Thomas PRRTP,1,,1,1.00
(V10) (539GA) Bellevue,"2,012",2.11,"1,995",0.99
(V10) (539GB) Clermont County,"4,979",1.62,"4,901",0.98
(V10) (539GC) Dearborn,"2,876",1.79,"2,863",1.00
(V10) (539GD) Florence,"3,258",1.56,"3,238",0.99
(V10) (539GE) Hamilton,"3,007",0.83,"2,991",0.99
(V10) (539GF) Georgetown,656,3.43,649,0.99
(V10) (539QA) Cincinnati VA Mobile Clinic,2,,2,1.00
"(V10) (541) Cleveland, OH","93,682",3.87,"86,528",0.92
"(V10) (541) Louis Stokes Cleveland
VAMC","38,804",5.23,"34,640",0.89
(V10) (541BY) Canton,"7,995",8.14,"6,849",0.86
(V10) (541BZ) Youngstown,"5,857",2.65,"5,759",0.98
(V10) (541GB) Lorain,"2,860",2.03,"2,840",0.99
(V10) (541GC) Sandusky,"2,529",5.74,"2,408",0.95
(V10) (541GD) David F Winder VA CBOC,"5,137",0.15,"5,113",1.00
(V10) (541GE) McCafferty,857,1.06,796,0.93
(V10) (541GF) Painesville,"3,174",1.34,"3,160",1.00
(V10) (541GG) Akron,"7,988",3.36,"7,554",0.95
(V10) (541GH) East Liverpool,"1,562",2.23,"1,538",0.98
(V10) (541GI) Warren,"2,171",4.43,"2,153",0.99
(V10) (541GJ) New Philadelphia,"1,673",1.69,"1,649",0.99
(V10) (541GK) Ravenna,"2,243",2.32,"2,208",0.98
(V10) (541GL) Parma,"10,101",4.68,"9,530",0.94
"(V10) (541GM) Cleveland VA Clinic-
Superior",70,,70,1.00
(V10) (541PA) Cleveland PRRTP OH,15,,15,1.00
"(V10) (541QF) Cuyahoga County 4 VA
Mobile Clinic",646,,246,0.38
"(V10) (552) Dayton, OH","28,155",2.27,"26,497",0.94
(V10) (552) Dayton VAMC,"21,662",1.27,"20,255",0.94
(V10) (552GA) Middletown,"1,639",1.9,"1,627",0.99
(V10) (552GB) Lima,"1,845",1.52,"1,769",0.96
(V10) (552GC) Richmond,"1,857",7.26,"1,708",0.92
(V10) (552GD) Springfield,"1,152",0.91,"1,138",0.99
"(V10) (757) Columbus, OH","49,569",7.7,"43,506",0.88
"(V10) (757) Chalmers P Wylie Veterans
OC","39,625",8.16,"34,119",0.86
(V10) (757GA) Zanesville,"1,828",14.89,"1,599",0.87
(V10) (757GB) Grove City,"1,560",0.82,"1,551",0.99
(V10) (757GC) Marion,"2,465",3.64,"2,437",0.99
(V10) (757GD) Newark,"1,729",7.55,"1,615",0.93
"(V10) (757QA) Columbus 1 VA Mobile
Clinic",5,0,5,1.00
(V10) (757QC) Columbus VA Clinic,"2,357",,"2,180",0.92
"(V11) (506) Ann Arbor, MI","62,512",5.76,"56,994",0.91
(V11) (506) Ann Arbor VAMC,"45,265",4.22,"41,254",0.91
(V11) (506GA) Toledo,"13,851",8.32,"12,457",0.90
(V11) (506GB) Flint,"2,124",6.96,"2,036",0.96
(V11) (506GC) Jackson,"1,272",5.41,"1,247",0.98
"(V11) (515) Battle Creek, MI","27,859",3.54,"26,523",0.95
(V11) (515) Battle Creek VAMC,"11,860",4.54,"11,373",0.96
(V11) (515BU) Battle Creek Domiciliary,31,,31,1.00
(V11) (515BY) Wyoming,"11,797",2.99,"11,026",0.93
(V11) (515GA) Muskegon,"1,479",2.16,"1,459",0.99
(V11) (515GB) Lansing South,"1,982",4.92,"1,931",0.97
(V11) (515GC) Benton Harbor,710,1.87,703,0.99
"(V11) (550) Danville, IL","30,362",3.32,"28,755",0.95
(V11) (550) Danville VAMC,"14,690",1.7,"14,143",0.96
(V11) (550BY) Bob Michel VA OPC,"8,594",4.52,"7,656",0.89
(V11) (550GA) Decatur,"2,564",4.31,"2,505",0.98
(V11) (550GC) Lafayette,"1,091",1.65,"1,077",0.99
(V11) (550GD) Springfield,"2,697",3.05,"2,662",0.99
(V11) (550GF) Charleston,726,5.58,712,0.98
"(V11) (553) Detroit, MI","64,268",5.3,"58,646",0.91
(V11) (553) John D Dingell VAMC,"59,736",5.86,"54,132",0.91
(V11) (553GA) Yale,"2,116",4.1,"2,109",1.00
(V11) (553GB) Pontiac,"2,416",2.73,"2,405",1.00
"(V11) (583) Indianapolis, IN","61,289",3.84,"56,305",0.92
(V11) (583) Richard L Roudebush VAMC,"56,550",4.31,"51,822",0.92
(V11) (583GA) Terre Haute,"1,824",0.88,"1,798",0.99
(V11) (583GB) Bloomington,"1,790",0.63,"1,685",0.94
(V11) (583GC) Martinsville,494,0.45,450,0.91
(V11) (583GF) Wakeman,631,9.58,550,0.87
"(V11) (610) Northern Indiana HCS, IN","37,081",7.12,"32,657",0.88
(V11) (610) Marion VAMC,"8,970",6.37,"8,065",0.90
(V11) (610A4) Fort Wayne VAMC,"17,014",9.76,"13,803",0.81
(V11) (610BU) Marion VADOM,7,,7,1.00
(V11) (610GA) South Bend,"3,375",2.56,"3,355",0.99
(V11) (610GB) Muncie,"1,836",4.81,"1,815",0.99
(V11) (610GC) Goshen,"1,716",1.57,"1,698",0.99
(V11) (610GD) Peru,"1,433",16.14,"1,194",0.83
(V11) (610QA) Fort Wayne VA Clinic,"2,730",,"2,720",1.00
"(V11) (655) Saginaw, MI","29,081",3.18,"26,735",0.92
(V11) (655) Aleda E Lutz VAMC,"19,738",3.13,"17,658",0.89
(V11) (655GA) Gaylord,"1,044",1.91,997,0.96
(V11) (655GB) Traverse City,871,4.19,846,0.97
(V11) (655GC) Oscoda,769,4.42,738,0.96
"(V11) (655GD) Lt Col Clement Van
Wagoner VA Clinic",816,1.86,777,0.95
(V11) (655GE) Clare,"1,195",3.14,"1,173",0.98
(V11) (655GF) Bad Axe,586,2.04,574,0.98
(V11) (655GG) Cadillac,"1,246",3.49,"1,210",0.97
(V11) (655GH) Cheboygan,634,0.88,632,1.00
(V11) (655GI) Grayling,684,4.77,647,0.95
(V11) (655QB) Grand Traverse,"1,498",,"1,483",0.99
"(V12) (537) Jesse Brown VAMC (Chicago), IL","49,366",4.79,"46,182",0.94
(V12) (537) Jesse Brown VAMC,"37,714",4.8,"35,339",0.94
"(V12) (537BY) Adam Benjamin Jr VA
OPC","8,836",3.48,"8,056",0.91
(V12) (537GA) Chicago Heights,729,2.84,723,0.99
(V12) (537GD) Lakeside,"1,359",5.02,"1,346",0.99
(V12) (537HA) Auburn Gresham,728,8.38,718,0.99
(V12) (556) Captain James A Lovell FHCC,"19,261",2.46,"18,999",0.99
"(V12) (556) Captain James A Lovell
FHCC","16,488",2.36,"16,251",0.99
(V12) (556GA) Evanston,342,1.11,335,0.98
(V12) (556GC) McHenry,"1,647",3.38,"1,640",1.00
(V12) (556GD) Kenosha,784,2.01,773,0.99
"(V12) (578) Hines, IL","63,048",6.91,"57,418",0.91
(V12) (578) Edward Hines Junior Hospital,"50,367",8.41,"45,490",0.90
(V12) (578GA) Joliet,"5,289",4.83,"4,907",0.93
(V12) (578GC) Kankakee County,"1,522",3.31,"1,439",0.95
(V12) (578GD) Aurora,"1,675",6.85,"1,606",0.96
(V12) (578GE) Hoffman Estates,"1,364",6.6,"1,263",0.93
(V12) (578GF) LaSalle,"1,260",3.8,"1,227",0.97
(V12) (578GG) Oak Lawn,"1,571",4.62,"1,486",0.95
"(V12) (585) Iron Mountain, MI","12,391",4.25,"12,009",0.97
(V12) (585) Oscar G Johnson VAMC,"8,351",7.48,"8,066",0.97
(V12) (585GA) Hancock,565,2.82,543,0.96
(V12) (585GB) Rhinelander,838,1.7,815,0.97
(V12) (585GC) Menominee,579,1.55,566,0.98
(V12) (585GD) Ironwood,318,2.45,313,0.98
(V12) (585HA) Marquette MI,"1,181",1.11,"1,153",0.98
(V12) (585HB) Sault Saint Marie,559,1.31,553,0.99
"(V12) (607) Madison, WI","33,882",5.67,"31,563",0.93
"(V12) (607) William S. Middleton
Memorial Veterans Hospital","26,638",7.44,"24,493",0.92
(V12) (607GC) Janesville,"1,011",4.73,987,0.98
(V12) (607GD) Baraboo,494,5.23,487,0.99
(V12) (607GE) Beaver Dam,742,3.19,734,0.99
(V12) (607GF) Freeport,514,4.53,504,0.98
(V12) (607HA) Rockford,"4,483",3.83,"4,358",0.97
"(V12) (676) Tomah, WI","16,480",2.97,"15,761",0.96
(V12) (676) Tomah VAMC,"9,778",2.22,"9,285",0.95
(V12) (676GA) Wausau,"1,725",3.88,"1,625",0.94
(V12) (676GC) River Valley,"2,737",3.07,"2,706",0.99
(V12) (676GD) Wisconsin Rapids,"2,024",3.38,"1,932",0.95
(V12) (676GE) Clark County,216,1.74,213,0.99
"(V12) (695) Milwaukee, WI","68,285",9.73,"63,441",0.93
(V12) (695) Clement J Zablocki VAMC,"49,183",4.79,"46,485",0.95
(V12) (695BU) VADOM Milwaukee,21,,21,1.00
(V12) (695BY) Appleton,"7,342",16.22,"5,904",0.80
(V12) (695GA) Union Grove WI,"1,132",2.72,"1,124",0.99
(V12) (695GC) Cleveland,"1,410",11.31,"1,325",0.94
"(V12) (695GD) Milo C Huempfner VA
OPC","9,197",9.35,"8,582",0.93
"(V15) (589) Columbia, MO","44,752",2.53,"42,416",0.95
(V15) (589A4) Harry S. Truman VAMC,"32,146",3.31,"29,908",0.93
"(V15) (589G8) Jefferson City, MO","2,787",1.15,"2,746",0.99
(V15) (589GE) Kirksville,997,1.85,993,1.00
"(V15) (589GF) Fort Leonard Wood VA
Clinic","1,604",1.94,"1,584",0.99
(V15) (589GH) Lake of the Ozarks,"1,680",2.35,"1,668",0.99
(V15) (589GX) Mexico,"1,465",3.11,"1,462",1.00
(V15) (589GY) St. James,"1,684",1.72,"1,670",0.99
(V15) (589JA) Sedalia,"1,612",0.22,"1,611",1.00
(V15) (589JD) Marshfield,777,1.58,774,1.00
"(V15) (589) Kansas City, MO","41,042",3.66,"39,625",0.97
(V15) (589) Kansas City VAMC,"37,916",4.15,"36,512",0.96
(V15) (589G1) Warrensburg,"1,193",2.53,"1,185",0.99
(V15) (589GB) Belton,345,0.58,342,0.99
(V15) (589GC) Paola,351,0.37,351,1.00
(V15) (589GD) Nevada,569,2.62,568,1.00
(V15) (589GZ) Cameron,119,0.57,119,1.00
"(V15) (589HK) Kansas City VA Mobile
Clinic",113,0.05,113,1.00
(V15) (589JB) Excelsior Springs,422,7.68,421,1.00
(V15) (589MC) IDES Whiteman AFB,14,,14,1.00
"(V15) (589) Eastern KS HCS, KS","35,463",6.39,"33,718",0.95
(V15) (589A5) Colmery-O'Neil VAMC,"17,480",9.31,"16,603",0.95
"(V15) (589A6) Dwight D. Eisenhower
VAMC","13,440",3.92,"12,697",0.94
(V15) (589BU) Leavenworth DCHV,"1,459",,"1,452",1.00
(V15) (589G9) Ft. Riley,63,,63,1.00
(V15) (589GI) St. Joseph,771,1.27,762,0.99
(V15) (589GJ) Wyandotte County,694,5.12,678,0.98
(V15) (589GM) Chanute,167,14.55,140,0.84
(V15) (589GN) Emporia,68,6,65,0.96
(V15) (589GP) Garnett,52,18.37,43,0.83
(V15) (589GR) Junction City,606,0.02,588,0.97
(V15) (589GU) Lawrence,163,0.74,163,1.00
(V15) (589GV) Ft. Scott,258,16.31,223,0.86
(V15) (589JE) Platte City,67,0.65,67,1.00
(V15) (589MA) Ft. Riley DES Clinic,143,,142,0.99
(V15) (589MD) IDES Fort Leavenworth,32,,32,1.00
"(V15) (589) Wichita, KS","20,583",2.89,"19,651",0.95
(V15) (589A7) Robert J. Dole VAMC,"17,231",3.84,"16,322",0.95
(V15) (589G2) Dodge City,207,1.04,206,1.00
(V15) (589G3) Liberal,99,2.29,99,1.00
(V15) (589G4) Hays,412,3.2,411,1.00
(V15) (589G5) Parsons,427,5.23,414,0.97
(V15) (589G7) Hutchinson,358,1.23,357,1.00
(V15) (589GW) Salina,"1,840",1.73,"1,833",1.00
(V15) (589MB) IDES McConnel AFB,9,,9,1.00
"(V15) (657) Marion, IL","28,290",15.61,"25,830",0.91
(V15) (657A5) Marion VAMC,"11,579",6.93,"10,979",0.95
(V15) (657GJ) Evansville,"9,196",27.75,"7,791",0.85
(V15) (657GK) Mt. Vernon,899,48.02,618,0.69
(V15) (657GL) Paducah,"1,413",5.26,"1,377",0.97
(V15) (657GM) Effingham,584,1.94,581,0.99
(V15) (657GO) Hanson,198,3.73,193,0.97
(V15) (657GP) Owensboro,"1,333",4.19,"1,321",0.99
(V15) (657GQ) Vincennes,613,23.21,526,0.86
(V15) (657GR) Mayfield,"1,189",3.75,"1,162",0.98
(V15) (657GT) Carbondale,868,2.15,866,1.00
(V15) (657GU) Harrisburg,418,2.13,416,1.00
"(V15) (657) Poplar Bluff, MO","11,472",7.19,"11,105",0.97
(V15) (657A4) John J. Pershing VAMC,"6,682",10.85,"6,391",0.96
(V15) (657GF) West Plains,819,2.27,812,0.99
(V15) (657GG) Paragould,780,4.52,769,0.99
(V15) (657GH) Cape Girardeau,"1,588",1.7,"1,549",0.98
(V15) (657GI) Farmington,"1,171",3.37,"1,157",0.99
(V15) (657GN) Salem,12,4.42,11,0.92
(V15) (657GV) Sikeston,420,3.18,416,0.99
"(V15) (657) St. Louis, MO","57,175",11.69,"52,922",0.93
(V15) (657) John J. Cochran VAMC,"34,525",13.81,"32,096",0.93
(V15) (657A0) St Louis-Jeff Bks.,"19,652",8.27,"18,042",0.92
(V15) (657GA) Belleville,954,18.15,831,0.87
(V15) (657GB) St. Louis County,815,6.02,806,0.99
(V15) (657GD) St. Charles,827,7.78,798,0.96
(V15) (657GS) Washington,402,24.31,349,0.87
"(V16) (502) Alexandria, LA","32,722",8.05,"30,250",0.92
(V16) (502) Alexandria VAMC,"23,914",7.96,"22,051",0.92
(V16) (502GA) Jennings,"1,387",4.01,"1,324",0.95
(V16) (502GB) Lafayette,"4,713",10.66,"4,260",0.90
(V16) (502GE) Lake Charles,230,9.17,224,0.97
(V16) (502GF) Fort Polk,"1,792",3.48,"1,725",0.96
(V16) (502GG) Natchitoches,686,1.36,666,0.97
"(V16) (520) Gulf Coast HCS, MS","47,039",11.75,"43,110",0.92
(V16) (520) Biloxi VAMC,"20,102",13.52,"18,853",0.94
(V16) (520BZ) Pensacola,"17,355",11.52,"15,594",0.90
(V16) (520GA) Mobile,"4,483",4.46,"4,370",0.97
(V16) (520GB) Panama City Beach,"2,628",8.04,"2,513",0.96
(V16) (520GC) Eglin AFB,"2,471",18.5,"1,780",0.72
"(V16) (564) Fayetteville, AR","49,205",2.47,"47,680",0.97
(V16) (564) Fayetteville VAMC,"22,932",2.86,"21,737",0.95
(V16) (564BY) Gene Taylor,"14,420",2.43,"14,233",0.99
(V16) (564GA) Harrison,417,1.21,413,0.99
(V16) (564GB) Fort Smith,"5,428",2.18,"5,368",0.99
(V16) (564GC) Branson,"4,583",2.43,"4,513",0.98
(V16) (564GD) Ozark,350,1,350,1.00
(V16) (564GE) Jay,"1,075",1.28,"1,066",0.99
"(V16) (580) Houston, TX","100,308",4.73,"96,749",0.96
(V16) (580) Michael E DeBakey VAMC,"62,710",7.43,"60,214",0.96
(V16) (580BY) Beaumont,"10,258",1.86,"10,094",0.98
(V16) (580BZ) Charles Wilson VA OPC,"4,391",5.3,"4,209",0.96
(V16) (580GC) Galveston County,"4,690",5.94,"4,342",0.93
(V16) (580GD) Conroe,"4,159",2.37,"4,061",0.98
(V16) (580GE) Katy,"6,077",2.03,"6,036",0.99
(V16) (580GF) Lake Jackson,"1,237",3.15,"1,233",1.00
(V16) (580GG) Richmond,"2,809",3.79,"2,767",0.99
(V16) (580GH) Tomball,"3,977",4.66,"3,793",0.95
"(V16) (586) Jackson, MS","40,552",12.71,"37,341",0.92
"(V16) (586) G. V. (Sonny) Montgomery
VAMC","34,222",17.07,"31,148",0.91
(V16) (586GA) Durant (Kosciusko),402,4.45,396,0.99
(V16) (586GB) Meridian,738,8.01,719,0.97
(V16) (586GC) Greenville,473,6.75,471,1.00
(V16) (586GD) Hattiesburg,"2,182",6.55,"2,132",0.98
(V16) (586GE) Natchez (Adams County),323,4.79,323,1.00
(V16) (586GF) Columbus,"1,463",5.83,"1,418",0.97
(V16) (586GG) McComb,749,4.97,734,0.98
"(V16) (598) Little Rock, AR","86,468",5.14,"83,169",0.96
"(V16) (598) John L McClellan Memorial
Veterans Hospital","32,922",1.57,"31,116",0.95
"(V16) (598A0) Central AR. Veterans HCS
NLR","30,720",4.74,"30,033",0.98
(V16) (598GA) Mountain Home,"3,398",4.13,"3,365",0.99
(V16) (598GB) El Dorado,"2,220",6.03,"2,119",0.95
(V16) (598GC) Hot Springs,"3,703",4.16,"3,624",0.98
(V16) (598GD) Mena,"2,075",11.96,"1,949",0.94
(V16) (598GE) Pine Bluff,"2,434",6.17,"2,361",0.97
(V16) (598GF) Searcy,"2,286",5.57,"2,225",0.97
(V16) (598GG) Conway,"5,060",6.33,"4,732",0.94
(V16) (598GH) Russellville,"1,650",0.92,"1,645",1.00
"(V16) (623) Muskogee, OK","31,346",6.19,"29,036",0.93
(V16) (623) Jack C Montgomery VAMC,"14,198",8.22,"13,459",0.95
(V16) (623BY) Tulsa,"14,545",5.87,"13,004",0.89
(V16) (623GA) Hartshorne,786,1.98,769,0.98
(V16) (623GB) Vinita,"1,817",3.3,"1,804",0.99
"(V16) (629) New Orleans, LA","43,797",6.51,"41,248",0.94
(V16) (629) New Orleans VAMC,"30,058",5.81,"28,159",0.94
(V16) (629BY) Baton Rouge,"6,810",6.79,"6,422",0.94
(V16) (629GA) Houma,"1,084",11.89,"1,028",0.95
(V16) (629GB) Hammond,"2,835",6.83,"2,734",0.96
(V16) (629GC) Slidell,"1,715",8.03,"1,644",0.96
(V16) (629GD) St. John,827,5.63,812,0.98
(V16) (629GE) Franklin,183,12.54,168,0.92
(V16) (629GF) Bogalusa,285,3.07,281,0.99
"(V16) (635) Oklahoma City, OK","54,169",2.43,"51,272",0.95
(V16) (635) Oklahoma City VAMC,"43,954",2.68,"41,185",0.94
(V16) (635GA) Lawton,"3,563",3.92,"3,503",0.98
(V16) (635GB) Wichita Falls,"1,173",0.8,"1,158",0.99
(V16) (635GC) Blackwell,179,0.23,179,1.00
(V16) (635GD) Ada,648,0.08,646,1.00
(V16) (635GE) Stillwater,367,5.14,356,0.97
(V16) (635GF) Altus,106,8.35,101,0.95
(V16) (635GG) Enid,716,1.54,710,0.99
(V16) (635HB) Ardmore,261,0.38,260,1.00
(V16) (635QB) South Oklahoma City,"3,202",2.16,"3,174",0.99
"(V16) (667) Shreveport, LA","46,476",6.9,"43,906",0.94
(V16) (667) Overton Brooks VAMC,"38,074",7,"35,892",0.94
(V16) (667GA) Texarkana,"2,997",10.57,"2,743",0.92
(V16) (667GB) Monroe,"2,861",3.09,"2,815",0.98
(V16) (667GC) Longview,"2,540",6.44,"2,452",0.97
(V16) (667MA) IDES Barksdale AFB,4,,4,1.00
"(V17) (549) Dallas, TX","108,704",7,"105,755",0.97
(V17) (549) Dallas VAMC,"74,565",7.66,"72,635",0.97
"(V17) (549A4) Sam Rayburn Memorial
Veterans Center","8,110",3.92,"7,968",0.98
(V17) (549BY) Fort Worth VA Clinic,"19,120",5.82,"18,527",0.97
(V17) (549GA) Tyler,937,,933,1.00
(V17) (549GD) Denton,"1,984",8.77,"1,971",0.99
(V17) (549GE) Bridgeport,444,3.28,438,0.99
(V17) (549GF) Granbury,236,8.44,232,0.98
(V17) (549GH) Greenville,340,3.63,333,0.98
(V17) (549GJ) Sherman,"1,210",11.67,"1,143",0.94
(V17) (549GL) Plano,771,1,770,1.00
(V17) (549QC) Broadway,987,13.05,805,0.82
"(V17) (671) San Antonio, TX","96,743",5.98,"88,972",0.92
"(V17) (671) Audie L Murphy Memorial
Veterans Hospital","61,671",7.36,"55,657",0.90
(V17) (671A4) Kerrville VAMC,"7,324",3.91,"6,907",0.94
(V17) (671BU) San Antonio Domiciliary,135,,135,1.00
(V17) (671BY) Frank M Tejeda VA OPC,"13,746",3.59,"13,075",0.95
(V17) (671GB) Victoria,"2,751",4.1,"2,718",0.99
(V17) (671GF) South Bexar County,"1,976",20.45,"1,693",0.86
(V17) (671GH) Beeville,113,0,113,1.00
(V17) (671GK) San Antonio,"2,825",2.03,"2,825",1.00
(V17) (671GL) New Braunfels VA Clinic,415,11.39,399,0.96
(V17) (671GN) Seguin,346,1.09,346,1.00
"(V17) (671GO) North Central Federal VA
Clinic","5,441",7.33,"5,104",0.94
"(V17) (674) Temple, TX","103,943",10.04,"95,790",0.92
"(V17) (674) Olin E Teague Veterans
Center","62,068",10.68,"57,048",0.92
(V17) (6749AA) VANURS Temple,0,,0,0.00
(V17) (674A4) Doris Miller VAMC,"6,491",6.41,"6,285",0.97
(V17) (674BY) Austin,"24,754",12.14,"22,915",0.93
(V17) (674GA) Palestine,664,4.17,655,0.99
(V17) (674GB) Brownwood,"1,246",3.78,"1,226",0.98
(V17) (674GC) Bryan,"5,596",5.79,"4,746",0.85
(V17) (674GD) Cedar Park,"2,886",8.6,"2,682",0.93
(V17) (674HB) LaGrange,238,6.72,233,0.98
(V17) (740) VA Texas Valley Coastal Bend HCS,"20,791",17.65,"18,510",0.89
(V17) (740) Harlingen VA Clinic,"5,245",14.86,"4,592",0.88
(V17) (740GA) Harlingen,"3,698",21.26,"3,091",0.84
(V17) (740GB) McAllen,"4,514",6.41,"4,445",0.98
(V17) (740GC) Corpus Christi,"5,771",32.37,"4,827",0.84
(V17) (740GD) Laredo,"1,563",3.56,"1,555",0.99
(V18) (501) New Mexico HCS,"56,152",7.67,"51,880",0.92
(V18) (501) Raymond G Murphy VAMC,"46,718",10.06,"42,889",0.92
(V18) (501G2) Las Vegas,634,10.63,575,0.91
(V18) (501GA) Artesia,472,4.76,446,0.94
(V18) (501GB) Farmington,"1,359",7.31,"1,284",0.94
(V18) (501GC) Silver City,336,2.64,331,0.99
(V18) (501GD) Gallup NM,452,0.7,445,0.98
(V18) (501GE) Espanola,454,1.93,450,0.99
(V18) (501GH) Truth or Consequences,275,0.06,275,1.00
(V18) (501GI) Alamogordo,609,5.16,602,0.99
