,Organization,Specialty,FY11,FY12,FY13,FY14,FY15,ID,Station,for_dups
1018,(V06) (565) MC FAYETTEVILLE NC,30 NEUROLOGY,0.0,27.27,0.0,0.0,0.0,,565,565
1019,(V06) (565) MC FAYETTEVILLE NC,31 PSYCHIATRY,11.37,15.19,3.95,10.59,15.05,,565,565
1020,(V06) (565) MC FAYETTEVILLE NC,38 RADIOLOGY-DIAGNOSTIC,0.0,46.15,0.0,0.0,27.27,,565,565
1021,(V06) (565) MC FAYETTEVILLE NC,40 GERIATRICS,0.0,0.0,0.0,0.0,75.0,,565,565
1022,(V06) (565) MC FAYETTEVILLE NC,43 PATHOLOGY,0.0,0.0,0.0,0.0,66.67,,565,565
1023,(V06) (565) MC FAYETTEVILLE NC,44 PHYS MED & REHAB,0.0,0.0,0.0,34.29,0.0,,565,565
1024,(V06) (565) MC FAYETTEVILLE NC,49 FAMILY PRACTICE,15.79,17.02,19.35,8.7,8.89,,565,565
1025,(V06) (565) MC FAYETTEVILLE NC,50 ADMITTING PHYSICIAN,0.0,0.0,0.0,26.67,0.0,,565,565
1026,(V06) (565) MC FAYETTEVILLE NC,E6 CARDIOLOGY NON-INTER,0.0,100.0,0.0,0.0,0.0,,565,565
1027,(V06) (565) MC FAYETTEVILLE NC,K6 HOSPITALIST,0.0,44.44,0.0,11.21,11.54,,565,565
1028,(V06) (565) MC FAYETTEVILLE NC,P1 PRIMARY CARE,0.0,25.53,0.0,6.74,11.82,,565,565
1029,(V06) (590) MC HAMPTON VA,0602 Physician (All Specialties),7.67,13.15,11.97,14.24,9.91,,590,590
1030,(V06) (590) MC HAMPTON VA,01 ANESTHESIOLOGY,0.0,57.14,57.14,0.0,0.0,,590,590
1031,(V06) (590) MC HAMPTON VA,02 SURGERY,0.0,21.82,0.0,0.0,21.43,,590,590
1032,(V06) (590) MC HAMPTON VA,05 MEDICAL ONCOLOGY,0.0,0.0,171.43,0.0,0.0,,590,590
1033,(V06) (590) MC HAMPTON VA,07 ORTHOPEDIC SURGERY,60.0,0.0,0.0,0.0,44.44,,590,590
1034,(V06) (590) MC HAMPTON VA,12 UROLOGY,0.0,0.0,60.0,0.0,0.0,,590,590
1035,(V06) (590) MC HAMPTON VA,13 PHYSIATRY,75.0,0.0,0.0,0.0,0.0,,590,590
1036,(V06) (590) MC HAMPTON VA,18 HEMATOLOGY,0.0,0.0,0.0,153.85,0.0,,590,590
1037,(V06) (590) MC HAMPTON VA,21 GEN INTERNAL MED,4.18,12.41,3.96,7.08,3.8,,590,590
1038,(V06) (590) MC HAMPTON VA,25 GASTROENTEROLOGY,0.0,100.0,0.0,0.0,0.0,,590,590
1039,(V06) (590) MC HAMPTON VA,26 PULMONARY DISEASES,0.0,0.0,0.0,0.0,54.55,,590,590
1040,(V06) (590) MC HAMPTON VA,27 NEPHROLOGY,54.55,0.0,50.0,100.0,75.0,,590,590
1041,(V06) (590) MC HAMPTON VA,31 PSYCHIATRY,0.0,12.95,8.99,32.94,0.0,,590,590
1042,(V06) (590) MC HAMPTON VA,38 RADIOLOGY-DIAGNOSTIC,25.53,25.53,0.0,0.0,0.0,,590,590
1043,(V06) (590) MC HAMPTON VA,40 GERIATRICS,0.0,50.0,0.0,66.67,0.0,,590,590
1044,(V06) (590) MC HAMPTON VA,42 PARAPLEGIA,0.0,54.55,0.0,0.0,0.0,,590,590
1045,(V06) (590) MC HAMPTON VA,46 NUCLEAR MEDICINE,0.0,0.0,0.0,0.0,100.0,,590,590
1046,(V06) (590) MC HAMPTON VA,49 FAMILY PRACTICE,25.0,0.0,34.78,51.06,38.71,,590,590
1047,(V06) (590) MC HAMPTON VA,E6 CARDIOLOGY NON-INTER,0.0,50.0,0.0,0.0,0.0,,590,590
1048,(V06) (590) MC HAMPTON VA,K6 HOSPITALIST,0.0,0.0,0.0,0.0,46.15,,590,590
1049,(V06) (590) MC HAMPTON VA,P1 PRIMARY CARE,37.5,13.95,56.25,13.64,20.17,,590,590
1050,(V06) (590) MC HAMPTON VA,R3 HEMATOLOGY/ONCOLOGY,0.0,0.0,0.0,0.0,100.0,,590,590
1051,(V06) (637) MC ASHEVILLE NC,0602 Physician (All Specialties),3.46,4.11,9.69,10.03,9.2,,637,637
1052,(V06) (637) MC ASHEVILLE NC,01 ANESTHESIOLOGY,0.0,0.0,38.71,0.0,42.86,,637,637
1053,(V06) (637) MC ASHEVILLE NC,03 GYNECOLOGY,0.0,0.0,100.0,0.0,0.0,,637,637
1054,(V06) (637) MC ASHEVILLE NC,06 OPHTHALMOLOGY,0.0,0.0,0.0,41.38,0.0,,637,637
1055,(V06) (637) MC ASHEVILLE NC,07 ORTHOPEDIC SURGERY,0.0,0.0,19.05,0.0,28.92,,637,637
1056,(V06) (637) MC ASHEVILLE NC,09 PLASTIC SURGERY,0.0,75.0,0.0,0.0,0.0,,637,637
1057,(V06) (637) MC ASHEVILLE NC,16 EMERGENCY MEDICINE,0.0,0.0,13.19,0.0,10.08,,637,637
1058,(V06) (637) MC ASHEVILLE NC,19 INFECTIOUS DISEASES,0.0,100.0,0.0,0.0,0.0,,637,637
1059,(V06) (637) MC ASHEVILLE NC,21 GEN INTERNAL MED,4.15,3.93,12.12,3.93,9.45,,637,637
1060,(V06) (637) MC ASHEVILLE NC,25 GASTROENTEROLOGY,48.0,0.0,0.0,0.0,36.36,,637,637
1061,(V06) (637) MC ASHEVILLE NC,26 PULMONARY DISEASES,0.0,0.0,0.0,37.5,0.0,,637,637
1062,(V06) (637) MC ASHEVILLE NC,30 NEUROLOGY,0.0,0.0,0.0,48.0,0.0,,637,637
1063,(V06) (637) MC ASHEVILLE NC,31 PSYCHIATRY,8.57,0.0,7.41,21.69,12.18,,637,637
1064,(V06) (637) MC ASHEVILLE NC,36 PREVENTIVE MEDICINE,0.0,0.0,100.0,0.0,0.0,,637,637
1065,(V06) (637) MC ASHEVILLE NC,38 RADIOLOGY-DIAGNOSTIC,0.0,12.0,0.0,12.63,0.0,,637,637
1066,(V06) (637) MC ASHEVILLE NC,40 GERIATRICS,0.0,0.0,0.0,23.08,0.0,,637,637
1067,(V06) (637) MC ASHEVILLE NC,43 PATHOLOGY,0.0,0.0,0.0,0.0,88.89,,637,637
1068,(V06) (637) MC ASHEVILLE NC,49 FAMILY PRACTICE,0.0,0.0,100.0,0.0,47.62,,637,637
1069,(V06) (637) MC ASHEVILLE NC,E4 CARDIOVAS/THOR SGR,16.67,0.0,0.0,17.14,0.0,,637,637
1070,(V06) (637) MC ASHEVILLE NC,E6 CARDIOLOGY NON-INTER,0.0,0.0,85.71,0.0,0.0,,637,637
1071,(V06) (637) MC ASHEVILLE NC,P1 PRIMARY CARE,0.0,8.05,0.0,6.59,4.88,,637,637
1072,(V06) (637) MC ASHEVILLE NC,R4 VASCULAR SURGERY,0.0,0.0,0.0,61.54,0.0,,637,637
1073,(V06) (652) MC RICHMOND VA,0602 Physician (All Specialties),5.29,7.06,7.06,8.5,6.45,,652,652
1074,(V06) (652) MC RICHMOND VA,01 ANESTHESIOLOGY,0.0,0.0,10.81,0.0,22.22,,652,652
1075,(V06) (652) MC RICHMOND VA,02 SURGERY,0.0,0.0,0.0,11.43,7.89,,652,652
1076,(V06) (652) MC RICHMOND VA,05 MEDICAL ONCOLOGY,0.0,0.0,0.0,0.0,21.05,,652,652
1077,(V06) (652) MC RICHMOND VA,06 OPHTHALMOLOGY,0.0,15.0,0.0,0.0,12.77,,652,652
1078,(V06) (652) MC RICHMOND VA,07 ORTHOPEDIC SURGERY,0.0,0.0,0.0,18.18,0.0,,652,652
1079,(V06) (652) MC RICHMOND VA,08 OTOLARYNGOLOGY,21.05,21.05,21.43,0.0,20.34,,652,652
1080,(V06) (652) MC RICHMOND VA,09 PLASTIC SURGERY,70.59,0.0,0.0,0.0,25.53,,652,652
1081,(V06) (652) MC RICHMOND VA,12 UROLOGY,0.0,17.65,0.0,0.0,0.0,,652,652
1082,(V06) (652) MC RICHMOND VA,16 EMERGENCY MEDICINE,0.0,0.0,0.0,16.0,22.22,,652,652
1083,(V06) (652) MC RICHMOND VA,19 INFECTIOUS DISEASES,0.0,0.0,0.0,33.33,0.0,,652,652
1084,(V06) (652) MC RICHMOND VA,20 DERMATOLOGY,0.0,0.0,52.17,0.0,0.0,,652,652
1085,(V06) (652) MC RICHMOND VA,21 GEN INTERNAL MED,0.0,6.25,1.86,5.2,3.43,,652,652
1086,(V06) (652) MC RICHMOND VA,25 GASTROENTEROLOGY,0.0,0.0,28.92,0.0,0.0,,652,652
1087,(V06) (652) MC RICHMOND VA,27 NEPHROLOGY,34.29,0.0,34.29,0.0,0.0,,652,652
1088,(V06) (652) MC RICHMOND VA,28 RHEUMATOLOGY,64.86,0.0,0.0,37.5,63.16,,652,652
1089,(V06) (652) MC RICHMOND VA,30 NEUROLOGY,0.0,0.0,0.0,0.0,7.36,,652,652
1090,(V06) (652) MC RICHMOND VA,31 PSYCHIATRY,11.65,18.0,0.0,22.39,8.19,,652,652
1091,(V06) (652) MC RICHMOND VA,38 RADIOLOGY-DIAGNOSTIC,0.0,24.24,24.49,0.0,13.19,,652,652
1092,(V06) (652) MC RICHMOND VA,43 PATHOLOGY,0.0,0.0,20.0,16.67,16.67,,652,652
1093,(V06) (652) MC RICHMOND VA,44 PHYS MED & REHAB,0.0,0.0,10.13,11.21,0.0,,652,652
1094,(V06) (652) MC RICHMOND VA,E4 CARDIOVAS/THOR SGR,33.33,30.77,25.0,0.0,0.0,,652,652
1095,(V06) (652) MC RICHMOND VA,E5 NEUROSURGERY,20.69,20.34,55.38,53.33,30.77,,652,652
1096,(V06) (652) MC RICHMOND VA,H4 PALL CARE MED FELLOW,0.0,0.0,0.0,107.14,0.0,,652,652
1097,(V06) (652) MC RICHMOND VA,H6 NEUROLOGY FELLOW,0.0,0.0,0.0,100.0,0.0,,652,652
1098,(V06) (652) MC RICHMOND VA,H8 NEURO/TRAU BRN INJ F,50.0,100.0,0.0,0.0,0.0,,652,652
1099,(V06) (652) MC RICHMOND VA,M9 CARDIOLOGY-INTERVEN,10.62,11.43,0.0,0.0,0.0,,652,652
1100,(V06) (652) MC RICHMOND VA,R4 VASCULAR SURGERY,0.0,0.0,29.27,0.0,0.0,,652,652
1101,(V06) (658) MC SALEM VA,0602 Physician (All Specialties),5.43,6.95,3.97,10.66,7.98,,658,658
1102,(V06) (658) MC SALEM VA,02 SURGERY,0.0,0.0,0.0,15.0,20.69,,658,658
1103,(V06) (658) MC SALEM VA,05 MEDICAL ONCOLOGY,0.0,0.0,0.0,0.0,100.0,,658,658
1104,(V06) (658) MC SALEM VA,07 ORTHOPEDIC SURGERY,0.0,0.0,0.0,27.27,0.0,,658,658
1105,(V06) (658) MC SALEM VA,08 OTOLARYNGOLOGY,0.0,100.0,0.0,0.0,0.0,,658,658
1106,(V06) (658) MC SALEM VA,12 UROLOGY,0.0,92.31,0.0,0.0,0.0,,658,658
1107,(V06) (658) MC SALEM VA,16 EMERGENCY MEDICINE,16.0,0.0,0.0,0.0,13.79,,658,658
1108,(V06) (658) MC SALEM VA,20 DERMATOLOGY,100.0,0.0,0.0,0.0,0.0,,658,658
1109,(V06) (658) MC SALEM VA,21 GEN INTERNAL MED,0.0,0.0,9.88,10.0,5.77,,658,658
1110,(V06) (658) MC SALEM VA,25 GASTROENTEROLOGY,0.0,0.0,0.0,0.0,52.17,,658,658
1111,(V06) (658) MC SALEM VA,26 PULMONARY DISEASES,0.0,0.0,0.0,22.64,20.0,,658,658
1112,(V06) (658) MC SALEM VA,27 NEPHROLOGY,0.0,0.0,0.0,63.16,28.57,,658,658
1113,(V06) (658) MC SALEM VA,28 RHEUMATOLOGY,0.0,0.0,0.0,75.0,0.0,,658,658
1114,(V06) (658) MC SALEM VA,29 ENDOCRIN AND METAB,80.0,0.0,0.0,0.0,100.0,,658,658
1115,(V06) (658) MC SALEM VA,30 NEUROLOGY,33.33,0.0,0.0,0.0,27.27,,658,658
1116,(V06) (658) MC SALEM VA,31 PSYCHIATRY,8.05,3.99,0.0,3.41,0.0,,658,658
1117,(V06) (658) MC SALEM VA,38 RADIOLOGY-DIAGNOSTIC,0.0,0.0,0.0,29.27,0.0,,658,658
1118,(V06) (658) MC SALEM VA,43 PATHOLOGY,0.0,60.0,0.0,0.0,0.0,,658,658
1119,(V06) (658) MC SALEM VA,45 RADIOLOGY-INTERVENT,0.0,0.0,0.0,80.0,0.0,,658,658
1120,(V06) (658) MC SALEM VA,49 FAMILY PRACTICE,0.0,37.5,0.0,92.31,0.0,,658,658
1121,(V06) (658) MC SALEM VA,"57 PHYS--ADMIN, OTHER",0.0,0.0,100.0,0.0,0.0,,658,658
1122,(V06) (658) MC SALEM VA,K6 HOSPITALIST,0.0,16.44,24.74,0.0,10.81,,658,658
1123,(V06) (658) MC SALEM VA,K8 CRITICAL CARE,0.0,0.0,0.0,63.16,0.0,,658,658
1124,(V06) (658) MC SALEM VA,M9 CARDIOLOGY-INTERVEN,0.0,0.0,0.0,92.31,0.0,,658,658
1125,(V06) (658) MC SALEM VA,P1 PRIMARY CARE,0.0,38.71,0.0,0.0,7.45,,658,658
1126,(V06) (659) MC SALISBURY NC,0602 Physician (All Specialties),9.19,10.34,6.33,5.99,5.7,,659,659
1127,(V06) (659) MC SALISBURY NC,01 ANESTHESIOLOGY,66.67,0.0,19.67,0.0,0.0,,659,659
1128,(V06) (659) MC SALISBURY NC,06 OPHTHALMOLOGY,13.33,0.0,0.0,14.12,0.0,,659,659
1129,(V06) (659) MC SALISBURY NC,07 ORTHOPEDIC SURGERY,0.0,21.43,26.09,0.0,0.0,,659,659
1130,(V06) (659) MC SALISBURY NC,08 OTOLARYNGOLOGY,0.0,0.0,0.0,0.0,22.22,,659,659
1131,(V06) (659) MC SALISBURY NC,12 UROLOGY,15.79,20.0,0.0,23.08,0.0,,659,659
1132,(V06) (659) MC SALISBURY NC,16 EMERGENCY MEDICINE,18.18,0.0,9.16,0.0,10.26,,659,659
1133,(V06) (659) MC SALISBURY NC,19 INFECTIOUS DISEASES,0.0,30.0,0.0,0.0,0.0,,659,659
1134,(V06) (659) MC SALISBURY NC,20 DERMATOLOGY,0.0,0.0,0.0,0.0,34.29,,659,659
1135,(V06) (659) MC SALISBURY NC,21 GEN INTERNAL MED,3.45,3.92,4.28,4.47,2.4,,659,659
1136,(V06) (659) MC SALISBURY NC,25 GASTROENTEROLOGY,0.0,0.0,0.0,0.0,16.67,,659,659
1137,(V06) (659) MC SALISBURY NC,26 PULMONARY DISEASES,0.0,18.18,15.19,16.0,14.46,,659,659
1138,(V06) (659) MC SALISBURY NC,30 NEUROLOGY,0.0,21.43,0.0,0.0,0.0,,659,659
1139,(V06) (659) MC SALISBURY NC,31 PSYCHIATRY,7.5,17.2,11.73,19.2,6.58,,659,659
1140,(V06) (659) MC SALISBURY NC,38 RADIOLOGY-DIAGNOSTIC,0.0,25.0,0.0,14.46,0.0,,659,659
1141,(V06) (659) MC SALISBURY NC,40 GERIATRICS,0.0,66.67,0.0,0.0,0.0,,659,659
1142,(V06) (659) MC SALISBURY NC,43 PATHOLOGY,0.0,28.57,0.0,0.0,0.0,,659,659
1143,(V06) (659) MC SALISBURY NC,44 PHYS MED & REHAB,80.0,0.0,0.0,0.0,63.16,,659,659
1144,(V06) (659) MC SALISBURY NC,45 RADIOLOGY-INTERVENT,16.0,64.29,0.0,42.86,0.0,,659,659
1145,(V06) (659) MC SALISBURY NC,49 FAMILY PRACTICE,21.62,0.0,13.33,0.0,0.0,,659,659
1146,(V06) (659) MC SALISBURY NC,H1 PSYCHIATRY FELW,0.0,0.0,100.0,0.0,0.0,,659,659
1147,(V06) (659) MC SALISBURY NC,K6 HOSPITALIST,36.92,46.75,12.63,0.0,9.02,,659,659
1148,(V06) (659) MC SALISBURY NC,P1 PRIMARY CARE,17.39,0.0,5.31,3.43,11.82,,659,659
1199,(V07) (484) V7SENDULUTH GA,0602 Physician (All Specialties),0.0,0.0,28.57,0.0,0.0,,484,484
1200,(V07) (484) V7SENDULUTH GA,31 PSYCHIATRY,0.0,0.0,100.0,0.0,0.0,,484,484
1201,(V07) (508) MC ATLANTA GA,0602 Physician (All Specialties),9.06,6.1,4.83,8.44,7.08,,508,508
1202,(V07) (508) MC ATLANTA GA,01 ANESTHESIOLOGY,0.0,14.81,0.0,0.0,11.32,,508,508
1203,(V07) (508) MC ATLANTA GA,02 SURGERY,13.04,0.0,26.37,0.0,11.54,,508,508
1204,(V07) (508) MC ATLANTA GA,06 OPHTHALMOLOGY,19.83,0.0,0.0,0.0,0.0,,508,508
1205,(V07) (508) MC ATLANTA GA,07 ORTHOPEDIC SURGERY,35.82,0.0,0.0,0.0,0.0,,508,508
1206,(V07) (508) MC ATLANTA GA,08 OTOLARYNGOLOGY,0.0,0.0,0.0,42.11,24.0,,508,508
1207,(V07) (508) MC ATLANTA GA,09 PLASTIC SURGERY,0.0,0.0,0.0,66.67,0.0,,508,508
1208,(V07) (508) MC ATLANTA GA,11 THORACIC SURGERY,0.0,100.0,0.0,0.0,0.0,,508,508
1209,(V07) (508) MC ATLANTA GA,12 UROLOGY,0.0,0.0,0.0,0.0,18.18,,508,508
1210,(V07) (508) MC ATLANTA GA,13 PHYSIATRY,37.5,0.0,0.0,0.0,26.67,,508,508
1211,(V07) (508) MC ATLANTA GA,16 EMERGENCY MEDICINE,9.02,0.0,0.0,7.55,6.86,,508,508
1212,(V07) (508) MC ATLANTA GA,19 INFECTIOUS DISEASES,17.39,0.0,17.14,19.67,21.05,,508,508
1213,(V07) (508) MC ATLANTA GA,20 DERMATOLOGY,0.0,14.81,15.0,15.19,0.0,,508,508
1214,(V07) (508) MC ATLANTA GA,21 GEN INTERNAL MED,10.85,14.85,6.77,6.17,11.08,,508,508
1215,(V07) (508) MC ATLANTA GA,25 GASTROENTEROLOGY,16.44,0.0,0.0,25.26,18.75,,508,508
1216,(V07) (508) MC ATLANTA GA,28 RHEUMATOLOGY,0.0,0.0,28.57,34.29,0.0,,508,508
1217,(V07) (508) MC ATLANTA GA,30 NEUROLOGY,0.0,10.81,0.0,22.02,0.0,,508,508
1218,(V07) (508) MC ATLANTA GA,31 PSYCHIATRY,5.97,9.74,6.78,3.34,5.99,,508,508
1219,(V07) (508) MC ATLANTA GA,32 ANATOMIC PATHOLOGY,0.0,0.0,0.0,100.0,0.0,,508,508
1220,(V07) (508) MC ATLANTA GA,36 PREVENTIVE MEDICINE,100.0,0.0,0.0,0.0,0.0,,508,508
1221,(V07) (508) MC ATLANTA GA,40 GERIATRICS,21.82,9.76,19.35,16.55,8.96,,508,508
1222,(V07) (508) MC ATLANTA GA,43 PATHOLOGY,0.0,0.0,0.0,0.0,23.53,,508,508
1223,(V07) (508) MC ATLANTA GA,44 PHYS MED & REHAB,14.12,0.0,23.53,0.0,0.0,,508,508
1224,(V07) (508) MC ATLANTA GA,45 RADIOLOGY-INTERVENT,0.0,0.0,0.0,0.0,54.55,,508,508
1225,(V07) (508) MC ATLANTA GA,46 NUCLEAR MEDICINE,16.0,0.0,0.0,38.1,0.0,,508,508
1226,(V07) (508) MC ATLANTA GA,49 FAMILY PRACTICE,0.0,0.0,0.0,35.04,10.0,,508,508
1227,(V07) (508) MC ATLANTA GA,E6 CARDIOLOGY NON-INTER,16.0,0.0,0.0,0.0,10.26,,508,508
1228,(V07) (508) MC ATLANTA GA,H6 NEUROLOGY FELLOW,0.0,0.0,0.0,100.0,0.0,,508,508
1229,(V07) (508) MC ATLANTA GA,K3 NAT'L QUAL SCHOLARS,0.0,0.0,0.0,0.0,54.55,,508,508
1230,(V07) (508) MC ATLANTA GA,K6 HOSPITALIST,19.35,0.0,0.0,18.32,0.0,,508,508
1231,(V07) (508) MC ATLANTA GA,P1 PRIMARY CARE,3.04,3.05,2.96,5.3,5.47,,508,508
1232,(V07) (508) MC ATLANTA GA,R3 HEMATOLOGY/ONCOLOGY,15.58,14.63,0.0,0.0,24.0,,508,508
1233,(V07) (508) MC ATLANTA GA,R4 VASCULAR SURGERY,66.67,72.73,0.0,50.0,0.0,,508,508
1234,(V07) (509) MC AUGUSTA GA,0602 Physician (All Specialties),5.7,11.07,9.15,8.32,10.15,,509,509
1235,(V07) (509) MC AUGUSTA GA,01 ANESTHESIOLOGY,0.0,0.0,0.0,17.14,0.0,,509,509
1236,(V07) (509) MC AUGUSTA GA,02 SURGERY,26.09,0.0,20.34,0.0,0.0,,509,509
1237,(V07) (509) MC AUGUSTA GA,06 OPHTHALMOLOGY,0.0,0.0,0.0,0.0,16.0,,509,509
1238,(V07) (509) MC AUGUSTA GA,07 ORTHOPEDIC SURGERY,0.0,0.0,26.67,0.0,0.0,,509,509
1239,(V07) (509) MC AUGUSTA GA,08 OTOLARYNGOLOGY,76.19,36.36,40.0,42.11,23.53,,509,509
1240,(V07) (509) MC AUGUSTA GA,09 PLASTIC SURGERY,32.43,0.0,0.0,0.0,0.0,,509,509
1241,(V07) (509) MC AUGUSTA GA,16 EMERGENCY MEDICINE,17.14,0.0,0.0,0.0,0.0,,509,509
1242,(V07) (509) MC AUGUSTA GA,19 INFECTIOUS DISEASES,0.0,33.33,0.0,29.27,0.0,,509,509
1243,(V07) (509) MC AUGUSTA GA,21 GEN INTERNAL MED,0.0,10.91,8.14,3.97,3.6,,509,509
1244,(V07) (509) MC AUGUSTA GA,23 ALLERGY & IMMUNOLOGY,0.0,0.0,100.0,0.0,0.0,,509,509
1245,(V07) (509) MC AUGUSTA GA,25 GASTROENTEROLOGY,0.0,0.0,34.29,46.15,0.0,,509,509
1246,(V07) (509) MC AUGUSTA GA,26 PULMONARY DISEASES,0.0,36.36,0.0,0.0,40.0,,509,509
1247,(V07) (509) MC AUGUSTA GA,27 NEPHROLOGY,17.14,23.08,0.0,0.0,0.0,,509,509
1248,(V07) (509) MC AUGUSTA GA,29 ENDOCRIN AND METAB,20.69,0.0,0.0,0.0,29.27,,509,509
1249,(V07) (509) MC AUGUSTA GA,30 NEUROLOGY,0.0,0.0,30.77,0.0,0.0,,509,509
1250,(V07) (509) MC AUGUSTA GA,31 PSYCHIATRY,0.0,30.46,13.11,16.36,15.72,,509,509
1251,(V07) (509) MC AUGUSTA GA,38 RADIOLOGY-DIAGNOSTIC,0.0,0.0,19.05,15.79,0.0,,509,509
1252,(V07) (509) MC AUGUSTA GA,40 GERIATRICS,0.0,0.0,0.0,23.08,0.0,,509,509
1253,(V07) (509) MC AUGUSTA GA,43 PATHOLOGY,0.0,0.0,0.0,0.0,30.77,,509,509
1254,(V07) (509) MC AUGUSTA GA,44 PHYS MED & REHAB,0.0,18.18,8.76,18.6,0.0,,509,509
1255,(V07) (509) MC AUGUSTA GA,"57 PHYS--ADMIN, OTHER",0.0,0.0,0.0,0.0,58.82,,509,509
1256,(V07) (509) MC AUGUSTA GA,CA CARDIOLOGY NON-INVAS,0.0,0.0,0.0,0.0,100.0,,509,509
1257,(V07) (509) MC AUGUSTA GA,E6 CARDIOLOGY NON-INTER,0.0,0.0,0.0,0.0,52.17,,509,509
1258,(V07) (509) MC AUGUSTA GA,K6 HOSPITALIST,0.0,0.0,0.0,0.0,36.36,,509,509
1259,(V07) (509) MC AUGUSTA GA,R3 HEMATOLOGY/ONCOLOGY,0.0,44.44,29.27,0.0,48.0,,509,509
1260,(V07) (509) MC AUGUSTA GA,R4 VASCULAR SURGERY,0.0,0.0,0.0,0.0,52.17,,509,509
1261,(V07) (521) MC BIRMINGHAM AL,0602 Physician (All Specialties),6.01,12.24,10.47,9.1,9.99,,521,521
1262,(V07) (521) MC BIRMINGHAM AL,01 ANESTHESIOLOGY,0.0,0.0,21.82,0.0,9.6,,521,521
1263,(V07) (521) MC BIRMINGHAM AL,02 SURGERY,7.84,23.68,8.76,8.0,26.23,,521,521
1264,(V07) (521) MC BIRMINGHAM AL,03 GYNECOLOGY,0.0,0.0,0.0,163.64,0.0,,521,521
1265,(V07) (521) MC BIRMINGHAM AL,06 OPHTHALMOLOGY,0.0,31.58,0.0,12.24,10.26,,521,521
1266,(V07) (521) MC BIRMINGHAM AL,07 ORTHOPEDIC SURGERY,0.0,0.0,0.0,0.0,16.67,,521,521
1267,(V07) (521) MC BIRMINGHAM AL,08 OTOLARYNGOLOGY,0.0,34.29,18.46,0.0,0.0,,521,521
1268,(V07) (521) MC BIRMINGHAM AL,09 PLASTIC SURGERY,64.86,0.0,0.0,0.0,63.16,,521,521
1269,(V07) (521) MC BIRMINGHAM AL,10 COLON & RECTAL SURG,0.0,0.0,0.0,100.0,0.0,,521,521
1270,(V07) (521) MC BIRMINGHAM AL,12 UROLOGY,0.0,35.29,0.0,0.0,0.0,,521,521
1271,(V07) (521) MC BIRMINGHAM AL,16 EMERGENCY MEDICINE,0.0,0.0,64.86,19.35,15.58,,521,521
1272,(V07) (521) MC BIRMINGHAM AL,19 INFECTIOUS DISEASES,0.0,25.53,29.27,0.0,0.0,,521,521
1273,(V07) (521) MC BIRMINGHAM AL,21 GEN INTERNAL MED,7.37,8.63,19.15,13.1,15.07,,521,521
1274,(V07) (521) MC BIRMINGHAM AL,25 GASTROENTEROLOGY,0.0,16.67,20.69,0.0,0.0,,521,521
1275,(V07) (521) MC BIRMINGHAM AL,26 PULMONARY DISEASES,17.65,0.0,0.0,0.0,0.0,,521,521
1276,(V07) (521) MC BIRMINGHAM AL,27 NEPHROLOGY,0.0,0.0,0.0,18.46,0.0,,521,521
1277,(V07) (521) MC BIRMINGHAM AL,30 NEUROLOGY,16.11,25.17,27.69,19.2,8.96,,521,521
1278,(V07) (521) MC BIRMINGHAM AL,31 PSYCHIATRY,4.86,0.0,4.24,4.0,4.15,,521,521
1279,(V07) (521) MC BIRMINGHAM AL,32 ANATOMIC PATHOLOGY,85.71,0.0,0.0,54.55,85.71,,521,521
1280,(V07) (521) MC BIRMINGHAM AL,34 ADV GERIATRIC FELLOW,0.0,100.0,0.0,0.0,0.0,,521,521
1281,(V07) (521) MC BIRMINGHAM AL,38 RADIOLOGY-DIAGNOSTIC,0.0,24.0,0.0,0.0,0.0,,521,521
1282,(V07) (521) MC BIRMINGHAM AL,40 GERIATRICS,0.0,32.14,11.76,0.0,0.0,,521,521
1283,(V07) (521) MC BIRMINGHAM AL,43 PATHOLOGY,0.0,0.0,0.0,0.0,28.24,,521,521
1284,(V07) (521) MC BIRMINGHAM AL,45 RADIOLOGY-INTERVENT,100.0,0.0,0.0,0.0,36.36,,521,521
1285,(V07) (521) MC BIRMINGHAM AL,49 FAMILY PRACTICE,0.0,9.84,0.0,10.26,21.05,,521,521
1286,(V07) (521) MC BIRMINGHAM AL,E2 ASSOC COS GER/LTC,0.0,100.0,0.0,0.0,0.0,,521,521
1287,(V07) (521) MC BIRMINGHAM AL,E6 CARDIOLOGY NON-INTER,0.0,26.09,0.0,12.9,0.0,,521,521
1288,(V07) (521) MC BIRMINGHAM AL,K3 NAT'L QUAL SCHOLARS,0.0,72.73,50.0,57.14,0.0,,521,521
1289,(V07) (521) MC BIRMINGHAM AL,K6 HOSPITALIST,28.57,0.0,38.71,18.46,18.75,,521,521
1290,(V07) (521) MC BIRMINGHAM AL,N9 CARDIAC ELECTROPHY,0.0,0.0,100.0,0.0,100.0,,521,521
1291,(V07) (521) MC BIRMINGHAM AL,P1 PRIMARY CARE,0.0,0.0,0.0,36.36,0.0,,521,521
1292,(V07) (521) MC BIRMINGHAM AL,R3 HEMATOLOGY/ONCOLOGY,0.0,0.0,0.0,0.0,27.91,,521,521
1293,(V07) (521) MC BIRMINGHAM AL,R4 VASCULAR SURGERY,0.0,100.0,0.0,0.0,0.0,,521,521
1294,(V07) (534) MC CHARLESTON SC,0602 Physician (All Specialties),4.85,8.93,5.17,9.7,7.0,,534,534
