Location_2016,Appts_2016,Appts_Complete_Over_30_Days_%_2016,PC_Wait_2016,SC_Wait_2016,MH_Wait_2016
(V08) (548GC) Stuart,2838,0.0025,0.8,1.47,1.49
(V08) (548GD) Boca Raton,1886,0.0032,0.61,1.04,4.16
(V08) (548GE) Vero Beach,1771,0.0006,0.03,0.73,0.2
(V08) (548GF) Okeechobee,1165,0.0069,0.5,4.26,8.43
"(V08) (573) Gainesville, FL",95616,0.0419,5.15,6.55,3.01
(V08) (573) Malcolm Randall VAMC,35721,0.0415,4.78,6.08,2.61
(V08) (573A4) Lake City VAMC,11487,0.0299,5.59,4.58,1.25
"(V08) (573BU) Gainesville VA
Domiciliary",1,0.0000,,0,
"(V08) (573BY) Jacksonville 1 VA
Clinic",17942,0.0835,5.87,12.47,3.81
(V08) (573GA) Valdosta,1273,0.0031,1.07,3.29,0.07
(V08) (573GD) Ocala,3763,0.0122,1.98,1.99,4.83
(V08) (573GE) Saint Augustine,2502,0.0136,2.43,5.54,3.78
(V08) (573GF) Tallahassee,7634,0.0322,8.3,3.38,6.1
(V08) (573GG) Lecanto,2167,0.0457,10.22,4.47,1.23
(V08) (573GI) The Villages,7911,0.0206,4.78,3.3,2.09
(V08) (573GJ) Saint Marys,1158,0.0078,2.21,10.64,2.85
(V08) (573GK) Marianna,1081,0.0065,2.87,9.72,3.22
(V08) (573GL) Palatka,928,0.0108,3.27,0.58,1.08
(V08) (573GM) Waycross,678,0.0044,1.75,0.37,2.16
(V08) (573GN) Perry,247,0.0040,2.1,9,0.74
"(V08) (573MA) IDES Naval Hospital
Jacksonville",18,0.0000,,3,
(V08) (573QJ) Jacksonville 2,1105,0.0525,6.39,2.31,5.31
"(V08) (672) San Juan, PR",85158,0.0207,2.06,5.23,2.65
(V08) (672) San Juan VAMC,59049,0.0290,3.38,6.28,3.83
(V08) (672B0) Ponce,10468,0.0011,0.47,0.21,0.35
(V08) (672BZ) Mayaguez,9384,0.0023,0.34,1.54,1.66
(V08) (672GA) St Croix,332,0.0060,0.17,11.71,1.41
(V08) (672GB) St Thomas,325,0.0031,1.23,7.95,5.6
(V08) (672GC) Arecibo,2569,0.0000,0.46,0.68,0.08
,1063,0.0000,0.31,0,0.46
"(V08) (673) Tampa, FL",74794,0.0169,2.27,4.37,2.51
"(V08) (673) James A Haley Veterans
Hospital",58080,0.0178,2.21,4.27,1.55
(V08) (673BZ) New Port Richey,8605,0.0232,1.85,5.34,4.07
(V08) (673GB) Lakeland,3893,0.0036,3.18,5.44,4.22
(V08) (673GC) Brooksville,3094,0.0003,1.8,3.15,4.15
(V08) (673GF) Zephyrhills,1070,0.0150,3.89,0.08,2.99
"(V08) (673QK) Tampa 1 VA Mobile
Clinic",52,0.0000,,0,
"(V08) (675) Orlando, FL",89639,0.0386,4.64,5.99,2.74
"(V08) (675) Orlando VA Medical
Center",35848,0.0543,6.71,6.86,4.21
"(V08) (6759AA) Orlando Nursing
Home",2,0.0000,,0,
(V08) (675BU) Orlando Domiciliary,38,0.0000,,,
(V08) (675GA) Viera,18905,0.0453,6.61,6.01,2.89
"(V08) (675GB) William V Chappell Jr
VA OPC",12738,0.0141,2.34,2.37,1.45
(V08) (675GC) Kissimee,1623,0.0062,1.77,0,2.75
(V08) (675GD) Orange City,1287,0.0023,1.78,0.73,1.63
(V08) (675GE) Tavares VA Clinic,2205,0.0095,3.18,2.34,1.12
(V08) (675GF) Clermont,1200,0.0017,2.99,3.56,3.01
(V08) (675GG) Lake Baldwin,15793,0.0279,3.88,5.87,2.63
"(V09) (581) Huntington, WV",26912,0.0345,4.57,6.83,2.6
(V09) (581) Huntington VAMC,22748,0.0375,4.79,7.17,2.35
(V09) (581GA) Prestonsburg,1713,0.0070,3.54,1.98,3.91
(V09) (581GB) Charleston,2451,0.0253,4.7,0.88,2.58
"(V09) (596) Lexington, KY",29676,0.0211,2.24,6.49,2.4
"(V09) (596) Lexington VAMC-
Leestown",11789,0.0089,2.59,5.02,2.31
(V09) (596A4) Lexington-Cooper Dr,13562,0.0350,,7.34,0.52
(V09) (596BU) Lexington Domiciliary,32,0.0000,,,
(V09) (596GA) Somerset,1759,0.0142,1.72,1.01,5.41
(V09) (596GB) Morehead,663,0.0000,1.32,8.06,0
(V09) (596GC) Hazard,692,0.0058,3.35,3.86,0.27
(V09) (596GD) Berea,1179,0.0136,1.45,3.41,0.57
"(V09) (603) Louisville, KY",36525,0.0096,2.57,4.07,1.74
(V09) (603) Robley Rex VAMC,19590,0.0174,2.54,4.35,2.43
(V09) (603BU) Louisville Domiciliary,9,0.0000,,,0
(V09) (603GA) Fort Knox,1951,0.0010,4.15,3.8,2.44
(V09) (603GB) New Albany,2892,0.0014,1.71,0.05,1.66
(V09) (603GC) Shively,2861,0.0003,3.06,0.81,3.33
(V09) (603GD) Dupont,2339,0.0000,2.94,0,0.7
(V09) (603GE) Newburg,2803,0.0007,2.83,1.78,1.15
(V09) (603GF) Grayson County,1960,0.0000,1.86,0.51,1.21
(V09) (603GG) Scott County,1233,0.0000,1.39,0.94,1.63
(V09) (603GH) Carrollton,799,0.0000,0.89,0.07,1.24
,88,0.0000,,0,3.46
"(V09) (614) Memphis, TN",48332,0.0145,2.28,3.44,1
(V09) (614) Memphis VAMC,34943,0.0181,1.2,3.5,1.31
(V09) (614GA) Tupelo,1489,0.0007,2.35,0,0
(V09) (614GB) Jonesboro,1083,0.0000,0.7,0.13,0.21
"(V09) (614GC) Holly Springs VA
Clinic",819,0.0000,3.9,0,2.51
(V09) (614GD) Savannah,663,0.0000,0,0,0
(V09) (614GE) Covington,2668,0.0135,5.29,0.09,0.51
"(V09) (614GF) Nonconnah Boulevard
VA Clinic",3258,0.0089,3.48,0.6,0
(V09) (614GG) Jackson,2376,0.0013,1.18,2.82,0.34
(V09) (614GI) Dyersburg,714,0.0014,1.89,0,0.67
(V09) (614GN) Helena,319,0.0000,4.56,,2.05
"(V09) (621) Mountain Home, TN",40022,0.0342,5.11,6.23,1.58
(V09) (621) James H Quillen VAMC,26751,0.0391,6.32,5.86,1.23
"(V09) (621BU) VADOM Mountain
Home",120,0.0000,1.03,,
"(V09) (621BY) William C Tallent VA
OPC",7185,0.0287,5.23,9.95,1.66
(V09) (621GA) Rogersville,644,0.0155,2.59,0,5.47
(V09) (621GC) Norton,1469,0.0150,3.3,2.9,3.46
(V09) (621GG) Morristown,915,0.0044,1.22,2.82,3.72
(V09) (621GI) Sevierville,1249,0.0192,4.19,4.15,1.3
(V09) (621GJ) Bristol,1176,0.0128,4.56,0,2.06
(V09) (621GK) Campbell County,513,0.0799,9.34,1.65,3.05
"(V09) (626) Middle Tennessee HCS, TN",68674,0.0430,7.64,5.46,3.25
(V09) (626) Nashville VAMC,32231,0.0415,10.39,5.73,3.17
(V09) (626A4) Alvin C York VAMC,18922,0.0303,4.7,4.9,0.99
(V09) (626GA) Dover,426,0.2629,25.82,0,6.33
(V09) (626GC) Bowling Green,1297,0.1049,11.15,1.48,5.91
(V09) (626GE) Clarksville,3505,0.0434,2.7,6.44,3.99
(V09) (626GF) Chattanooga,6757,0.0588,7.38,6.71,4.62
(V09) (626GG) Tullahoma,327,0.0031,0.74,1.9,4.04
(V09) (626GH) Cookeville,949,0.0000,0.23,0,0.54
(V09) (626GJ) Hopkinsville,1399,0.1022,9.94,0.93,13.57
(V09) (626GK) McMinnville,735,0.0136,1.61,0.54,0.22
(V09) (626GL) Roane County,413,0.0242,5.74,1.76,2.71
(V09) (626GM) Maury County,864,0.0822,10.74,1.22,6.3
(V09) (626GN) Athens,456,0.0285,4.31,1.75,1.13
(V09) (626MA) IDES Fort Campbell,393,0.0000,,0.32,0.04
"(V10) (538) Chillicothe, OH",18243,0.0514,5.09,8.66,5.3
(V10) (538) Chillicothe VAMC,12192,0.0643,8.14,9.31,6.15
(V10) (538GA) Athens,1426,0.0161,2.22,6.4,8.05
(V10) (538GB) Portsmouth,1349,0.0030,1.68,4.8,1.22
(V10) (538GC) Marietta,828,0.0616,6.8,7.54,1.29
"1,516",1449,1239.0000,9.37,5.62,
,932,0.0086,0.77,3.76,3.68
"(V10) (539) Cincinnati, OH",37500,0.0170,2.95,4.07,0.92
(V10) (539) Cincinnati VAMC,25570,0.0235,4.67,4.76,0.63
"(V10) (539A4) Cincinnati VAMC-Fort
Thomas",952,0.0011,,0.24,0.09
(V10) (539BV) Fort Thomas PRRTP,16,0.0000,,,0
(V10) (539GA) Bellevue,1378,0.0036,2.77,0.84,3.13
(V10) (539GB) Clermont County,3110,0.0048,2.12,2.58,1.29
(V10) (539GC) Dearborn,1954,0.0015,1.08,1.21,0.84
(V10) (539GD) Florence,1972,0.0035,1.56,2.35,2.27
(V10) (539GE) Hamilton,2130,0.0000,0.17,0.63,0.46
(V10) (539GF) Georgetown,407,0.0172,5.43,0.21,4.29
"(V10) (539QA) Cincinnati VA Mobile
Clinic",11,0.0000,,,
"(V10) (541) Cleveland, OH",88990,0.0310,2.49,5.81,1.86
"(V10) (541) Louis Stokes Cleveland
VAMC",38050,0.0402,2.91,6.34,3.63
(V10) (541BY) Canton,6189,0.0486,5.95,10.24,0.64
(V10) (541BZ) Youngstown,5615,0.0159,2.64,3.76,1.51
(V10) (541GB) Lorain,3524,0.0009,0.88,1.04,0.19
(V10) (541GC) Sandusky,1816,0.0061,1.17,0.9,0.13
"(V10) (541GD) David F Winder VA
CBOC",4853,0.0078,0.7,0.49,0.42
(V10) (541GE) McCafferty,773,0.0013,1.11,2.89,1.53
(V10) (541GF) Painesville,2744,0.0004,1.23,0.51,0.2
(V10) (541GG) Akron,7832,0.0435,2.15,7.85,2.44
(V10) (541GH) East Liverpool,1450,0.0021,0.16,0.77,0.46
(V10) (541GI) Warren,2095,0.0029,3.04,1.99,1.43
(V10) (541GJ) New Philadelphia,1865,0.0021,0.32,0.65,0.3
(V10) (541GK) Ravenna,1703,0.0106,0.58,1.04,0.14
(V10) (541GL) Parma,10172,0.0319,4.8,5.14,2.61
"(V10) (541GM) Cleveland VA Clinic-
Superior",58,0.0172,,,
(V10) (541PA) Cleveland PRRTP OH,9,0.0000,,,
"(V10) (541QF) Cuyahoga County 4
VA Mobile Clinic",242,0.3636,,39.09,
"(V10) (552) Dayton, OH",30436,0.0270,1.51,6.84,2.82
(V10) (552) Dayton VAMC,23077,0.0285,0.81,6.78,2.55
(V10) (552GA) Middletown,1755,0.0131,1.15,5.06,1.55
(V10) (552GB) Lima,2404,0.0291,2.13,10.34,2.32
(V10) (552GC) Richmond,1738,0.0386,4.41,11.85,5.86
(V10) (552GD) Springfield,1462,0.0027,1.2,3.22,4.27
"(V10) (757) Columbus, OH",35347,0.0697,4.28,10.63,2.41
"(V10) (757) Chalmers P Wylie
Veterans OC",28853,0.0778,4.11,10.64,1.66
(V10) (757GA) Zanesville,1364,0.0572,8.15,9.69,7.26
(V10) (757GB) Grove City,1256,0.0159,1.3,4.77,1.44
(V10) (757GC) Marion,1338,0.0299,3.14,12.98,3.97
(V10) (757GD) Newark,1617,0.0495,5.42,12.53,6.73
,9,0.0000,1.56,,
(V10) (757QC) Columbus VA Clinic,910,0.0011,,,2.13
"(V11) (506) Ann Arbor, MI",41021,0.0636,6.06,9.57,2.6
(V11) (506) Ann Arbor VAMC,30385,0.0623,5.27,9.08,3.06
(V11) (506GA) Toledo,8121,0.0821,7.45,12.44,0.42
(V11) (506GB) Flint,1143,0.0385,6.4,1.55,5.1
(V11) (506GC) Jackson,1372,0.0051,4.7,0.95,3.12
"(V11) (515) Battle Creek, MI",26457,0.0135,2.2,4.96,2.7
(V11) (515) Battle Creek VAMC,11908,0.0104,2.39,4.46,1.79
"(V11) (515BU) Battle Creek
Domiciliary",148,0.0000,,,
(V11) (515BY) Wyoming,10345,0.0222,2.81,5.78,3.84
(V11) (515GA) Muskegon,1437,0.0007,1.4,1.29,1.65
(V11) (515GB) Lansing South,1544,0.0006,1.38,0.94,3.98
(V11) (515GC) Benton Harbor,1075,0.0009,0.79,2.34,1.7
"(V11) (550) Danville, IL",21689,0.0376,3.91,6.33,3.34
(V11) (550) Danville VAMC,11682,0.0270,0.88,5.91,0.74
(V11) (550BY) Bob Michel VA OPC,5281,0.0871,7.86,9.16,9.48
(V11) (550GA) Decatur,1439,0.0174,5.35,2.71,1.24
(V11) (550GC) Lafayette,1095,0.0055,2.79,0.46,4.94
(V11) (550GD) Springfield,1642,0.0024,2.75,1.57,1.11
(V11) (550GF) Charleston,550,0.0091,2.63,1.67,2.96
"(V11) (553) Detroit, MI",30369,0.0611,5.37,8.94,1.71
(V11) (553) John D Dingell VAMC,28355,0.0645,5.96,9.05,1.68
(V11) (553GA) Yale,762,0.0223,2.72,,0.18
(V11) (553GB) Pontiac,1252,0.0088,4.31,5.15,3.95
"(V11) (583) Indianapolis, IN",45789,0.0449,2.64,6.22,4.3
"(V11) (583) Richard L Roudebush
VAMC",41538,0.0482,3.34,6.3,4.7
(V11) (583GA) Terre Haute,1485,0.0108,0.12,2.22,2.8
(V11) (583GB) Bloomington,1470,0.0068,0.39,2.11,1.7
(V11) (583GC) Martinsville,746,0.0000,0.42,0.17,0.6
(V11) (583GF) Wakeman,550,0.0509,2.85,7.24,11.05
"(V11) (610) Northern Indiana HCS, IN",31599,0.0403,4.77,10.35,1.5
(V11) (610) Marion VAMC,9685,0.0374,8.29,8.17,1.17
(V11) (610A4) Fort Wayne VAMC,12359,0.0710,5.88,11.97,1.03
(V11) (610BU) Marion VADOM,37,0.0000,,,
(V11) (610GA) South Bend,2620,0.0065,1.84,1.43,2.01
(V11) (610GB) Muncie,1784,0.0028,3.59,1.78,2.84
(V11) (610GC) Goshen,964,0.0041,1.64,0.14,2.19
(V11) (610GD) Peru,793,0.0025,3.54,1.24,0.23
(V11) (610QA) Fort Wayne VA Clinic,2837,0.0018,,,1.24
(V11) (610QB) Columbia Place,520,0.0000,,,
"(V11) (655) Saginaw, MI",24362,0.0245,2.29,6.09,2.25
"16,108",15569,13838.0000,7.03,2.49,
,1214,0.0115,0.79,5.31,0.6
(V11) (655GB) Traverse City,721,0.0125,3,11.08,0.53
(V11) (655GC) Oscoda,567,0.0123,2.99,3.99,3.73
"(V11) (655GD) Lt Col Clement Van
Wagoner VA Clinic",865,0.0092,1.31,2.29,1.89
(V11) (655GE) Clare,1328,0.0008,3.63,1.72,2.46
(V11) (655GF) Bad Axe,694,0.0014,1.59,0.39,0.58
(V11) (655GG) Cadillac,1143,0.0087,1.17,2.59,0.82
(V11) (655GH) Cheboygan,466,0.0000,0.94,0.97,0.6
(V11) (655GI) Grayling,579,0.0052,2.14,4.25,5.3
(V11) (655QB) Grand Traverse,677,0.0074,,2.15,3.25
"(V12) (537) Jesse Brown VAMC (Chicago), IL",40641,0.0289,3.58,6.58,1.93
(V12) (537) Jesse Brown VAMC,30977,0.0290,4.12,6.19,1.48
"(V12) (537BY) Adam Benjamin Jr VA
OPC",7076,0.0377,3.06,9.53,2.53
(V12) (537GA) Chicago Heights,680,0.0103,2.05,0,3.54
(V12) (537GD) Lakeside,1378,0.0000,2.93,0,0.82
(V12) (537HA) Auburn Gresham,530,0.0019,5.53,0,1.23
(V12) (556) Captain James A Lovell FHCC,31415,0.0022,2.4,2.23,1.49
"(V12) (556) Captain James A Lovell
FHCC",27335,0.0023,2.21,2.08,1.18
(V12) (556GA) Evanston,711,0.0056,1.85,8.46,0.93
(V12) (556GC) McHenry,2164,0.0000,3.46,8.67,2.66
(V12) (556GD) Kenosha,1205,0.0000,2.18,1.79,2.86
"(V12) (578) Hines, IL",50706,0.0432,4.48,7.12,3.36
"(V12) (578) Edward Hines Junior
Hospital",40138,0.0454,5.63,7.18,3.14
(V12) (578GA) Joliet,3839,0.0542,4.65,8.01,3.2
(V12) (578GC) Kankakee County,1203,0.0283,2.58,4.83,5.46
(V12) (578GD) Aurora,1606,0.0237,2.18,5.77,4.18
(V12) (578GE) Hoffman Estates,1260,0.0238,4.08,12.35,3.34
(V12) (578GF) LaSalle,1194,0.0075,2.48,1.38,3.04
(V12) (578GG) Oak Lawn,1466,0.0321,3.56,3.22,4
"(V12) (585) Iron Mountain, MI",11740,0.0044,1.96,3.11,1.19
(V12) (585) Oscar G Johnson VAMC,7694,0.0052,3.55,3.24,1.73
(V12) (585GA) Hancock,601,0.0050,1.21,2.31,1.19
(V12) (585GB) Rhinelander,1191,0.0017,1.74,1.97,0.26
(V12) (585GC) Menominee,595,0.0017,0.61,1.2,0.47
(V12) (585GD) Ironwood,357,0.0056,1.23,4.45,0.97
(V12) (585HA) Marquette MI,808,0.0050,1.34,3.11,1.04
(V12) (585HB) Sault Saint Marie,494,0.0000,0.73,1.12,0.4
"(V12) (607) Madison, WI",28799,0.0416,3.91,7.74,1.36
"(V12) (607) William S. Middleton
Memorial Veterans Hospital",21402,0.0517,4.61,8.09,1.44
(V12) (607GC) Janesville,1207,0.0099,4.55,2.16,1.3
(V12) (607GD) Baraboo,558,0.0000,2.39,1.23,0.34
(V12) (607GE) Beaver Dam,783,0.0038,2.34,0.86,0.14
,4369,0.0169,3.45,6.41,1.4
"(V12) (676) Tomah, WI",17199,0.0114,1.71,5.58,1.78
(V12) (676) Tomah VAMC,11444,0.0108,1.56,5.34,1.21
(V12) (676GA) Wausau,1458,0.0027,1.73,0,2.3
(V12) (676GC) River Valley,1884,0.0021,2.11,3.78,1.75
(V12) (676GD) Wisconsin Rapids,2139,0.0299,1.67,8.45,3.46
(V12) (676GE) Clark County,274,0.0000,1.26,0.06,0.45
"(V12) (695) Milwaukee, WI",59249,0.0387,5.67,6.95,4.08
"(V12) (695) Clement J Zablocki
VAMC",40435,0.0277,4.04,6.41,2.66
(V12) (695BU) VADOM Milwaukee,77,0.0000,,,
(V12) (695BY) Appleton,6369,0.0911,7.86,13.86,8.96
(V12) (695GA) Union Grove WI,1072,0.0047,2.19,1.77,0.48
(V12) (695GC) Cleveland,1308,0.0451,10.25,26.5,4.97
"(V12) (695GD) Milo C Huempfner VA
OPC",9988,0.0532,7.51,6.64,5.29
"(V15) (589) Columbia, MO",26827,0.0272,1.84,6.66,2
"(V15) (589A4) Harry S. Truman
VAMC",20427,0.0355,2.51,7.14,2.43
"(V15) (589G8) Jefferson City, MO",1446,0.0007,0.82,2.99,1.37
(V15) (589GE) Kirksville,515,0.0000,1.51,,0.64
"(V15) (589GF) Fort Leonard Wood
VA Clinic",1559,0.0000,0.6,3.98,1.75
(V15) (589GH) Lake of the Ozarks,717,0.0000,2.15,0,2
(V15) (589GX) Mexico,418,0.0000,2.66,0,0.5
(V15) (589GY) St. James,386,0.0000,0.66,,0.59
(V15) (589JA) Sedalia,666,0.0000,0.31,,0.12
(V15) (589JD) Marshfield,688,0.0044,1.46,1.71,1.58
"(V15) (589ME) IDES Fort Leonard
Wood",5,0.0000,,0.75,0
"(V15) (589) Kansas City, MO",32097,0.0222,2.5,4.74,2.88
(V15) (589) Kansas City VAMC,28813,0.0247,3.06,4.88,3.25
(V15) (589G1) Warrensburg,1103,0.0000,0.88,1.56,1.38
(V15) (589GB) Belton,389,0.0000,0.36,0,0.03
(V15) (589GC) Paola,286,0.0000,0.08,0,0.42
(V15) (589GD) Nevada,628,0.0000,2.02,1.17,0.46
(V15) (589GZ) Cameron,173,0.0000,0.12,,0
"(V15) (589HK) Kansas City VA
Mobile Clinic",136,0.0000,0.1,,
(V15) (589JB) Excelsior Springs,541,0.0000,4.4,0,0.75
(V15) (589MC) IDES Whiteman AFB,28,0.0000,,0,0
"(V15) (589) Eastern KS HCS, KS",32295,0.0244,5.74,4.32,1.23
(V15) (589A5) Colmery-O'Neil VAMC,15581,0.0261,9.42,3.67,1.42
"(V15) (589A6) Dwight D. Eisenhower
VAMC",11995,0.0269,1.61,5.47,0.83
(V15) (589BU) Leavenworth DCHV,1632,0.0012,,,0.59
(V15) (589G9) Ft. Riley,89,0.0000,,0,0
(V15) (589GI) St. Joseph,1099,0.0055,0.78,0.25,1.65
(V15) (589GJ) Wyandotte County,310,0.0387,8.94,0,0.9
,85,0.2000,22.44,,7.32
(V15) (589GN) Emporia,40,0.0000,5.19,,8.44
(V15) (589GP) Garnett,52,0.1154,21.23,,5.25
(V15) (589GR) Junction City,727,0.0014,0.41,0,0.21
(V15) (589GU) Lawrence,264,0.0000,0.34,0.5,0
(V15) (589GV) Ft. Scott,159,0.0881,27.27,0,5.75
(V15) (589JE) Platte City,92,0.0217,3.55,,0
(V15) (589MA) Ft. Riley DES Clinic,160,0.0000,,0.1,0
"(V15) (589MD) IDES Fort
Leavenworth",10,0.0000,,0,
"(V15) (589) Wichita, KS",19997,0.0179,1.51,5.15,0.99
(V15) (589A7) Robert J. Dole VAMC,17321,0.0203,1.57,5.37,1.19
(V15) (589G2) Dodge City,331,0.0000,0.98,0,0
(V15) (589G3) Liberal,71,0.0000,2.33,0,0
(V15) (589G4) Hays,407,0.0000,1.89,1.14,0
(V15) (589G5) Parsons,408,0.0025,1.43,1.75,0.04
(V15) (589G7) Hutchinson,553,0.0000,0.75,0,0.3
(V15) (589GW) Salina,876,0.0068,1.58,0.34,0.56
(V15) (589MB) IDES McConnel AFB,30,0.0000,,0,0
"(V15) (657) Marion, IL",26110,0.0533,10.07,7.59,3.2
(V15) (657A5) Marion VAMC,11752,0.0357,10.24,7.12,2.06
(V15) (657GJ) Evansville,7738,0.0995,20.08,8.66,4.7
(V15) (657GK) Mt. Vernon,562,0.1192,21.06,1.33,0.49
(V15) (657GL) Paducah,1441,0.0201,2.63,2.92,6.01
(V15) (657GM) Effingham,863,0.0058,2.05,0.18,4.28
(V15) (657GO) Hanson,215,0.0186,2.63,4.83,5.5
(V15) (657GP) Owensboro,1144,0.0052,3.79,2,0.94
(V15) (657GQ) Vincennes,511,0.0783,12.33,,2.35
(V15) (657GR) Mayfield,771,0.0623,7.39,2.53,3.87
(V15) (657GT) Carbondale,704,0.0043,5.28,1.23,0.86
(V15) (657GU) Harrisburg,409,0.0000,2.3,3.73,0
"(V15) (657) Poplar Bluff, MO",14244,0.0130,2.95,5.64,2.82
"(V15) (657A4) John J. Pershing
VAMC",8714,0.0178,4.37,5.77,2.57
(V15) (657GF) West Plains,1342,0.0067,0.99,5.35,4.03
(V15) (657GG) Paragould,775,0.0039,2.65,0,1.23
(V15) (657GH) Cape Girardeau,1304,0.0061,2.12,6.04,3.95
(V15) (657GI) Farmington,1334,0.0030,2.5,3.73,2.87
(V15) (657GN) Salem,16,0.0000,1.75,,
(V15) (657GV) Sikeston,759,0.0079,2.98,1.59,3.2
"(V15) (657) St. Louis, MO",42257,0.0216,6.44,5.62,3.52
(V15) (657) John J. Cochran VAMC,27222,0.0231,6.96,5.47,3.58
(V15) (657A0) St Louis-Jeff Bks.,12368,0.0184,6.61,6.26,3.48
(V15) (657GA) Belleville,816,0.0429,7.62,0.5,9.37
(V15) (657GB) St. Louis County,774,0.0142,3.6,11.15,2.64
,695,0.0086,3.43,8.9,3.04
(V15) (657GS) Washington,365,0.0082,3.35,2.9,1.18
(V15) (657MA) IDES Scott AFB,17,0.0000,,0,0
"(V16) (502) Alexandria, LA",21473,0.0393,8.09,6.31,3.99
(V16) (502) Alexandria VAMC,15503,0.0410,10.5,6.4,1.81
(V16) (502GA) Jennings,876,0.0080,2.07,0.6,4.38
(V16) (502GB) Lafayette,2919,0.0538,8.94,6.39,6.48
(V16) (502GE) Lake Charles,467,0.0300,5.98,,
(V16) (502GF) Fort Polk,1203,0.0258,2.45,0.19,8.88
(V16) (502GG) Natchitoches,505,0.0000,4.8,0,0.94
"(V16) (520) Gulf Coast HCS, MS",52969,0.0260,5.54,4.92,5.42
(V16) (520) Biloxi VAMC,25227,0.0184,6.23,3.67,7.67
(V16) (520BZ) Pensacola,16496,0.0409,6.66,6.84,4.66
(V16) (520GA) Mobile,5700,0.0137,3.85,3.27,1.32
(V16) (520GB) Panama City Beach,2702,0.0270,5.86,0.56,6.71
(V16) (520GC) Eglin AFB,2844,0.0313,3.58,2.3,12.63
"(V16) (564) Fayetteville, AR",35956,0.0197,2.33,5.16,1.94
(V16) (564) Fayetteville VAMC,19923,0.0306,3.27,6.21,3.47
(V16) (564BY) Gene Taylor,7821,0.0086,2.01,4.3,0.81
(V16) (564GA) Harrison,305,0.0197,3.15,0,1.52
(V16) (564GB) Fort Smith,3843,0.0068,2.34,4.18,1.56
(V16) (564GC) Branson,3050,0.0007,0.78,0.3,0.4
(V16) (564GD) Ozark,292,0.0000,0.78,6.2,0
(V16) (564GE) Jay,722,0.0000,1.56,0,0.61
"(V16) (580) Houston, TX",84275,0.0135,3.06,3.58,2.17
"(V16) (580) Michael E DeBakey
VAMC",56453,0.0143,3.59,3.43,1.66
(V16) (580BY) Beaumont,4347,0.0014,1.47,3.84,0.21
"(V16) (580BZ) Charles Wilson VA
OPC",2983,0.0261,5.21,9.46,2.58
(V16) (580GC) Galveston County,3833,0.0313,3.53,5.53,4.92
(V16) (580GD) Conroe,4493,0.0122,2.36,2.77,3.78
(V16) (580GE) Katy,3913,0.0046,2.58,6.05,2.06
(V16) (580GF) Lake Jackson,1160,0.0009,1.93,,3.41
(V16) (580GG) Richmond,2442,0.0049,3.22,2.78,2.03
(V16) (580GH) Tomball,4651,0.0099,2.16,1.63,2.14
"(V16) (586) Jackson, MS",31538,0.0211,4.64,4.46,0.34
"(V16) (586) G. V. (Sonny)
Montgomery VAMC",26933,0.0243,5.54,4.47,0.42
(V16) (586GA) Durant (Kosciusko),543,0.0000,2.44,0,0.9
(V16) (586GB) Meridian,771,0.0039,4.85,0,0
(V16) (586GC) Greenville,402,0.0000,5.13,0,0
(V16) (586GD) Hattiesburg,1511,0.0033,3.52,0,0.07
"(V16) (586GE) Natchez (Adams
County)",392,0.0026,3.2,0,0
(V16) (586GF) Columbus,558,0.0000,0.89,0,0.02
,49671,0.0354,4.81,7.09,2.28
"(V16) (598) John L McClellan
Memorial Veterans Hospital",19115,0.0430,1.75,7.15,0
"(V16) (598A0) Central AR. Veterans
HCS NLR",21438,0.0281,5.14,6.6,2.08
(V16) (598GA) Mountain Home,785,0.0000,2.42,0,2.56
(V16) (598GB) El Dorado,1017,0.0167,7.89,0,2.88
(V16) (598GC) Hot Springs,1779,0.0017,2.22,6.91,3.6
(V16) (598GD) Mena,512,0.0000,0.24,0,1.91
(V16) (598GE) Pine Bluff,809,0.0111,5.29,0,5.21
(V16) (598GF) Searcy,1162,0.0077,3.89,0,0.73
(V16) (598GG) Conway,2183,0.1361,12.63,13.75,3.39
(V16) (598GH) Russellville,871,0.0011,0.36,0.11,0.37
"(V16) (623) Muskogee, OK",24452,0.0490,4.21,7.01,5.2
"(V16) (623) Jack C Montgomery
VAMC",13133,0.0511,5.88,6.57,2.33
(V16) (623BY) Tulsa,9890,0.0533,3.92,7.87,9.11
(V16) (623GA) Hartshorne,633,0.0016,0.5,2,1.07
(V16) (623GB) Vinita,796,0.0000,0.88,1.45,0.9
"(V16) (629) New Orleans, LA",39124,0.0287,5.05,6.73,2.32
(V16) (629) New Orleans VAMC,25365,0.0322,5.9,7.17,1.81
(V16) (629BY) Baton Rouge,6899,0.0262,3.61,6.3,2.56
(V16) (629GA) Houma,1383,0.0347,7.29,1.45,5.78
(V16) (629GB) Hammond,1852,0.0184,4.4,5.88,0.35
(V16) (629GC) Slidell,2010,0.0095,4.74,2.05,0.8
(V16) (629GD) St. John,763,0.0013,3.88,2.45,3.78
(V16) (629GE) Franklin,379,0.0501,12.86,0,5.62
(V16) (629GF) Bogalusa,473,0.0063,3.13,0,4.53
"(V16) (635) Oklahoma City, OK",45536,0.0312,2.99,7.75,1.82
(V16) (635) Oklahoma City VAMC,36718,0.0374,3.26,7.8,1.99
(V16) (635GA) Lawton,3201,0.0084,4.72,8.43,1.73
