"",,"Total ApptsCompleted1","Apptscompletedin 30 Daysor under2","PercentApptscompletedin 30 Daysor under3","Apptscompletedin over 30Days4","PercentApptscompletedin over 30Days5",,"ApptsCompletedBetween0 - 14Days6","ApptsCompletedBetween15 - 30Days7","ApptsCompletedBetween31 - 60days8","ApptsCompletedBetween61 - 90Days9","ApptsCompletedBetween91 - 120Days10","ApptsCompletedBeyond 120Days11",,"PC AvgWait Timein Days12","SC AvgWait Timein Days13","MH AvgWait Timein Days14"
"",(V04) (646GE) Fayette County,"1,073","1,066",99.35%,7,0.65%,,"1,038",28,6,0,0,1,,2.52,1.75,0.50
"(V04) (693) Wilkes-Barre, PA","25,811","25,619",99.26%,192,0.74%,,"25,256",363,182,9,1,0,,1.76,1.11,0.77,
"",(V04) (693) Wilkes Barre,"17,725","17,659",99.63%,66,0.37%,,"17,461",198,60,5,1,0,,1.26,1.07,0.18
"",(V04) (693B4) Allentown,"4,976","4,913",98.73%,63,1.27%,,"4,792",121,61,2,0,0,,2.82,1.67,0.87
"",(V04) (693GA) Sayre,"1,314","1,314",100.00%,0,0.00%,,"1,311",3,0,0,0,0,,0.16,0.17,0.08
"",(V04) (693GB) Williamsport,"1,069","1,038",97.10%,31,2.90%,,"1,027",11,31,0,0,0,,0.68,1.98,4.64
"",(V04) (693GC) Tobyhanna,59,59,100.00%,0,0.00%,,57,2,0,0,0,0,,2.27,0.00,0.00
"",(V04) (693GF) Berwick (Columbia Co.),376,376,100.00%,0,0.00%,,376,0,0,0,0,0,,0.07,,0.10
"",(V04) (693GG) Northampton County,292,260,89.04%,32,10.96%,,232,28,30,2,0,0,,10.60,0.16,1.00
"(V05) (512) Baltimore HCS, MD","45,027","44,020",97.76%,"1,007",2.24%,,"42,489","1,531",819,144,38,6,,5.18,3.82,1.67,
"",(V05) (512) Baltimore,"27,517","26,915",97.81%,602,2.19%,,"26,022",893,503,82,11,6,,4.83,4.03,0.57
"",(V05) (512A5) Perry Point,"7,084","7,042",99.41%,42,0.59%,,"6,934",108,29,9,4,0,,4.30,1.94,1.44
"",(V05) (512GA) Cambridge,"2,648","2,576",97.28%,72,2.72%,,"2,383",193,45,17,10,0,,5.14,8.22,7.56
"",(V05) (512GC) Glen Burnie,"1,764","1,653",93.71%,111,6.29%,,"1,549",104,98,13,0,0,,6.41,8.64,3.10
"",(V05) (512GD) Loch Raven,"3,620","3,512",97.02%,108,2.98%,,"3,415",97,79,17,12,0,,6.14,2.56,1.53
"",(V05) (512GE) Pocomoke City,466,453,97.21%,13,2.79%,,430,23,13,0,0,0,,2.38,2.24,9.52
"",(V05) (512GF) Fort Howard,841,821,97.62%,20,2.38%,,752,69,19,1,0,0,,5.76,7.23,1.73
"",(V05) (512GG) Fort Meade,"1,087","1,048",96.41%,39,3.59%,,"1,004",44,33,5,1,0,,7.16,0.54,5.60
"(V05) (613) Martinsburg, WV","38,474","38,101",99.03%,373,0.97%,,"36,956","1,145",285,50,29,9,,3.32,2.93,2.02,
"",(V05) (613) Martinsburg,"27,602","27,405",99.29%,197,0.71%,,"26,590",815,151,30,11,5,,2.37,2.90,1.15
"",(V05) (613BU) VADOM Martinsburg,"2,090","2,088",99.90%,2,0.10%,,"2,080",8,2,0,0,0,,,,
"",(V05) (613GA) Cumberland,"1,597","1,527",95.62%,70,4.38%,,"1,418",109,41,9,18,2,,10.18,1.20,2.79
"",(V05) (613GB) Hagerstown,"1,514","1,504",99.34%,10,0.66%,,"1,467",37,10,0,0,0,,1.81,3.45,4.95
"",(V05) (613GC) Stephens City,"1,817","1,779",97.91%,38,2.09%,,"1,710",69,31,6,0,1,,4.58,1.37,5.93
"",(V05) (613GD) Franklin,63,63,100.00%,0,0.00%,,61,2,0,0,0,0,,2.26,,
"",(V05) (613GE) Petersburg,429,427,99.53%,2,0.47%,,424,3,0,1,0,1,,1.90,0.00,0.00
"",(V05) (613GF) Harrisonburg,"1,301","1,292",99.31%,9,0.69%,,"1,274",18,9,0,0,0,,2.49,0.00,1.53
"",(V05) (613GG) Fort Detrick,"2,061","2,016",97.82%,45,2.18%,,"1,932",84,41,4,0,0,,1.58,4.40,3.39
"(V05) (688) Washington, DC","47,696","46,684",97.88%,"1,012",2.12%,,"44,089","2,595",877,123,7,5,,4.82,3.77,3.51,
"",(V05) (688) Washington,"41,551","40,679",97.90%,872,2.10%,,"38,361","2,318",771,90,6,5,,5.82,3.75,3.27
"(V05) (688GA) Fort Belvoir","2,666","2,594",97.30%,72,2.70%,,"2,475",119,53,19,0,0,,3.48,3.94,4.41,
"(V05) (688GB) Southeast Washington",264,262,99.24%,2,0.76%,,251,11,2,0,0,0,,1.52,11.25,3.66,
"(V05) (688GC) Landover/Greenbelt (Prince GeorgesCounty)",576,573,99.48%,3,0.52%,,559,14,1,2,0,0,,0.87,3.21,3.37,
"(V05) (688GD) Charlotte Hall","1,120","1,101",98.30%,19,1.70%,,"1,032",69,14,5,0,0,,3.53,6.00,7.37,
"(V05) (688GE) Southern Prince Georges County","1,519","1,475",97.10%,44,2.90%,,"1,411",64,36,7,1,0,,4.35,4.09,2.81,
"(V06) (517) Beckley, WV","11,155","10,865",97.40%,290,2.60%,,"10,393",472,246,39,5,0,,2.48,5.97,2.78,
"(V06) (517) Beckley","10,352","10,073",97.30%,279,2.70%,,"9,613",460,244,32,3,0,,2.36,5.99,2.82,
"",(V06) (517GB) Greenbrier County,649,638,98.31%,11,1.69%,,628,10,2,7,2,0,,3.76,0.00,2.58
"",(V06) (517HK) Beckley MOC,154,154,100.00%,0,0.00%,,152,2,0,0,0,0,,2.15,,
"(V06) (","58) Durham, NC","43,961","41,595",94.62%,"2,366",5.38%,,"38,858","2,737","1,823",479,53,11,,8.31,6.58,1.66
"",(V06) (558) Durham,"31,631","30,194",95.46%,"1,437",4.54%,,"28,245","1,949","1,096",300,34,7,,5.85,6.73,0.84
"",(V06) (558GA) Greenville,"5,687","5,093",89.56%,594,10.44%,,"4,688",405,460,115,15,4,,13.08,5.51,3.98
"",(V06) (558GB) Raleigh,"4,683","4,380",93.53%,303,6.47%,,"4,050",330,237,62,4,0,,10.78,3.68,0.73
"",(V06) (558GC) Morehead City,"1,960","1,928",98.37%,32,1.63%,,"1,875",53,30,2,0,0,,1.71,4.30,1.62
"(V06) (565) Fayetteville, NC","36,397","33,350",91.63%,"3,047",8.37%,,"31,207","2,143","1,750","1,230",52,15,,14.84,8.45,3.38,
"",(V06) (565) Fayetteville NC,"26,013","23,996",92.25%,"2,017",7.75%,,"22,613","1,383","1,241",745,26,5,,13.81,8.33,1.73
"",(V06) (565GA) Jacksonville,"2,081","1,773",85.20%,308,14.80%,,"1,669",104,117,169,19,3,,19.97,4.50,11.47
"",(V06) (565GC) New Hanover County ( Wilmington),"5,259","4,803",91.33%,456,8.67%,,"4,357",446,304,139,6,7,,16.30,9.68,4.57
"",(V06) (565GD) Hamlet,765,688,89.93%,77,10.07%,,635,53,24,53,0,0,,14.95,0.33,1.20
"",(V06) (565GE) Robeson County,983,878,89.32%,105,10.68%,,849,29,43,62,0,0,,14.43,1.88,2.67
"",(V06) (565GF) Goldsboro,"1,029",945,91.84%,84,8.16%,,913,32,21,62,1,0,,13.82,6.15,2.33
"",(V06) (565MB) IDES Fort Bragg,170,170,100.00%,0,0.00%,,132,38,0,0,0,0,,,,
"",(V06) (565MD) IDES Camp Lejeune,97,97,100.00%,0,0.00%,,39,58,0,0,0,0,,,,
"(V06) (590) Hampton, VA","30,057","27,392",91.13%,"2,665",8.87%,,"24,810","2,582","2,225",389,43,8,,16.58,7.63,7.76,
"",(V06) (590) Hampton,"26,663","24,656",92.47%,"2,007",7.53%,,"22,315","2,341","1,673",287,40,7,,15.60,7.63,6.51
"",(V06) (590GB) Norfolk/Virginia Beach CBOC,"2,235","1,702",76.15%,533,23.85%,,"1,519",183,435,94,3,1,,22.38,10.08,16.75
"",(V06) (590GC) Albemarle CBOC,971,846,87.13%,125,12.87%,,788,58,117,8,0,0,,14.14,0.00,6.24
"",(V06) (590MA) IDES Portsmouth,67,67,100.00%,0,0.00%,,67,0,0,0,0,0,,,,
"",(V06) (590MB) IDES Langley,30,30,100.00%,0,0.00%,,30,0,0,0,0,0,,,,
"",(V06) (590MC) IDES Fort Eustis,91,91,100.00%,0,0.00%,,91,0,0,0,0,0,,,,
"(V06) (637) Asheville, NC","27,417","26,786",97.70%,631,2.30%,,"25,631","1,155",496,120,7,8,,3.79,3.92,2.48,
"",(V06) (637) Asheville-Oteen,"24,895","24,339",97.77%,556,2.23%,,"23,282","1,057",433,115,5,3,,3.39,3.95,2.17
"",(V06) (637GA) Franklin NC CBOC,"1,217","1,180",96.96%,37,3.04%,,"1,126",54,33,2,1,1,,4.76,1.67,5.37
"",(V06) (637GB) Rutherfordton CBOC,"1,305","1,267",97.09%,38,2.91%,,"1,223",44,30,3,1,4,,5.74,4.75,2.73
"(V06) (652) Richmond, VA","42,291","41,303",97.66%,988,2.34%,,"39,555","1,748",777,154,37,20,,5.83,2.58,3.69,
"",(V06) (652) Richmond,"38,286","37,430",97.76%,856,2.24%,,"35,900","1,530",680,132,25,19,,6.04,2.60,2.96
"",(V06) (652GA) Stafford/Fredericksburg,"2,035","1,949",95.77%,86,4.23%,,"1,848",101,69,16,0,1,,3.51,0.00,8.63
"","(V06) (652GE) Charlottesville CBOC, VA","1,273","1,265",99.37%,8,0.63%,,"1,210",55,8,0,0,0,,3.84,1.61,1.95
"","(V06) (652GF) Emporia, VA",697,659,94.55%,38,5.45%,,597,62,20,6,12,0,,12.17,0.00,3.45
"(V06) (658) Salem, VA","30,958","30,335",97.99%,623,2.01%,,"29,468",867,407,137,71,8,,2.78,4.64,0.62,
"",(V06) (658) Salem,"25,760","25,199",97.82%,561,2.18%,,"24,404",795,366,125,62,8,,3.09,4.67,0.44
"",(V06) (658GA) Tazewell,221,221,100.00%,0,0.00%,,221,0,0,0,0,0,,0.03,,0.00
"",(V06) (658GB) Danville,"1,616","1,613",99.81%,3,0.19%,,"1,606",7,2,0,1,0,,1.00,0.02,0.69
"",(V06) (658GC) Lynchburg,"1,600","1,589",99.31%,11,0.69%,,"1,573",16,4,5,2,0,,0.74,0.18,2.19
"",(V06) (658GD) Staunton,637,608,95.45%,29,4.55%,,580,28,17,6,6,0,,10.01,4.20,1.10
"",(V06) (658GE) Wytheville,"1,124","1,105",98.31%,19,1.69%,,"1,084",21,18,1,0,0,,4.22,1.40,0.69
"(V06) (659) Salisbury, NC","56,618","54,871",96.91%,"1,747",3.09%,,"52,210","2,661","1,402",197,81,67,,3.24,4.91,5.75,
"",(V06) (659) W.G. (Bill) Hefner Salisbury VAMC,"28,520","27,474",96.33%,"1,046",3.67%,,"26,155","1,319",805,112,68,61,,2.98,4.63,9.10
"(V06) (659BY) Winston-Salem","10,625","10,369",97.59%,256,2.41%,,"9,938",431,223,28,2,3,,3.54,4.13,3.74,
"(V06) (659GA) Charlotte","13,851","13,456",97.15%,395,2.85%,,"12,620",836,330,52,10,3,,3.47,7.85,3.71,
"(V06) (659GB) Hickory","3,622","3,572",98.62%,50,1.38%,,"3,497",75,44,5,1,0,,2.21,1.69,4.09,
"(V07) (508) Atlanta, GA","73,227","69,584",95.03%,"3,643",4.97%,,"66,410","3,174","2,634",971,32,6,,10.03,5.11,1.45,
"(V07) (508) Atlanta","51,097","48,822",95.55%,"2,275",4.45%,,"46,690","2,132","1,546",693,30,6,,11.82,4.89,1.35,
"(V07) (508GA) Fort McPherson","5,835","5,438",93.20%,397,6.80%,,"5,297",141,325,71,1,0,,11.62,1.05,0.90,
"(V07) (508GE) NE Georgia/Oakwood","2,833","2,653",93.65%,180,6.35%,,"2,350",303,165,14,1,0,,8.36,10.49,1.25,
"(V07) (508GF) Austell","2,104","2,049",97.39%,55,2.61%,,"1,953",96,39,16,0,0,,4.41,0.00,2.58,
"(V07) (508GG) Stockbridge","3,156","3,090",97.91%,66,2.09%,,"2,974",116,60,6,0,0,,5.90,0.08,1.13,
"",(V07) (508GH) Lawrenceville (Gwinnett County),"3,296","3,008",91.26%,288,8.74%,,"2,829",179,271,17,0,0,,10.65,5.46,1.15
"",(V07) (508GI) Newnan,"1,591","1,448",91.01%,143,8.99%,,"1,372",76,70,73,0,0,,12.71,2.34,3.37
"",(V07) (508GJ) Blairsville,926,918,99.14%,8,0.86%,,899,19,8,0,0,0,,3.74,2.28,2.15
"",(V07) (508GK) Trinka Davis Veterans Village CBOC,"2,389","2,158",90.33%,231,9.67%,,"2,046",112,150,81,0,0,,9.52,9.96,2.37
"(V07) (509) Augusta, GA","25,860","25,476",98.52%,384,1.48%,,"24,444","1,032",314,38,20,12,,3.61,3.83,0.79,
"",(V07) (509) Augusta,"12,659","12,452",98.36%,207,1.64%,,"11,827",625,150,30,16,11,,0.79,4.16,0.62
"",(V07) (509A0) Lenwood (Uptown),"10,102","9,942",98.42%,160,1.58%,,"9,605",337,153,5,2,0,,4.51,2.19,0.59
"","(V07) (509GA) Athens, GA CBOC","1,794","1,779",99.16%,15,0.84%,,"1,715",64,9,3,2,1,,3.43,8.82,1.87
"",(V07) (509GB) Aiken CBOC,"1,305","1,303",99.85%,2,0.15%,,"1,297",6,2,0,0,0,,0.94,0.21,2.18
"(V07) (","21) Birmingham, AL","48,878","48,173",98.56%,705,1.44%,,"47,099","1,074",549,126,29,1,,1.59,3.99,1.37
"",(V07) (521) Birmingham,"34,854","34,261",98.30%,593,1.70%,,"33,369",892,482,84,26,1,,1.91,4.12,0.99
"",(V07) (521GA) Huntsville AL,"2,820","2,749",97.48%,71,2.52%,,"2,697",52,34,37,0,0,,2.82,6.18,3.39
"",(V07) (521GB) Decatur AL/Madison,"1,717","1,701",99.07%,16,0.93%,,"1,628",73,15,1,0,0,,2.47,1.76,4.01
"",(V07) (521GC) Florence AL (Shoals Area),"1,385","1,380",99.64%,5,0.36%,,"1,374",6,4,1,0,0,,0.98,0.83,0.59
"",(V07) (521GD) Rainbow City,"1,491","1,488",99.80%,3,0.20%,,"1,484",4,2,1,0,0,,0.30,1.42,1.14
"",(V07) (521GE) Anniston/Oxford AL,"1,890","1,885",99.74%,5,0.26%,,"1,852",33,5,0,0,0,,1.66,0.14,2.11
"",(V07) (521GF) Jasper AL,962,962,100.00%,0,0.00%,,960,2,0,0,0,0,,0.35,0.02,0.36
"",(V07) (521GG) Bessemer CBOC,"1,391","1,384",99.50%,7,0.50%,,"1,381",3,2,2,3,0,,0.23,2.24,0.15
"",(V07) (521GH) Childersburg CBOC,"1,280","1,276",99.69%,4,0.31%,,"1,272",4,4,0,0,0,,0.31,1.84,0.77
"",(V07) (521GI) Guntersville,"1,088","1,087",99.91%,1,0.09%,,"1,082",5,1,0,0,0,,0.98,0.00,2.08
"(V07) (534) Charleston, SC","49,040","48,482",98.86%,558,1.14%,,"47,743",739,435,74,48,1,,2.22,3.02,0.97,
"",(V07) (534) Charleston,"29,190","28,826",98.75%,364,1.25%,,"28,472",354,260,63,41,0,,2.65,2.69,0.68
"",(V07) (534BY) Savannah,"6,065","5,955",98.19%,110,1.81%,,"5,859",96,101,6,3,0,,1.67,5.46,1.36
"",(V07) (534GB) Myrtle Beach,"5,407","5,342",98.80%,65,1.20%,,"5,144",198,58,3,3,1,,3.69,3.82,1.96
"",(V07) (534GC) Beaufort,"1,902","1,900",99.89%,2,0.11%,,"1,891",9,2,0,0,0,,0.52,0.65,0.95
"","(V07) (534GD) Goose Creek, SC","4,648","4,640",99.83%,8,0.17%,,"4,593",47,7,0,1,0,,1.87,4.07,1.20
"",(V07) (534GE) Hinesville,"1,828","1,819",99.51%,9,0.49%,,"1,784",35,7,2,0,0,,1.19,0.11,0.68
"(V07) (","44) Columbia, SC","50,490","48,152",95.37%,"2,338",4.63%,,"44,879","3,273","1,687",554,78,19,,7.00,7.47,3.79
"",(V07) (544) Columbia SC,"34,223","32,364",94.57%,"1,859",5.43%,,"29,648","2,716","1,363",424,57,15,,13.80,7.87,3.42
"",(V07) (544BZ) Greenville SC,"5,535","5,365",96.93%,170,3.07%,,"5,195",170,107,42,17,4,,1.56,4.20,8.48
"",(V07) (544GB) Florence SC,"2,341","2,233",95.39%,108,4.61%,,"2,111",122,40,65,3,0,,8.31,0.00,2.70
"",(V07) (544GC) Rock Hill,"2,746","2,738",99.71%,8,0.29%,,"2,701",37,6,2,0,0,,1.43,,2.48
"",(V07) (544GD) Anderson County,"1,425","1,412",99.09%,13,0.91%,,"1,393",19,13,0,0,0,,0.69,2.94,2.45
"",(V07) (544GE) Orangeburg County,897,874,97.44%,23,2.56%,,853,21,23,0,0,0,,3.03,,1.22
"",(V07) (544GF) Sumter County,"1,628","1,554",95.45%,74,4.55%,,"1,446",108,69,5,0,0,,7.82,,2.64
"","(V07) (544GG) Spartanburg,SC CBOC","1,688","1,605",95.08%,83,4.92%,,"1,530",75,66,16,1,0,,5.46,,4.98
"",(V07) (544MB) IDES Ft Jackson,7,7,100.00%,0,0.00%,,2,5,0,0,0,0,,,,
"(V07) (557) Dublin, GA","18,733","17,655",94.25%,"1,078",5.75%,,"16,731",924,730,327,18,3,,7.61,13.63,3.57,
"",(V07) (557) Dublin,"12,349","11,541",93.46%,808,6.54%,,"11,002",539,484,306,16,2,,10.28,15.78,1.58
"(V07) (557GA) Macon GA","1,717","1,648",95.98%,69,4.02%,,"1,480",168,60,9,0,0,,4.97,4.15,10.57,
"(V07) (557GB) Albany GA","1,442","1,351",93.69%,91,6.31%,,"1,298",53,90,1,0,0,,6.71,1.59,1.69,
"(V07) (557GC) Baldwin County",580,577,99.48%,3,0.52%,,549,28,3,0,0,0,,2.63,0.00,2.90,
"(V07) (557GE) Brunswick","1,565","1,492",95.34%,73,4.66%,,"1,383",109,67,5,0,1,,4.71,7.43,9.73,
"(V07) (557HA) Perry","1,080","1,046",96.85%,34,3.15%,,"1,019",27,26,6,2,0,,4.70,2.46,2.55,
"(V07) (619) Central Alabama Veterans HCS, AL","29,482","26,729",90.66%,"2,753",9.34%,,"24,321","2,408","2,096",571,70,16,,9.56,10.10,8.77,
"(V07) (619) Montgomery","11,669","10,201",87.42%,"1,468",12.58%,,"9,032","1,169","1,178",265,24,1,,12.11,11.53,9.92,
"(V07) (619A4) Tuskegee","9,580","8,997",93.91%,583,6.09%,,"8,377",620,369,189,23,2,,11.71,7.86,7.37,
"(V07) (619GA) Columbus","3,734","3,316",88.81%,418,11.19%,,"3,064",252,274,108,23,13,,7.51,3.33,16.75,
"(V07) (619GB) Dothan","1,866","1,761",94.37%,105,5.63%,,"1,583",178,104,1,0,0,,8.83,,0.25,
"(V07) (619GD) Wiregrass","2,228","2,049",91.97%,179,8.03%,,"1,860",189,171,8,0,0,,5.71,16.79,4.82,
"",(V07) (619GE) Monroe County,387,387,100.00%,0,0.00%,,387,0,0,0,0,0,,0.06,,0.55
"",(V07) (619PA) Montgomery PRRTP,18,18,100.00%,0,0.00%,,18,0,0,0,0,0,,,,
"(V07) (","79) Tuscaloosa, AL","10,196","10,164",99.69%,32,0.31%,,"10,039",125,30,1,1,0,,2.29,0.14,1.03
"",(V07) (679) Tuscaloosa,"9,983","9,951",99.68%,32,0.32%,,"9,827",124,30,1,1,0,,2.50,0.14,1.03
"",(V07) (679HK) Mobile Clinic Tuscaloosa,209,209,100.00%,0,0.00%,,208,1,0,0,0,0,,0.48,,
"",(V07) (679MA) IDES Columbus,4,4,100.00%,0,0.00%,,4,0,0,0,0,0,,,,
"(V08) (516) Bay Pines, FL","83,817","82,416",98.33%,"1,401",1.67%,,"79,720","2,696","1,096",251,40,14,,2.46,3.64,2.81,
"",(V08) (516) C.W. Bill Young VAMC,"47,629","46,809",98.28%,820,1.72%,,"45,125","1,684",630,160,20,10,,3.69,3.55,3.33
"",(V08) (516BZ) Lee County,"18,468","18,038",97.67%,430,2.33%,,"17,457",581,348,69,11,2,,1.46,4.73,3.22
"",(V08) (516GA) Sarasota,"3,690","3,674",99.57%,16,0.43%,,"3,552",122,12,0,2,2,,2.28,2.01,3.24
"",(V08) (516GB) St. Petersburg,778,770,98.97%,8,1.03%,,758,12,8,0,0,0,,0.99,2.25,2.03
"",(V08) (516GC) Palm Harbor,"2,440","2,434",99.75%,6,0.25%,,"2,363",71,5,0,1,0,,1.91,0.41,0.99
"",(V08) (516GD) Bradenton,"3,941","3,895",98.83%,46,1.17%,,"3,820",75,33,10,3,0,,2.17,2.28,1.74
"",(V08) (516GE) Port Charlotte/Charlotte County,"3,171","3,114",98.20%,57,1.80%,,"3,002",112,42,12,3,0,,3.26,2.92,2.09
"",(V08) (516GF) Naples,"2,376","2,360",99.33%,16,0.67%,,"2,327",33,16,0,0,0,,1.30,0.51,1.53
"",(V08) (516GH) Sebring,"1,324","1,322",99.85%,2,0.15%,,"1,316",6,2,0,0,0,,0.28,4.62,0.96
"(V08) (546) Miami, FL","54,791","54,013",98.58%,778,1.42%,,"52,915","1,098",611,148,9,10,,2.11,3.09,0.61,
"",(V08) (546) Miami,"33,509","33,104",98.79%,405,1.21%,,"32,366",738,313,81,7,4,,3.00,2.26,0.43
"",(V08) (546BZ) Broward County,"13,243","12,920",97.56%,323,2.44%,,"12,618",302,259,59,0,5,,1.77,5.75,0.66
"",(V08) (546GA) Miami,"1,334","1,334",100.00%,0,0.00%,,"1,334",0,0,0,0,0,,,,
"",(V08) (546GB) Key West,"1,187","1,181",99.49%,6,0.51%,,"1,151",30,6,0,0,0,,1.58,1.54,3.41
"",(V08) (546GC) Homestead,"1,709","1,699",99.41%,10,0.59%,,"1,691",8,5,2,2,1,,1.37,0.60,0.64
"",(V08) (546GD) Pembroke Pines,"1,131","1,124",99.38%,7,0.62%,,"1,120",4,6,1,0,0,,0.38,1.59,0.11
"",(V08) (546GE) Key Largo,406,406,100.00%,0,0.00%,,402,4,0,0,0,0,,1.83,1.52,1.38
"",(V08) (546GF) Hollywood (Southeast Broward Co.),"1,578","1,554",98.48%,24,1.52%,,"1,546",8,19,5,0,0,,1.06,4.43,0.80
"",(V08) (546GH) Deerfield Beach,694,691,99.57%,3,0.43%,,687,4,3,0,0,0,,0.51,4.05,0.65
"(V08) (548) West Palm Beach, FL","54,915","54,096",98.51%,819,1.49%,,"52,722","1,374",670,116,32,1,,1.04,3.21,1.35,
"",(V08) (548) W Palm Beach,"42,415","41,688",98.29%,727,1.71%,,"40,413","1,275",595,101,30,1,,1.41,3.35,1.33
"(V08) (548GA) Ft Pierce","2,079","2,067",99.42%,12,0.58%,,"2,061",6,11,0,1,0,,0.12,1.76,0.00,
"(V08) (548GB) Delray Beach","3,218","3,199",99.41%,19,0.59%,,"3,177",22,18,1,0,0,,0.65,1.31,1.94,
"(V08) (548GC) Stuart","2,478","2,458",99.19%,20,0.81%,,"2,419",39,19,1,0,0,,0.34,3.63,2.30,
"(V08) (548GD) Boca Raton","1,905","1,898",99.63%,7,0.37%,,"1,891",7,4,2,1,0,,0.06,0.74,1.90,
"(V08) (548GE) Vero Beach","1,658","1,634",98.55%,24,1.45%,,"1,612",22,17,7,0,0,,1.47,2.33,1.63,
"(V08) (548GF) Okeechobee","1,162","1,152",99.14%,10,0.86%,,"1,149",3,6,4,0,0,,0.36,0.84,0.20,
"(V08) (573) Gainesville, FL","90,218","83,090",92.10%,"7,128",7.90%,,"78,147","4,943","4,560","1,897",476,195,,7.06,10.50,2.37,
"(V08) (573) North Florida/South Georgia HCS-Gainesville","34,499","32,408",93.94%,"2,091",6.06%,,"30,535","1,873","1,298",616,113,64,,5.59,7.71,2.33,
"(V08) (573A4) North Florida/South Georgia HCS-Lake City","12,831","12,393",96.59%,438,3.41%,,"12,038",355,242,128,42,26,,7.23,3.74,1.26,
"(V08) (573BY) Jacksonville","17,393","14,639",84.17%,"2,754",15.83%,,"13,303","1,336","1,723",676,268,87,,7.71,21.69,3.01,
"(V08) (573GA) Valdosta","1,386","1,374",99.13%,12,0.87%,,"1,364",10,12,0,0,0,,0.57,1.08,0.20,
"(V08) (573GD) Ocala","3,465","3,370",97.26%,95,2.74%,,"3,279",91,50,34,11,0,,1.41,5.96,3.76,
"(V08) (573GE) St. Augustine","2,213","2,013",90.96%,200,9.04%,,"1,909",104,148,17,21,14,,15.93,5.47,0.76,
"(V08) (573GF) Tallahassee","7,405","6,199",83.71%,"1,206",16.29%,,"5,485",714,820,380,6,0,,15.77,19.54,3.39,
"(V08) (573GG) Lecanto","1,906","1,785",93.65%,121,6.35%,,"1,635",150,93,14,13,1,,8.89,3.05,3.85,
"(V08) (573GI) The Villages","6,586","6,422",97.51%,164,2.49%,,"6,202",220,134,25,2,3,,4.35,3.66,2.02,
"(V08) (573GJ) Saint Marys",819,811,99.02%,8,0.98%,,784,27,6,2,0,0,,3.13,6.21,2.04,
"(V08) (573GK) Jackson County",944,937,99.26%,7,0.74%,,886,51,7,0,0,0,,3.31,1.26,3.31,
"(V08) (573GL) Palatka",746,714,95.71%,32,4.29%,,708,6,27,5,0,0,,2.44,1.10,0.42,
"(V08) (573MA) IDES Naval Hospital Jacksonville",25,25,100.00%,0,0.00%,,19,6,0,0,0,0,,,,,
"(V08) (672) San Juan, PR","77,005","76,570",99.44%,435,0.56%,,"75,947",623,263,78,75,19,,1.12,1.08,2.03,
"",(V08) (672) San Juan,"52,116","51,854",99.50%,262,0.50%,,"51,392",462,179,50,26,7,,1.39,1.12,2.02
"",(V08) (672B0) Ponce,"10,632","10,597",99.67%,35,0.33%,,"10,550",47,26,5,1,3,,0.92,0.26,0.62
"",(V08) (672BZ) Mayaguez,"8,249","8,155",98.86%,94,1.14%,,"8,071",84,45,16,25,8,,1.05,1.73,2.48
"",(V08) (672GA) St Croix,185,184,99.46%,1,0.54%,,183,1,1,0,0,0,,0.61,6.00,0.00
"",(V08) (672GB) St Thomas,323,322,99.69%,1,0.31%,,317,5,1,0,0,0,,0.91,2.30,
"",(V08) (672GC) Arecibo,"2,707","2,673",98.74%,34,1.26%,,"2,666",7,4,7,23,0,,0.12,3.04,8.54
"",(V08) (672GD) Ceiba,"1,864","1,856",99.57%,8,0.43%,,"1,844",12,7,0,0,1,,1.10,0.00,0.27
"",(V08) (672GE) Guayama,929,929,100.00%,0,0.00%,,924,5,0,0,0,0,,0.43,0.00,0.74
"(V08) (","73) Tampa, FL","69,444","67,514",97.22%,"1,930",2.78%,,"65,220","2,294","1,211",470,231,18,,1.89,4.60,2.48
"",(V08) (673) Tampa,"53,550","52,151",97.39%,"1,399",2.61%,,"50,498","1,653",791,371,221,16,,1.86,4.13,1.96
"",(V08) (673BZ) New Port Richey,"8,991","8,605",95.71%,386,4.29%,,"8,313",292,318,62,6,0,,1.42,7.64,2.16
"",(V08) (673GB) Lakeland,"3,096","2,960",95.61%,136,4.39%,,"2,713",247,93,37,4,2,,2.84,9.82,6.84
"",(V08) (673GC) Brooksville,"2,749","2,744",99.82%,5,0.18%,,"2,715",29,5,0,0,0,,1.60,1.62,2.67
"",(V08) (673GF) Zephyrhills,"1,058","1,054",99.62%,4,0.38%,,981,73,4,0,0,0,,3.84,3.67,3.46
"(V08) (675) Orlando, FL","72,045","70,734",98.18%,"1,311",1.82%,,"69,342","1,392",874,348,66,23,,1.01,3.53,0.84,
"","(V08) (675) Orlando, FL",34,34,100.00%,0,0.00%,,34,0,0,0,0,0,,,,
"",(V08) (675GA) Viera Outpatient Clinic,"14,858","14,710",99.00%,148,1.00%,,"14,595",115,50,59,23,16,,0.32,2.32,1.37
"",(V08) (675GB) Daytona Beach Outpatient Clinic,"12,897","12,836",99.53%,61,0.47%,,"12,740",96,53,3,5,0,,0.51,1.21,0.25
"",(V08) (675GC) Kissimee CBOC,"1,555","1,533",98.59%,22,1.41%,,"1,516",17,18,3,1,0,,1.30,0.28,1.66
